Time;Hour;STA 1;STA 2;
1;2020-10-30T19:30:02+01:00;18.383466052499706;0;
2;2020-10-30T19:30:03+01:00;17.796686893982326;0;
3;2020-10-30T19:30:04+01:00;18.219111796045595;0;
4;2020-10-30T19:30:05+01:00;12.542776712498124;6.487405083766565;
5;2020-10-30T19:30:06+01:00;9.605604303618504;10.297323916481808;
6;2020-10-30T19:30:07+01:00;10.056122099921193;9.872379001584825;
7;2020-10-30T19:30:08+01:00;9.407184463399359;10.34392655560692;
8;2020-10-30T19:30:09+01:00;9.843320394102674;9.778928209902977;
9;2020-10-30T19:30:10+01:00;10.259388255924662;9.937345798174475;
10;2020-10-30T19:30:11+01:00;8.773245022388444;9.009410572547278;
11;2020-10-30T19:30:12+01:00;11.057026015286333;11.016973155914599;
12;2020-10-30T19:30:13+01:00;9.49688140084626;9.093545404200153;
13;2020-10-30T19:30:14+01:00;10.740055805989318;10.444558820963074;
14;2020-10-30T19:30:15+01:00;9.548767044565407;9.667315012093576;
15;2020-10-30T19:30:16+01:00;9.876714470119571;9.871955008681192;
16;2020-10-30T19:30:17+01:00;4.986144478646282;12.832308399441262;
17;2020-10-30T19:30:18+01:00;3.2631149002993762;15.165056684874491;
18;2020-10-30T19:30:19+01:00;2.4165715699748476;15.24617109162054;
19;2020-10-30T19:30:20+01:00;3.966229962342963;14.484156238525914;
20;2020-10-30T19:30:21+01:00;10.259708005996528;10.079384191003857;
21;2020-10-30T19:30:22+01:00;9.814313468640437;9.405200579593364;
22;2020-10-30T19:30:23+01:00;10.328735945129841;10.054994205228082;
23;2020-10-30T19:30:24+01:00;10.141085013876953;9.880818715036735;
24;2020-10-30T19:30:25+01:00;10.109585762137513;9.901349781148099;
25;2020-10-30T19:30:26+01:00;11.075893479903113;8.739041350643463;
26;2020-10-30T19:30:27+01:00;11.737265019593487;6.462395703860476;
27;2020-10-30T19:30:28+01:00;15.06054358920537;3.1146463787757597;
28;2020-10-30T19:30:29+01:00;14.712202599966476;2.654380818107874;
29;2020-10-30T19:30:30+01:00;11.161443140158116;2.844709899973238;
30;2020-10-30T19:30:31+01:00;9.962943332478796;9.057963884212622;
31;2020-10-30T19:30:32+01:00;9.872817084775793;9.876801595414191;
32;2020-10-30T19:30:33+01:00;5.841408969295429;12.523673460633763;
33;2020-10-30T19:30:34+01:00;1.1050872211003557;17.381232755325414;
34;2020-10-30T19:30:35+01:00;1.1069835844488496;16.976902791660414;
35;2020-10-30T19:30:36+01:00;1.1128904619477928;17.19405429894864;
36;2020-10-30T19:30:37+01:00;1.1150115162855452;17.38493258768006;
37;2020-10-30T19:30:38+01:00;1.1027561095985765;16.88603860502909;
38;2020-10-30T19:30:39+01:00;1.117170802683047;15.630753505894022;
39;2020-10-30T19:30:40+01:00;1.1078032692401947;15.935984374997634;
40;2020-10-30T19:30:41+01:00;1.1134391997011654;15.45601162505097;
41;2020-10-30T19:30:42+01:00;1.1112139767261444;15.463009693420771;
42;2020-10-30T19:30:43+01:00;1.2216778503033552;15.590489670557986;
