Time,Hour,0x00,0x01,0x02
1,2020-10-30T12:12:41-07:00,12000,12000,12000
2,2020-10-30T12:12:42-07:00,12000,12000,12000
3,2020-10-30T12:12:43-07:00,12000,12000,12000
4,2020-10-30T12:12:44-07:00,12000,12000,12000
5,2020-10-30T12:12:45-07:00,12000,12000,12000
6,2020-10-30T12:12:46-07:00,12000,12000,12000
7,2020-10-30T12:12:47-07:00,12000,12000,12000
8,2020-10-30T12:12:48-07:00,12000,12000,12000
9,2020-10-30T12:12:49-07:00,12000,12000,12000
10,2020-10-30T12:12:50-07:00,12000,12000,12000
11,2020-10-30T12:12:51-07:00,12000,12000,12000
12,2020-10-30T12:12:52-07:00,12000,12000,12000
13,2020-10-30T12:12:53-07:00,12000,12000,12000
14,2020-10-30T12:12:54-07:00,12000,12000,12000
15,2020-10-30T12:12:55-07:00,12000,12000,12000
16,2020-10-30T12:12:56-07:00,12000,12000,12000
17,2020-10-30T12:12:57-07:00,12000,12000,12000
18,2020-10-30T12:12:58-07:00,12000,12000,12000
19,2020-10-30T12:12:59-07:00,12000,12000,12000
20,2020-10-30T12:13:00-07:00,12000,12000,12000
21,2020-10-30T12:13:01-07:00,12000,12000,12000
22,2020-10-30T12:13:02-07:00,12000,12000,12000
23,2020-10-30T12:13:03-07:00,12000,12000,12000
24,2020-10-30T12:13:04-07:00,12000,12000,12000
25,2020-10-30T12:13:05-07:00,12000,12000,12000
26,2020-10-30T12:13:06-07:00,12000,12000,12000
27,2020-10-30T12:13:07-07:00,12000,12000,12000
28,2020-10-30T12:13:08-07:00,12000,12000,12000
29,2020-10-30T12:13:09-07:00,12000,12000,12000
30,2020-10-30T12:13:10-07:00,12000,12000,12000
31,2020-10-30T12:13:11-07:00,12000,12000,12000
32,2020-10-30T12:13:12-07:00,12000,12000,12000
33,2020-10-30T12:13:13-07:00,12000,12000,12000
34,2020-10-30T12:13:14-07:00,12000,12000,12000
35,2020-10-30T12:13:15-07:00,12000,12000,12000
36,2020-10-30T12:13:16-07:00,12000,12000,12000
