Time;Hour;STA 6;STA 5;STA 4;STA 3;STA 2;STA 1
103;2021-01-06T17:50:52+01:00;0;0;0;0;0;0
104;2021-01-06T17:50:53+01:00;0;0;0;0;0;0
105;2021-01-06T17:50:54+01:00;0;0;0;0;0;0
106;2021-01-06T17:50:55+01:00;0;0;0;0;0;0
107;2021-01-06T17:50:56+01:00;0;0;0;0;0;0
108;2021-01-06T17:50:57+01:00;0;0;0;0;0;0
109;2021-01-06T17:50:58+01:00;0;0;0;0;0;0
110;2021-01-06T17:50:59+01:00;0;0;0;0;0;0
111;2021-01-06T17:51:00+01:00;0;0;0;0;0;0
112;2021-01-06T17:51:01+01:00;0;0;0;0;0;0
113;2021-01-06T17:51:02+01:00;0;0;0;0;0;0
114;2021-01-06T17:51:03+01:00;0;0;0;0;0;0
115;2021-01-06T17:51:04+01:00;0;0;0;0;0;0
116;2021-01-06T17:51:05+01:00;0;0;0;0;0;0
117;2021-01-06T17:51:06+01:00;0;0;0;0;0;0
118;2021-01-06T17:51:07+01:00;0;0;0;0;0;0
119;2021-01-06T17:51:08+01:00;0;0;0;0;0;0
120;2021-01-06T17:51:09+01:00;0;0;0;0;0;0
121;2021-01-06T17:51:10+01:00;0;0;0;0;0;0
122;2021-01-06T17:51:11+01:00;0;0;0;0;0;0
123;2021-01-06T17:51:12+01:00;0;0;0;0;0;0
124;2021-01-06T17:51:13+01:00;0;0;0;0;0;0
125;2021-01-06T17:51:14+01:00;0;0;0;0;0;0
126;2021-01-06T17:51:15+01:00;0;0;0;0;0;0
127;2021-01-06T17:51:16+01:00;0;0;0;0;0;0
128;2021-01-06T17:51:17+01:00;0;0;0;0;0;0
129;2021-01-06T17:51:18+01:00;0;0;0;0;0;0
130;2021-01-06T17:51:19+01:00;0;0;0;0;0;0
131;2021-01-06T17:51:20+01:00;0;0;0;0;0;0
132;2021-01-06T17:51:21+01:00;0;0;0;0;0;0
133;2021-01-06T17:51:22+01:00;0;0;0;0;0;0
134;2021-01-06T17:51:23+01:00;0;0;0;0;0;0
135;2021-01-06T17:51:24+01:00;1;0;1;1;1;1
136;2021-01-06T17:51:25+01:00;1;0;1;1;1;1
137;2021-01-06T17:51:26+01:00;1;0;1;1;1;1
138;2021-01-06T17:51:27+01:00;1;0;1;1;1;1
139;2021-01-06T17:51:28+01:00;1;0;1;1;1;1
140;2021-01-06T17:51:29+01:00;1;0;1;1;1;1
141;2021-01-06T17:51:30+01:00;1;0;1;1;1;1
142;2021-01-06T17:51:31+01:00;1;0;1;1;1;1
143;2021-01-06T17:51:32+01:00;1;0;1;1;1;1
144;2021-01-06T17:51:33+01:00;1;0;1;1;1;1
145;2021-01-06T17:51:34+01:00;1;0;1;1;1;1
146;2021-01-06T17:51:35+01:00;1;0;1;1;1;1
147;2021-01-06T17:51:36+01:00;1;0;1;1;1;1
148;2021-01-06T17:51:37+01:00;1;0;1;1;1;1
149;2021-01-06T17:51:38+01:00;1;0;1;1;1;1
150;2021-01-06T17:51:39+01:00;1;0;1;1;1;1
151;2021-01-06T17:51:40+01:00;1;0;1;1;1;1
152;2021-01-06T17:51:41+01:00;1;0;1;1;1;1
153;2021-01-06T17:51:42+01:00;1;0;1;1;1;1
154;2021-01-06T17:51:43+01:00;1;0;1;1;1;1
155;2021-01-06T17:51:44+01:00;1;0;1;1;1;1
156;2021-01-06T17:51:45+01:00;1;0;1;1;1;1
157;2021-01-06T17:51:46+01:00;1;0;1;1;1;1
158;2021-01-06T17:51:47+01:00;1;0;1;1;1;1
159;2021-01-06T17:51:48+01:00;1;0;1;1;1;1
160;2021-01-06T17:51:49+01:00;1;0;1;1;1;1
161;2021-01-06T17:51:50+01:00;1;0;1;1;1;1
162;2021-01-06T17:51:51+01:00;1;0;1;1;1;1
163;2021-01-06T17:51:52+01:00;1;0;1;1;1;1
164;2021-01-06T17:51:53+01:00;1;0;1;1;1;1
165;2021-01-06T17:51:54+01:00;1;0;1;1;1;1
166;2021-01-06T17:51:55+01:00;1;0;1;1;1;1
167;2021-01-06T17:51:56+01:00;1;0;1;1;1;1
168;2021-01-06T17:51:57+01:00;1;0;1;1;1;1
169;2021-01-06T17:51:58+01:00;1;0;1;1;1;1
170;2021-01-06T17:51:59+01:00;1;0;1;1;1;1
171;2021-01-06T17:52:00+01:00;1;0;1;1;1;1
172;2021-01-06T17:52:01+01:00;1;0;1;1;1;1
173;2021-01-06T17:52:02+01:00;1;0;1;1;1;1
174;2021-01-06T17:52:03+01:00;1;0;1;1;1;1
175;2021-01-06T17:52:04+01:00;1;0;1;1;1;1
176;2021-01-06T17:52:05+01:00;1;0;1;1;1;1
177;2021-01-06T17:52:06+01:00;1;0;1;1;1;1
178;2021-01-06T17:52:07+01:00;1;0;1;1;1;1
179;2021-01-06T17:52:08+01:00;1;0;1;1;1;1
180;2021-01-06T17:52:09+01:00;1;0;1;1;1;1
181;2021-01-06T17:52:10+01:00;1;0;1;1;1;1
182;2021-01-06T17:52:11+01:00;1;0;1;1;1;1
183;2021-01-06T17:52:12+01:00;1;0;1;1;1;1
184;2021-01-06T17:52:13+01:00;1;0;1;1;1;1
185;2021-01-06T17:52:14+01:00;1;0;1;1;1;1
186;2021-01-06T17:52:15+01:00;1;0;1;1;1;1
187;2021-01-06T17:52:16+01:00;1;0;1;1;1;1
188;2021-01-06T17:52:17+01:00;1;0;1;1;1;1
189;2021-01-06T17:52:18+01:00;1;0;1;1;1;1
190;2021-01-06T17:52:19+01:00;1;0;1;1;1;1
191;2021-01-06T17:52:20+01:00;1;0;1;1;1;1
192;2021-01-06T17:52:21+01:00;1;0;1;1;1;1
193;2021-01-06T17:52:22+01:00;1;0;1;1;1;1
194;2021-01-06T17:52:23+01:00;1;0;1;1;1;1
195;2021-01-06T17:52:24+01:00;1;0;1;1;1;1
196;2021-01-06T17:52:25+01:00;1;0;1;1;1;1
197;2021-01-06T17:52:26+01:00;1;0;1;1;1;1
198;2021-01-06T17:52:27+01:00;1;0;1;1;1;1
199;2021-01-06T17:52:28+01:00;1;0;1;1;1;1
200;2021-01-06T17:52:29+01:00;1;0;1;1;1;1
201;2021-01-06T17:52:30+01:00;1;0;1;1;1;1
202;2021-01-06T17:52:31+01:00;1;0;1;1;1;1
203;2021-01-06T17:52:32+01:00;1;0;1;1;1;1
204;2021-01-06T17:52:33+01:00;1;0;1;1;1;1
205;2021-01-06T17:52:34+01:00;1;0;1;1;1;1
206;2021-01-06T17:52:35+01:00;1;0;1;1;1;1
207;2021-01-06T17:52:36+01:00;1;0;1;1;1;1
208;2021-01-06T17:52:37+01:00;1;0;1;1;1;1
209;2021-01-06T17:52:38+01:00;1;0;1;1;1;1
210;2021-01-06T17:52:39+01:00;1;0;1;1;1;1
211;2021-01-06T17:52:40+01:00;1;0;1;1;1;1
212;2021-01-06T17:52:41+01:00;1;0;1;1;1;1
213;2021-01-06T17:52:42+01:00;1;0;1;1;1;1
214;2021-01-06T17:52:43+01:00;1;0;1;1;1;1
215;2021-01-06T17:52:44+01:00;0;0;0;0;0;0
216;2021-01-06T17:52:45+01:00;0;0;0;0;0;0
217;2021-01-06T17:52:46+01:00;0;0;0;0;0;0
218;2021-01-06T17:52:47+01:00;0;0;0;0;0;0
219;2021-01-06T17:52:48+01:00;0;0;0;0;0;0
220;2021-01-06T17:52:49+01:00;0;0;0;0;0;0
221;2021-01-06T17:52:50+01:00;0;0;0;0;0;0
222;2021-01-06T17:52:51+01:00;0;0;0;0;0;0
223;2021-01-06T17:52:52+01:00;0;0;0;0;0;0
224;2021-01-06T17:52:53+01:00;0;0;0;0;0;0
225;2021-01-06T17:52:54+01:00;0;0;0;0;0;0
226;2021-01-06T17:52:55+01:00;0;0;0;0;0;0
227;2021-01-06T17:52:56+01:00;0;0;0;0;0;0
228;2021-01-06T17:52:57+01:00;0;0;0;0;0;0
229;2021-01-06T17:52:58+01:00;0;0;0;0;0;0
230;2021-01-06T17:52:59+01:00;0;0;0;0;0;0
231;2021-01-06T17:53:00+01:00;0;0;0;0;0;0
232;2021-01-06T17:53:01+01:00;0;0;0;0;0;0
