Datetime;STA 6;STA 3;STA 4;STA 1;STA 2;STA 5
2021-01-06T17:52:13+01:00;-73;-50;null;null;null;null
2021-01-06T17:52:14+01:00;-72;-50;null;null;null;null
2021-01-06T17:52:15+01:00;-72;-50;null;null;null;null
2021-01-06T17:52:17+01:00;-72;-50;null;null;null;null
2021-01-06T17:52:19+01:00;-72;null;null;null;null;null
2021-01-06T17:52:22+01:00;0;-50;null;0;null;null
2021-01-06T17:52:23+01:00;-73;-50;null;-40;null;null
2021-01-06T17:52:25+01:00;-72;-50;null;-40;null;null
2021-01-06T17:52:26+01:00;-72;-50;null;-40;null;null
2021-01-06T17:52:27+01:00;-72;-50;null;-41;null;null
2021-01-06T17:52:29+01:00;-72;-50;null;-41;null;null
2021-01-06T17:52:30+01:00;-72;-50;null;-41;null;null
2021-01-06T17:52:31+01:00;-72;-50;-53;-41;null;null
2021-01-06T17:52:33+01:00;-72;-50;-52;-40;null;null
2021-01-06T17:52:34+01:00;-72;-50;-52;-40;null;null
2021-01-06T17:52:36+01:00;-72;-50;-52;-40;null;null
2021-01-06T17:52:37+01:00;null;-50;-52;-40;null;null
2021-01-06T17:52:39+01:00;null;-50;-52;-41;-44;null
2021-01-06T17:52:40+01:00;null;-50;-52;-41;-43;null
2021-01-06T17:52:41+01:00;null;-50;null;-41;-43;null
2021-01-06T17:52:42+01:00;null;-50;null;-41;-43;null
2021-01-06T17:52:43+01:00;null;-50;null;-41;-43;null
2021-01-06T17:52:44+01:00;null;-50;null;-41;-43;null
2021-01-06T17:52:46+01:00;null;-50;null;-41;-43;null
2021-01-06T17:52:47+01:00;null;-50;null;-41;-43;null
2021-01-06T17:52:48+01:00;null;-50;null;-41;null;null
2021-01-06T17:52:49+01:00;null;-50;null;-41;null;null
2021-01-06T17:52:51+01:00;null;-50;null;-41;null;null
2021-01-06T17:53:09+01:00;0;-48;null;null;null;null
2021-01-06T17:53:10+01:00;-72;-48;null;null;null;null
2021-01-06T17:53:11+01:00;-72;-48;null;null;null;null
2021-01-06T17:53:12+01:00;-72;-48;null;null;null;null
2021-01-06T17:53:13+01:00;-72;-48;null;null;null;null
2021-01-06T17:53:14+01:00;-72;-48;null;null;null;null
2021-01-06T17:53:15+01:00;-72;null;null;null;null;null
2021-01-06T17:53:18+01:00;-73;null;null;null;null;null
2021-01-06T17:53:19+01:00;-73;null;null;null;null;null
2021-01-06T17:53:20+01:00;-73;null;null;null;null;null
2021-01-06T17:53:21+01:00;-73;null;null;null;null;null
2021-01-06T17:53:22+01:00;-73;null;null;null;null;null
2021-01-06T17:53:23+01:00;-73;null;null;null;null;null
2021-01-06T17:53:25+01:00;0;null;null;null;null;null
2021-01-06T17:53:26+01:00;-74;null;null;null;null;null
2021-01-06T17:53:28+01:00;-74;-50;-51;-37;-40;null
2021-01-06T17:53:29+01:00;-74;-50;-51;-37;-40;null
2021-01-06T17:53:30+01:00;-74;-50;-53;-37;-40;null
2021-01-06T17:53:31+01:00;-74;-50;-53;-37;-40;null
2021-01-06T17:53:33+01:00;null;-50;-52;-39;-41;null
2021-01-06T17:53:34+01:00;-74;null;-52;-39;-42;null
2021-01-06T17:53:35+01:00;-74;null;-51;-39;-42;null
2021-01-06T17:53:36+01:00;-74;null;-51;-39;-42;null
2021-01-06T17:53:37+01:00;-74;null;-51;-39;-42;null
2021-01-06T17:53:39+01:00;-74;null;-51;-40;-42;null
2021-01-06T17:53:41+01:00;0;null;-51;-40;-42;null
2021-01-06T17:53:43+01:00;-72;null;-51;-40;-41;null
2021-01-06T17:53:44+01:00;-72;null;-51;-40;-41;null
2021-01-06T17:53:45+01:00;-72;null;-51;-40;-41;null
2021-01-06T17:53:46+01:00;null;null;-51;null;-41;null
