Time;QoS 1;BE 1;BE 2;BE 3;QoS 2;;;;;;
114;0.024;901.404;279.348;284.474;;;;;;;
115;0.022;666.09;907.22;250.633;;;;;;;
116;0.021;305.698;800.652;253.233;;;;;;;
117;0.021;737.358;654.826;278.484;;;;;;;
118;0.021;575.728;624.517;316.995;;;;;;;
119;0.022;622.809;599.882;268.296;;;;;;;
120;0.024;682.552;628.617;244.257;;;;;;;
121;0.022;595.547;580.603;288.764;;;;;;;
122;0.022;533.038;641.914;749.14;;;;;;;
123;0.022;638.365;686.995;207.874;;;;;;;
124;0.021;648.529;790.312;387.623;;;;;;;
125;0.021;581.263;989.161;555.742;;;;;;;
126;0.028;620.514;945.808;283.804;;;;;;;
127;0.033;571.44;945.729;;;;;;;;
128;0.021;632.718;936.732;;;;;;;;
129;0.022;787.406;54.993;;;;;;;;
130;0.022;681.345;951.161;;;;;;;;
131;0.022;656.504;926.345;;;;;;;;
132;0.023;693.05;911.361;;;;;;;;
133;0.025;703.265;860.507;;;;;;;;
134;0.027;823.322;929.984;;;;;;;;
135;0.025;850.505;69.435;;;;;;;;
136;0.026;213.267;101.786;;;;;;;;
137;0.025;986.547;86.996;;;;;;;;
138;0.025;206.94;101.29;;;;;;;;
139;0.027;850.849;110.567;;;;;;;;
140;0.026;586.717;22.029;;;;;;;;
141;0.026;367.447;79.907;;;;;;;;
142;0.028;890.789;115.322;;;;;;;;
143;0.027;90.178;99.93;;;;;;;;
144;4.879;751.391;67.721;;;;;;;;
145;13.899;277.954;390.777;;;;;;;;
146;15.949;905.832;61.535;;;;;;;;
147;764.477;800.171;664.877;;;;;;;;
148;823.257;654.918;708.333;;;;;;;;
149;385.895;625.364;750.928;;;;;;;;
150;16.959;599.308;677.665;;;;;;;;
151;15.942;629.02;599.243;;;;;;;;
152;17.541;580.236;661.996;;;;;;;;
153;18.924;642.286;631.607;;;;;;;;
154;19.197;689.062;613.194;;;;;;;;
155;14.219;792.266;640.321;;;;;;;;
156;18.807;960.273;939.8;;;;;;;;
157;15.664;944.49;998.306;;;;;;;;
158;24.622;945.88;132.129;;;;;;;;
159;17.316;937.637;319.735;;;;;;;;
160;14.777;54.717;14.823;;;;;;;;
161;22.601;950.175;54.836;;;;;;;;
162;25.03;926.886;107.654;;;;;;;;
163;16.305;911.171;983.175;;;;;;;;
164;38.699;860.815;883.869;;;;;;;;
165;20.339;930.226;293.401;;;;;;;;
166;14.365;68.302;800.387;;;;;;;;
167;501.992;103.996;788.806;;;;;;;;
168;123.945;87.82;332.06;;;;;;;;
169;21.839;100.557;801.853;;;;;;;;
170;15.173;110.24;935.706;;;;;;;;
171;14.115;20.833;628.141;;;;;;;;
172;17.51;80.605;583.917;;;;;;;;
173;14.685;117.172;944.214;;;;;;;;
174;13.234;99.214;575.768;;;;;;;;
175;17.852;67.202;89.077;;;;;;;;
176;13.927;378.618;101.654;;;;;;;;
177;14.051;50.761;904.824;;;;;;;;
178;15.165;664.883;51.745;;;;;;;;
179;14.786;708.969;100.687;;;;;;;;
180;15.972;751.922;142.322;;;;;;;;
181;19.848;677.242;991.711;;;;;;;;
182;17.439;599.456;26.285;;;;;;;;
183;18.198;662.359;24.139;;;;;;;;
184;16.485;631.566;996.101;;;;;;;;
185;18.024;613.456;290.539;;;;;;;;
186;26.021;641.236;358.855;;;;;;;;
187;843.741;940.383;113.39;;;;;;;;
188;896.566;998.884;32.918;;;;;;;;
189;355.569;132.239;233.461;;;;;;;;
190;272.31;319.322;231.186;;;;;;;;
191;732.861;14.916;6.662;;;;;;;;
192;88.796;53.84;902.953;;;;;;;;
193;99.165;107.323;173.733;;;;;;;;
194;62.659;984.253;23.737;;;;;;;;
195;218.129;882.42;954.969;;;;;;;;
196;569.629;312.235;737.285;;;;;;;;
197;340.804;821.543;743.055;;;;;;;;
198;242.895;783.528;768.767;;;;;;;;
199;22.659;330.209;925.884;;;;;;;;
200;15.445;807.088;;;;;;;;;
201;15.033;937.342;;;;;;;;;
202;13.819;628.61;;;;;;;;;
203;16.908;591.996;;;;;;;;;
204;16.297;942.064;;;;;;;;;
