sep=;
"Time";"DC:A6:32:0A:B8:22";"DC:A6:32:0A:E0:C9";"DC:A6:32:0A:E1:D4";"DC:A6:32:65:E7:AA"
"2020-06-28T18:44:01+02:00";1;0;0;0
"2020-06-28T18:44:02+02:00";1;0;0;0
"2020-06-28T18:44:03+02:00";0;0;0;0
"2020-06-28T18:44:04+02:00";1;1;0;0
"2020-06-28T18:44:05+02:00";1;1;0;0
"2020-06-28T18:44:06+02:00";1;1;0;0
"2020-06-28T18:44:07+02:00";1;1;0;0
"2020-06-28T18:44:08+02:00";1;1;0;0
"2020-06-28T18:44:09+02:00";1;1;0;0
"2020-06-28T18:44:10+02:00";1;1;0;0
"2020-06-28T18:44:11+02:00";1;1;0;0
"2020-06-28T18:44:12+02:00";1;1;0;0
"2020-06-28T18:44:13+02:00";1;1;0;0
"2020-06-28T18:44:14+02:00";1;1;0;0
"2020-06-28T18:44:15+02:00";1;1;0;0
"2020-06-28T18:44:16+02:00";1;1;0;0
"2020-06-28T18:44:17+02:00";1;1;0;0
"2020-06-28T18:44:18+02:00";1;1;0;0
"2020-06-28T18:44:19+02:00";1;1;0;0
"2020-06-28T18:44:20+02:00";1;1;0;0
"2020-06-28T18:44:21+02:00";1;1;0;0
"2020-06-28T18:44:22+02:00";1;1;0;0
"2020-06-28T18:44:23+02:00";0;0;0;0
"2020-06-28T18:44:24+02:00";1;0;0;0
"2020-06-28T18:44:25+02:00";1;0;0;0
"2020-06-28T18:44:26+02:00";1;0;0;0
"2020-06-28T18:44:27+02:00";1;0;0;0
"2020-06-28T18:44:28+02:00";1;0;0;0
"2020-06-28T18:44:29+02:00";1;0;0;0
"2020-06-28T18:44:30+02:00";1;0;0;0
"2020-06-28T18:44:31+02:00";1;0;0;0
"2020-06-28T18:44:32+02:00";1;0;0;0
"2020-06-28T18:44:33+02:00";1;0;0;0
"2020-06-28T18:44:34+02:00";1;0;0;0
"2020-06-28T18:44:35+02:00";1;0;0;0
"2020-06-28T18:44:36+02:00";1;0;0;0
"2020-06-28T18:44:37+02:00";1;0;0;0
"2020-06-28T18:44:38+02:00";1;0;0;0
"2020-06-28T18:44:39+02:00";1;0;0;0
"2020-06-28T18:44:40+02:00";1;0;0;0
"2020-06-28T18:44:41+02:00";1;0;0;0
"2020-06-28T18:44:42+02:00";1;0;0;0
"2020-06-28T18:44:43+02:00";0;0;0;0
"2020-06-28T18:44:44+02:00";1;0;0;0
"2020-06-28T18:44:45+02:00";1;0;0;0
"2020-06-28T18:44:46+02:00";1;0;0;0
"2020-06-28T18:44:47+02:00";1;0;0;0
"2020-06-28T18:44:48+02:00";1;0;0;0
"2020-06-28T18:44:49+02:00";1;0;0;0
"2020-06-28T18:44:50+02:00";1;0;0;0
"2020-06-28T18:44:51+02:00";1;0;0;0
"2020-06-28T18:44:52+02:00";1;0;0;0
"2020-06-28T18:44:53+02:00";1;0;0;0
"2020-06-28T18:44:54+02:00";null;0;0;null
"2020-06-28T18:44:55+02:00";1;0;0;0
"2020-06-28T18:44:56+02:00";1;0;0;0
"2020-06-28T18:44:57+02:00";1;0;0;0
"2020-06-28T18:44:58+02:00";1;0;0;0
"2020-06-28T18:44:59+02:00";1;0;0;0
"2020-06-28T18:45:00+02:00";1;0;0;0
"2020-06-28T18:45:01+02:00";1;0;0;0
"2020-06-28T18:45:02+02:00";1;0;0;0
"2020-06-28T18:45:03+02:00";0;0;0;0
"2020-06-28T18:45:04+02:00";1;1;0;0
"2020-06-28T18:45:05+02:00";1;1;0;0
"2020-06-28T18:45:06+02:00";1;1;0;0
"2020-06-28T18:45:07+02:00";1;1;0;0
"2020-06-28T18:45:08+02:00";1;1;0;0
"2020-06-28T18:45:09+02:00";1;1;0;0
"2020-06-28T18:45:10+02:00";1;1;0;0
"2020-06-28T18:45:11+02:00";1;1;0;0
"2020-06-28T18:45:12+02:00";1;1;0;0
"2020-06-28T18:45:13+02:00";1;1;0;0
"2020-06-28T18:45:14+02:00";1;1;0;0
"2020-06-28T18:45:15+02:00";1;1;0;0
"2020-06-28T18:45:16+02:00";1;1;0;0
"2020-06-28T18:45:17+02:00";1;1;0;0
"2020-06-28T18:45:18+02:00";1;1;0;0
"2020-06-28T18:45:19+02:00";1;1;0;0
"2020-06-28T18:45:20+02:00";1;1;0;0
"2020-06-28T18:45:21+02:00";1;1;0;0
"2020-06-28T18:45:22+02:00";1;1;0;0
"2020-06-28T18:45:23+02:00";0;0;0;0
"2020-06-28T18:45:24+02:00";1;0;0;0
"2020-06-28T18:45:25+02:00";1;0;0;0
"2020-06-28T18:45:26+02:00";1;0;0;0
"2020-06-28T18:45:27+02:00";1;0;0;0
"2020-06-28T18:45:28+02:00";1;0;0;0
"2020-06-28T18:45:29+02:00";1;0;0;0
"2020-06-28T18:45:30+02:00";1;0;0;0
"2020-06-28T18:45:31+02:00";1;0;0;0
"2020-06-28T18:45:32+02:00";1;0;0;0
"2020-06-28T18:45:33+02:00";1;0;0;0
"2020-06-28T18:45:34+02:00";1;0;0;0
"2020-06-28T18:45:35+02:00";1;0;0;0
"2020-06-28T18:45:36+02:00";1;0;0;0
"2020-06-28T18:45:37+02:00";1;0;0;0
"2020-06-28T18:45:38+02:00";1;0;0;0
"2020-06-28T18:45:39+02:00";1;0;0;0
"2020-06-28T18:45:40+02:00";1;0;0;0
"2020-06-28T18:45:41+02:00";1;0;0;0
"2020-06-28T18:45:42+02:00";1;0;0;0
"2020-06-28T18:45:43+02:00";0;0;0;0
"2020-06-28T18:45:44+02:00";1;0;0;0
"2020-06-28T18:45:45+02:00";1;0;0;0
"2020-06-28T18:45:46+02:00";1;0;0;0
"2020-06-28T18:45:47+02:00";1;0;0;0
"2020-06-28T18:45:48+02:00";1;0;0;0
"2020-06-28T18:45:49+02:00";1;0;0;0
"2020-06-28T18:45:50+02:00";1;0;0;0
"2020-06-28T18:45:51+02:00";1;0;0;0
"2020-06-28T18:45:52+02:00";1;0;0;0
"2020-06-28T18:45:53+02:00";1;0;0;0
"2020-06-28T18:45:54+02:00";1;0;0;0
"2020-06-28T18:45:55+02:00";1;0;0;0
"2020-06-28T18:45:56+02:00";1;0;0;0
"2020-06-28T18:45:57+02:00";1;0;0;0
"2020-06-28T18:45:58+02:00";1;0;0;0
"2020-06-28T18:45:59+02:00";1;0;0;0
"2020-06-28T18:46:00+02:00";1;0;0;0
"2020-06-28T18:46:01+02:00";1;0;0;0
"2020-06-28T18:46:02+02:00";1;0;0;0
"2020-06-28T18:46:03+02:00";0;0;0;0
"2020-06-28T18:46:04+02:00";1;1;0;0
"2020-06-28T18:46:05+02:00";1;1;0;0
"2020-06-28T18:46:06+02:00";1;1;0;0
"2020-06-28T18:46:07+02:00";1;1;0;0
"2020-06-28T18:46:08+02:00";1;1;0;0
"2020-06-28T18:46:09+02:00";1;1;0;0
"2020-06-28T18:46:10+02:00";1;1;0;0
"2020-06-28T18:46:11+02:00";1;1;0;0
"2020-06-28T18:46:12+02:00";1;1;0;0
"2020-06-28T18:46:13+02:00";1;1;0;0
"2020-06-28T18:46:14+02:00";1;1;0;0
"2020-06-28T18:46:15+02:00";1;1;0;0
"2020-06-28T18:46:16+02:00";1;1;0;0
"2020-06-28T18:46:17+02:00";1;1;0;0
"2020-06-28T18:46:18+02:00";1;1;0;0
"2020-06-28T18:46:19+02:00";1;1;0;0
"2020-06-28T18:46:20+02:00";1;1;0;0
"2020-06-28T18:46:21+02:00";1;1;0;0
"2020-06-28T18:46:22+02:00";1;1;0;0
"2020-06-28T18:46:23+02:00";0;0;0;0
"2020-06-28T18:46:24+02:00";1;1;0;0
"2020-06-28T18:46:25+02:00";1;1;0;0
"2020-06-28T18:46:26+02:00";1;1;0;0
"2020-06-28T18:46:27+02:00";1;1;0;0
"2020-06-28T18:46:28+02:00";1;1;0;0
"2020-06-28T18:46:29+02:00";1;1;0;null
"2020-06-28T18:46:30+02:00";1;1;0;0
"2020-06-28T18:46:31+02:00";1;1;0;0
"2020-06-28T18:46:32+02:00";1;1;0;0
"2020-06-28T18:46:33+02:00";1;1;0;0
"2020-06-28T18:46:34+02:00";1;1;0;null
"2020-06-28T18:46:35+02:00";1;1;0;0
"2020-06-28T18:46:36+02:00";1;1;0;0
"2020-06-28T18:46:37+02:00";1;1;0;0
"2020-06-28T18:46:38+02:00";1;1;0;0
"2020-06-28T18:46:39+02:00";1;1;0;0
"2020-06-28T18:46:40+02:00";1;1;0;0
"2020-06-28T18:46:41+02:00";1;1;0;0
"2020-06-28T18:46:42+02:00";1;1;0;0
"2020-06-28T18:46:43+02:00";0;0;0;0
"2020-06-28T18:46:44+02:00";1;1;0;0
"2020-06-28T18:46:45+02:00";1;1;0;0
"2020-06-28T18:46:46+02:00";1;1;0;0
"2020-06-28T18:46:47+02:00";1;1;0;0
"2020-06-28T18:46:48+02:00";1;1;0;0
"2020-06-28T18:46:49+02:00";1;1;0;0
"2020-06-28T18:46:50+02:00";1;1;0;0
"2020-06-28T18:46:51+02:00";1;1;0;0
"2020-06-28T18:46:52+02:00";1;1;0;0
"2020-06-28T18:46:53+02:00";1;1;0;0
"2020-06-28T18:46:54+02:00";1;1;0;null
"2020-06-28T18:46:55+02:00";1;1;0;0
"2020-06-28T18:46:56+02:00";1;1;0;0
"2020-06-28T18:46:57+02:00";1;1;0;0
"2020-06-28T18:46:58+02:00";1;1;0;0
"2020-06-28T18:46:59+02:00";1;1;0;0
"2020-06-28T18:47:00+02:00";1;1;0;0
"2020-06-28T18:47:01+02:00";1;1;0;0
