Time;Hour;STA 4;STA 3;STA 2;STA 1
118;2020-06-28T18:43:58+02:00;0;1;1;1
119;2020-06-28T18:43:59+02:00;0;1;1;1
120;2020-06-28T18:44:00+02:00;0;1;1;1
121;2020-06-28T18:44:01+02:00;0;1;1;1
122;2020-06-28T18:44:02+02:00;0;1;1;1
123;2020-06-28T18:44:03+02:00;0;0;1;1
124;2020-06-28T18:44:04+02:00;0;0;1;1
125;2020-06-28T18:44:05+02:00;0;0;1;1
126;2020-06-28T18:44:06+02:00;0;0;1;1
127;2020-06-28T18:44:07+02:00;0;0;1;1
128;2020-06-28T18:44:08+02:00;0;0;1;1
129;2020-06-28T18:44:09+02:00;0;0;1;1
130;2020-06-28T18:44:10+02:00;0;0;1;1
131;2020-06-28T18:44:11+02:00;0;0;1;1
132;2020-06-28T18:44:12+02:00;0;0;1;1
133;2020-06-28T18:44:13+02:00;0;0;1;1
134;2020-06-28T18:44:14+02:00;0;0;1;1
135;2020-06-28T18:44:15+02:00;0;0;1;1
136;2020-06-28T18:44:16+02:00;0;0;1;1
137;2020-06-28T18:44:17+02:00;0;0;1;1
138;2020-06-28T18:44:18+02:00;0;0;1;1
139;2020-06-28T18:44:19+02:00;0;0;1;1
140;2020-06-28T18:44:20+02:00;0;0;1;1
141;2020-06-28T18:44:21+02:00;0;0;1;1
142;2020-06-28T18:44:22+02:00;0;0;1;1
143;2020-06-28T18:44:23+02:00;0;1;1;1
144;2020-06-28T18:44:24+02:00;0;1;1;1
145;2020-06-28T18:44:25+02:00;0;1;1;1
146;2020-06-28T18:44:26+02:00;0;1;1;1
147;2020-06-28T18:44:27+02:00;0;1;1;1
148;2020-06-28T18:44:28+02:00;0;1;1;1
149;2020-06-28T18:44:29+02:00;0;1;1;1
150;2020-06-28T18:44:30+02:00;0;1;1;1
151;2020-06-28T18:44:31+02:00;0;1;1;1
152;2020-06-28T18:44:32+02:00;0;1;1;1
153;2020-06-28T18:44:33+02:00;0;1;1;1
154;2020-06-28T18:44:34+02:00;0;1;1;1
155;2020-06-28T18:44:35+02:00;0;1;1;1
156;2020-06-28T18:44:36+02:00;0;1;1;1
157;2020-06-28T18:44:37+02:00;0;1;1;1
158;2020-06-28T18:44:38+02:00;0;1;1;1
159;2020-06-28T18:44:39+02:00;0;1;1;1
160;2020-06-28T18:44:40+02:00;0;1;1;1
161;2020-06-28T18:44:41+02:00;0;1;1;1
162;2020-06-28T18:44:42+02:00;0;1;1;1
163;2020-06-28T18:44:43+02:00;0;1;1;1
164;2020-06-28T18:44:44+02:00;0;1;1;1
165;2020-06-28T18:44:45+02:00;0;1;1;1
166;2020-06-28T18:44:46+02:00;0;1;1;1
167;2020-06-28T18:44:47+02:00;0;1;1;1
168;2020-06-28T18:44:48+02:00;0;1;1;1
169;2020-06-28T18:44:49+02:00;0;1;1;1
170;2020-06-28T18:44:50+02:00;0;1;1;1
171;2020-06-28T18:44:51+02:00;0;1;1;1
172;2020-06-28T18:44:52+02:00;0;1;1;1
173;2020-06-28T18:44:53+02:00;0;1;1;1
