Time (sec), Single Slice Throughput (ms), Single Slice Stdev, Static Slices Throughput (ms), Static Slices Stdev, Adaptive Slices Throughput (ms), Adaptive Slices Stdev
1,15.444409556275293,6.407917210770318,36.81351527486677,0.4453013909656943,34.47716561407148,1.4586527030831058
2,17.312996161083113,7.658925976558934,36.74443047545548,0.46889810496550444,34.902517380081605,1.743423441807875
3,18.714436114688976,8.123517741945935,36.66395776376639,0.49279131674126125,35.22153120458919,1.8491798072729078
4,19.804444967493538,8.272585547063109,36.56891515429518,0.48464025110879755,35.4696530680951,1.8831125423137671
5,20.676452049737186,8.272585547063109,36.47387254482398,0.45501236178899623,35.668150558899825,1.8831125423137671
6,21.740358592482597,8.604822654697251,36.37882993535278,0.3991534930494688,35.78374394450585,1.8271512529268017
7,23.517725475245534,8.59910963203876,36.283787325881576,0.3028827461133665,36.061744368043016,1.739338959516001
8,25.295092358008475,8.179029730339604,36.30697038557808,0.3784444587083996,36.33974479158018,1.5943942464263259
9,27.072459240771416,7.273135191694367,36.41380814246799,0.5070003479097956,36.617745215117345,1.3743582836776884
10,28.849826123534353,5.652485384720038,36.5206458993579,0.5880195773783611,36.89574563865452,1.0322805106745625
11,30.785542705150572,2.222399223572477,36.627483656247804,0.6398228036931877,37.174138479793505,0.26855113823421534
12,31.294338606731728,2.292549142730766,36.734321413137714,0.6692293650292167,37.127717245070215,0.2591881246664979
13,31.80313450831288,2.236735040614081,36.11154687743465,2.3169113810875244,37.081296010346925,0.2397840816573598
14,32.31193040989404,2.0446673370407864,35.50016025400938,3.0745015167183456,37.03487477562364,0.20754151245299027
15,32.82072631147519,1.6699773063090806,34.88877363058411,3.565767081222011,36.98845354090035,0.15462763237264543
16,33.09390900401431,1.0137603437401643,34.277387007158836,3.892876089921473,36.91897956546528,0.07583725869281727
17,33.01664549382554,1.1021906114085485,33.66600038373357,4.095354404464977,36.89631924235532,0.10182248943405285
18,32.939381983636785,1.1784757202417913,33.65191844322037,4.086284096128325,36.87365891924535,0.11770586377691121
19,32.86211847344802,1.2448504619057472,33.51961083353945,3.9736505310703927,36.85099859613538,0.12732573520229212
20,32.784854963259264,1.3028304155951305,33.38730322385854,3.8527350939307916,36.82833827302542,0.13205808111037393
21,32.69422049742545,1.3669561073874155,33.25499561417763,3.7227308789463884,36.85368686100803,0.1752611092283775
22,32.44523633273836,1.3299642350780625,33.122688004496716,3.582648604348624,36.87864303138881,0.20621730687563472
23,32.196252168051274,1.2380047989676597,33.09315770045572,3.544711994670501,36.903599201769595,0.2301402092941469
24,31.94726800336418,1.0770896186317518,33.79323968900769,3.5040274729583105,36.92855537215038,0.24906479326613665
25,31.69828383867709,0.8069717216103602,34.49332167755966,3.3035104658232175,36.95351154253117,0.2640678768561005
26,30.897323771776108,1.854329011326118,35.19340366611164,2.91030955824835,36.68209777934548,0.9411346184280334
27,30.331976913917167,2.483548829832182,35.89348565466362,2.2244930910953906,36.43373675687159,1.2488816887841043
28,29.766630056058226,2.862575054868562,36.583518482913746,0.5816652992356013,36.18537573439769,1.4484383109719854
29,29.201283198199285,3.085044496604635,36.6762466282518,0.5560283812042793,35.937014711923794,1.5813091330720583
30,28.635936340340344,3.183944973454345,36.76897477358987,0.5109636791507011,35.68865368944989,1.663550592412932
