sep=;
"Time";"04:D3:B0:87:2E:5E";"04:D3:B0:87:32:37";"04:D3:B0:87:32:96";"3C:6A:A7:4D:7F:FB";"3C:6A:A7:A0:E1:BE";"3C:6A:A7:B5:44:B5";"3C:6A:A7:B5:49:42";"3C:6A:A7:B5:49:A1"
"2020-10-09T12:30:33+02:00";5.996740777426667;27.066805794551062;0;4.409676108899541;368.1637829933253;0;0;11.15382039635209
"2020-10-09T12:30:34+02:00";0.9177472316960005;1.8918515775450697;0;1.2513571795964202;273.6428757477254;0;0;2.4043979981999852
"2020-10-09T12:30:35+02:00";1.0186787960157342;2.0364411085612937;9.327594096954877;1.035478747067714;275.3180064723476;3.0341443088960394;0;2.0351195218543574
"2020-10-09T12:30:36+02:00";0.7902264699520924;1.5845404787881903;0;2.435979256764618;223.40608777333176;0.8796599565822592;0;1.6687367873893384
"2020-10-09T12:30:37+02:00";3.9060483717945824;1.994218896017866;0;0.9305338290200352;226.31842032530807;0;0;1.8331391718998473
"2020-10-09T12:30:38+02:00";1.305251404506183;15.34990507646491;0;1.2916340881690396;307.1597984947121;0;0;13.212012547037215
"2020-10-09T12:30:39+02:00";1.0450500012956285;2.0875871973585025;0;1.0733129109877628;358.2600880370196;0;0;2.0279031627968145
"2020-10-09T12:30:40+02:00";0.9025722952337997;1.9661388305603207;7.778497247040981;0.816800170904119;234.71438753512734;2.6166449980410897;0;1.7221923965009263
"2020-10-09T12:30:41+02:00";1.0091772168649826;1.8791027912107015;0;1.1447311250412118;215.51667021315194;0;0;2.2030417525991144
"2020-10-09T12:30:42+02:00";1.0722222534668306;1.9850587121149377;0;0.8287361306913439;258.94527510803454;0;0;1.6464476560626218
"2020-10-09T12:30:43+02:00";3.6695894102310604;10.924487414569095;0;1.15453583536202;284.2823672339228;0;0;12.00584734558047
"2020-10-09T12:30:44+02:00";1.1337093530189108;2.184132340286484;0;1.154570476684129;272.65718746453564;0;0;2.3106897740932824
"2020-10-09T12:30:45+02:00";0.960643497459999;1.9531187681621875;12.713338135936572;0.985247261756103;346.03439222248323;0;0;1.937066526762163
"2020-10-09T12:30:46+02:00";0.6905530659140612;1.3972936975761343;0;0.8764175716300332;210.93462920449312;1.413132589162153;0;1.715442113546348
"2020-10-09T12:30:47+02:00";1.5685416873128983;4.283538677734566;0;1.199626352341962;222.91992746826736;0;0;2.403006691722431
"2020-10-09T12:30:48+02:00";4.6472917969721665;12.148212511694052;0;0.986261762741054;332.9110884081454;0;0;10.008418488604496
"2020-10-09T12:30:49+02:00";1.009057523417267;1.9536887292348282;0;1.1015538557499753;268.00579888594723;0;11.797527030523959;2.1444604048768876
"2020-10-09T12:30:50+02:00";0.7654044734411671;1.6075408668670135;7.897661293427085;0.7462004621695425;224.68069209104524;0;0;1.520543890377964
"2020-10-09T12:30:51+02:00";1.0902587734256077;1.991557623257276;0;0.9379570923559131;267.0815897458461;1.6458645744694835;0;1.8485754461833144
"2020-10-09T12:30:52+02:00";1.189784367922516;2.4999137252541233;0;1.1551600155221984;237.06760136578973;10.494695066772127;0;2.273664535734982
"2020-10-09T12:30:53+02:00";5.36376861709202;12.034206867769996;0;1.3059361924849038;317.0855226044112;0;3.602241919590688;13.762072521587399
"2020-10-09T12:30:54+02:00";0.9773360226378797;1.8911849394314593;0;2.07097641139231;376.59479305384923;0;0;3.9703598244610965
"2020-10-09T12:30:55+02:00";0.8460034378248678;1.7799717194282096;7.069112845133604;0.870448505827992;183.88706986601537;0;0;1.7534085312986238
"2020-10-09T12:30:56+02:00";1.1124695777271831;2.1251417101793444;0;1.017883257203902;282.1703138221514;0;0;2.0191088980936596
"2020-10-09T12:30:57+02:00";2.3097271619150623;4.6214597476506665;0;1.0635874736024247;322.9665211953745;1.4459163408074964;0;2.18516441336834
"2020-10-09T12:30:58+02:00";2.8375207521794015;11.003569648369522;0;1.0176328382862305;265.892831456892;0.890303799988665;2.9078162870279476;10.732884669515597
"2020-10-09T12:30:59+02:00";0.8895262587400649;1.8768388073853668;0;0.8767379851287253;245.9801359383901;0;0;1.8777765316883162
"2020-10-09T12:31:00+02:00";1.2137876748997989;3.593125069782729;10.811606813230183;1.0924029325533056;308.188994344439;0;1.2016141831764435;2.1258466784659333
"2020-10-09T12:31:01+02:00";0.8394213655879397;1.6825758312732233;0;0.9001048329379296;211.3316857435664;0;0;1.8489914601653656
"2020-10-09T12:31:02+02:00";2.226556691727328;2.2256977287482895;0;1.270860262164863;259.82902995236384;0.9236359904771532;0;2.44796353417358
"2020-10-09T12:31:03+02:00";2.8128899802025527;11.086046311857254;0;0.9093105436823323;228.27033582631853;0;0;9.319818132287384
"2020-10-09T12:31:04+02:00";2.691966148123141;2.7302009683244135;0;1.1435485660738585;283.394294126556;0;0;2.070645664844328
"2020-10-09T12:31:05+02:00";1.0914054795304746;2.2450839490273347;12.22849753219037;0.8836555998615412;355.63764667807357;0;1.251903238535051;1.9208901586016347
"2020-10-09T12:31:06+02:00";1.0039448775115651;1.9079015241181485;0;0.9318731047010412;223.39660433355647;0;0;1.780682061331857
"2020-10-09T12:31:07+02:00";1.2349427548062555;3.8324445825185944;0;1.2381212149121097;279.8054191588757;0;0;2.474732447060996
"2020-10-09T12:31:08+02:00";1.9056918991246903;11.171524000788395;0;0.9532721410613236;285.38103206598737;1.112925638658653;0;9.46539513693588
"2020-10-09T12:31:09+02:00";0.8730010785798047;1.7923931799981025;0;0.9382911364087843;255.70311188218892;0;0;1.9364007255667162
