sep=;
"Time";"APP: 3";"APP: 4";"APP: 2";"APP: 1"
"2020-10-09T12:34:23+02:00";null;3;30;null
"2020-10-09T12:34:24+02:00";0.6;null;30;null
"2020-10-09T12:34:27+02:00";null;3;null;25.9
"2020-10-09T12:34:28+02:00";null;3;28.2;null
"2020-10-09T12:34:29+02:00";0.5;null;null;null
"2020-10-09T12:34:32+02:00";null;null;null;27.3
"2020-10-09T12:34:33+02:00";null;3;32.8;null
"2020-10-09T12:34:34+02:00";0.4;null;32.8;null
"2020-10-09T12:34:37+02:00";null;2.8;null;23.9
"2020-10-09T12:34:38+02:00";null;2.8;34.7;null
"2020-10-09T12:34:39+02:00";0.4;null;34.7;null
"2020-10-09T12:34:42+02:00";null;3.5;null;24.9
"2020-10-09T12:34:43+02:00";null;3.5;null;null
"2020-10-09T12:34:44+02:00";0.4;null;38.8;null
"2020-10-09T12:34:47+02:00";null;null;null;28.5
"2020-10-09T12:34:48+02:00";null;4.4;38.9;null
"2020-10-09T12:34:49+02:00";0.4;null;null;null
"2020-10-09T12:34:52+02:00";null;null;null;30.9
"2020-10-09T12:34:53+02:00";null;4.4;39.4;null
"2020-10-09T12:34:54+02:00";0.2;null;null;null
"2020-10-09T12:34:57+02:00";null;null;null;31.5
"2020-10-09T12:34:58+02:00";null;3.2;36.5;null
"2020-10-09T12:34:59+02:00";0;null;null;null
"2020-10-09T12:35:02+02:00";859.6;null;null;37.1
"2020-10-09T12:35:03+02:00";null;1.9;46.8;null
"2020-10-09T12:35:07+02:00";859.6;null;null;39.1
"2020-10-09T12:35:08+02:00";null;1.8;40.7;null
"2020-10-09T12:35:12+02:00";859.6;null;null;36
"2020-10-09T12:35:13+02:00";null;1.9;35.4;null
"2020-10-09T12:35:17+02:00";859.6;null;null;34.3
"2020-10-09T12:35:18+02:00";null;2;29.5;null
"2020-10-09T12:35:22+02:00";859.6;null;null;31.4
"2020-10-09T12:35:23+02:00";null;2;25;null
"2020-10-09T12:35:27+02:00";859.6;null;null;30.9
"2020-10-09T12:35:28+02:00";null;2;20.5;null
"2020-10-09T12:35:32+02:00";859.6;null;null;25
"2020-10-09T12:35:33+02:00";null;2.6;19.6;null
"2020-10-09T12:35:37+02:00";859.6;null;null;18.5
"2020-10-09T12:35:38+02:00";null;3.2;19.1;null
"2020-10-09T12:35:42+02:00";859.6;null;null;16.1
"2020-10-09T12:35:43+02:00";null;3.2;18.9;null
"2020-10-09T12:35:47+02:00";429.9;null;null;14.5
"2020-10-09T12:35:48+02:00";null;3.2;3.8;null
"2020-10-09T12:35:52+02:00";0.2;null;null;8.7
"2020-10-09T12:35:53+02:00";null;3.2;3.1;null
"2020-10-09T12:35:57+02:00";0.7;null;null;1
"2020-10-09T12:35:58+02:00";null;3.2;3.1;null
"2020-10-09T12:36:02+02:00";0.8;null;null;0.7
"2020-10-09T12:36:03+02:00";null;3.1;2.7;null
"2020-10-09T12:36:07+02:00";null;null;null;0.5
"2020-10-09T12:36:08+02:00";null;null;2.3;null
"2020-10-09T12:36:58+02:00";null;3;null;null
"2020-10-09T12:37:00+02:00";0.8;null;null;null
"2020-10-09T12:37:03+02:00";null;3;null;null
"2020-10-09T12:37:05+02:00";0.8;null;null;268.4
"2020-10-09T12:37:06+02:00";0.8;null;174.3;null
"2020-10-09T12:37:07+02:00";null;null;null;526.2
"2020-10-09T12:37:08+02:00";null;3;334.6;null
"2020-10-09T12:37:10+02:00";1.1;null;null;null
"2020-10-09T12:37:12+02:00";null;null;null;530.6
"2020-10-09T12:37:13+02:00";null;1.5;null;null
"2020-10-09T12:37:15+02:00";1.4;null;null;null
"2020-10-09T12:37:16+02:00";null;null;345.6;null
"2020-10-09T12:37:18+02:00";null;0;null;null
"2020-10-09T12:37:19+02:00";null;null;null;536.1
"2020-10-09T12:37:20+02:00";1.3;null;null;null
"2020-10-09T12:37:21+02:00";1.3;null;352.3;null
"2020-10-09T12:37:23+02:00";null;0;null;null
"2020-10-09T12:37:24+02:00";null;null;null;545.9
"2020-10-09T12:37:25+02:00";1.2;null;null;545.9
"2020-10-09T12:37:26+02:00";null;null;359.1;551.3
"2020-10-09T12:37:27+02:00";null;null;359.1;null
"2020-10-09T12:37:28+02:00";null;0;null;null
"2020-10-09T12:37:30+02:00";0.9;null;null;null
"2020-10-09T12:37:31+02:00";null;null;362.3;552.4
"2020-10-09T12:37:32+02:00";null;null;362.3;null
"2020-10-09T12:37:33+02:00";null;0;null;null
"2020-10-09T12:37:35+02:00";0.7;null;null;null
"2020-10-09T12:37:36+02:00";0.7;null;null;552.6
"2020-10-09T12:37:37+02:00";null;null;368.4;null
"2020-10-09T12:37:38+02:00";null;0.7;null;null
"2020-10-09T12:37:40+02:00";0.6;null;null;null
"2020-10-09T12:37:41+02:00";0.6;null;373.4;553.1
"2020-10-09T12:37:43+02:00";null;1.4;null;null
"2020-10-09T12:37:45+02:00";0.6;null;null;null
"2020-10-09T12:37:46+02:00";null;null;374.4;553.3
"2020-10-09T12:37:47+02:00";null;null;374.4;null
"2020-10-09T12:37:48+02:00";null;1.4;null;null
"2020-10-09T12:37:50+02:00";0.6;null;null;null
"2020-10-09T12:37:51+02:00";0.6;null;376.5;287.8
"2020-10-09T12:37:52+02:00";null;null;376.5;null
"2020-10-09T12:37:53+02:00";null;1.6;null;null
"2020-10-09T12:37:55+02:00";null;null;null;34.2
"2020-10-09T12:37:56+02:00";0.6;null;null;34.2
"2020-10-09T12:37:57+02:00";null;null;205.3;null
"2020-10-09T12:37:58+02:00";null;1.8;null;null
"2020-10-09T12:38:00+02:00";null;null;null;33.3
"2020-10-09T12:38:01+02:00";0.3;null;null;33.3
"2020-10-09T12:38:02+02:00";null;null;46.8;null
"2020-10-09T12:38:03+02:00";null;1.8;null;null
"2020-10-09T12:38:05+02:00";null;null;null;28.2
"2020-10-09T12:38:06+02:00";0;null;null;null
"2020-10-09T12:38:07+02:00";null;null;36.5;null
"2020-10-09T12:38:08+02:00";null;1.8;null;null
"2020-10-09T12:38:10+02:00";0;null;null;null
"2020-10-09T12:38:11+02:00";0;null;null;21.4
"2020-10-09T12:38:12+02:00";null;null;29.7;null
"2020-10-09T12:38:13+02:00";null;1.8;null;null
"2020-10-09T12:38:15+02:00";null;null;null;19.3
"2020-10-09T12:38:16+02:00";0;null;30.8;19.3
"2020-10-09T12:38:17+02:00";null;null;30.8;null
"2020-10-09T12:38:18+02:00";null;1.8;null;null
"2020-10-09T12:38:21+02:00";0;null;34.1;20.6
"2020-10-09T12:38:22+02:00";null;null;34.1;null
"2020-10-09T12:38:23+02:00";null;2.7;null;null
"2020-10-09T12:38:25+02:00";null;null;null;26.8
"2020-10-09T12:38:26+02:00";0;null;null;26.8
"2020-10-09T12:38:27+02:00";null;null;29.1;null
"2020-10-09T12:38:28+02:00";null;2.9;null;null
"2020-10-09T12:38:30+02:00";null;null;null;27.3
"2020-10-09T12:38:31+02:00";0;null;30.2;null
"2020-10-09T12:38:32+02:00";null;null;30.2;null
"2020-10-09T12:38:33+02:00";null;2.2;null;null
"2020-10-09T12:38:35+02:00";null;null;null;28.7
"2020-10-09T12:38:36+02:00";0;null;29.6;28.7
"2020-10-09T12:38:37+02:00";null;null;29.6;null
"2020-10-09T12:38:38+02:00";null;2.2;null;null
"2020-10-09T12:38:40+02:00";null;null;null;26.8
"2020-10-09T12:38:41+02:00";0;null;null;26.8
"2020-10-09T12:38:42+02:00";null;null;35.2;null
"2020-10-09T12:38:43+02:00";null;2;null;null
"2020-10-09T12:38:45+02:00";null;null;null;28.8
"2020-10-09T12:38:46+02:00";0.2;null;38.1;28.8
"2020-10-09T12:38:48+02:00";null;1.8;null;null
"2020-10-09T12:38:50+02:00";null;null;null;25.4
"2020-10-09T12:38:51+02:00";0.4;null;null;25.4
"2020-10-09T12:38:52+02:00";null;null;36.4;null
"2020-10-09T12:38:53+02:00";null;1.8;null;null
"2020-10-09T12:38:56+02:00";0.4;null;null;29.4
"2020-10-09T12:38:57+02:00";null;null;38;null
"2020-10-09T12:38:58+02:00";null;432.4;null;null
"2020-10-09T12:39:00+02:00";null;null;null;27.9
"2020-10-09T12:39:01+02:00";1.7;863;39.1;null
"2020-10-09T12:39:05+02:00";null;null;null;25.1
"2020-10-09T12:39:06+02:00";2.4;863;null;25.1
"2020-10-09T12:39:07+02:00";null;null;33.9;null
"2020-10-09T12:39:10+02:00";null;null;null;24.9
"2020-10-09T12:39:11+02:00";2.4;862.1;null;null
"2020-10-09T12:39:12+02:00";null;null;31;null
"2020-10-09T12:39:16+02:00";2.4;861.2;null;23
"2020-10-09T12:39:17+02:00";null;null;32.9;null
"2020-10-09T12:39:20+02:00";null;null;null;30.2
"2020-10-09T12:39:21+02:00";2.4;861.2;null;null
"2020-10-09T12:39:22+02:00";null;null;29.9;null
"2020-10-09T12:39:25+02:00";null;null;null;32
"2020-10-09T12:39:26+02:00";2.9;861.4;null;null
"2020-10-09T12:39:27+02:00";null;null;36;null
"2020-10-09T12:39:30+02:00";null;null;null;43.8
"2020-10-09T12:39:31+02:00";3.4;861.6;51.7;null
"2020-10-09T12:39:32+02:00";3.4;null;null;null
"2020-10-09T12:39:35+02:00";null;null;null;37.7
"2020-10-09T12:39:36+02:00";null;861.6;48.1;null
"2020-10-09T12:39:37+02:00";3.1;null;null;null
"2020-10-09T12:39:40+02:00";null;null;null;37.6
"2020-10-09T12:39:41+02:00";null;862.8;48;null
"2020-10-09T12:39:42+02:00";2.8;null;null;null
"2020-10-09T12:39:45+02:00";null;null;null;33.2
"2020-10-09T12:39:46+02:00";null;433.4;45.6;null
"2020-10-09T12:39:47+02:00";2.4;null;null;null
"2020-10-09T12:39:50+02:00";null;null;null;32
"2020-10-09T12:39:51+02:00";null;2.8;null;null
"2020-10-09T12:39:52+02:00";2;null;null;null
