Time,Hour,0x00,0x01,QoS Delay
115,2020-10-30T11:52:48-07:00,0.015,0,0.053
116,2020-10-30T11:52:49-07:00,0.018,0,0.038
117,2020-10-30T11:52:50-07:00,0.017,0,0.046
118,2020-10-30T11:52:51-07:00,0.023,0,0.03
119,2020-10-30T11:52:52-07:00,0.015,0,0.035
120,2020-10-30T11:52:53-07:00,0.02,0,0.055
121,2020-10-30T11:52:54-07:00,0.062,0,0.033
122,2020-10-30T11:52:55-07:00,0.063,0,0.035
123,2020-10-30T11:52:56-07:00,0.061,0,0.039
124,2020-10-30T11:52:57-07:00,0.018,0,0.04
125,2020-10-30T11:52:58-07:00,0.015,0,0.031
126,2020-10-30T11:52:59-07:00,0.015,0,0.04
127,2020-10-30T11:53:00-07:00,0.088,0,0.043
128,2020-10-30T11:53:01-07:00,0.093,0,0.032
129,2020-10-30T11:53:02-07:00,0.067,0,0.05
130,2020-10-30T11:53:03-07:00,0.037,0,0.045
131,2020-10-30T11:53:04-07:00,0.015,0,0.041
132,2020-10-30T11:53:05-07:00,0.047,0,0.06
133,2020-10-30T11:53:06-07:00,0.037,0,0.044
134,2020-10-30T11:53:07-07:00,0.015,0,0.044
135,2020-10-30T11:53:08-07:00,0.015,0,0.045
136,2020-10-30T11:53:09-07:00,0.044,0,0.056
137,2020-10-30T11:53:10-07:00,0.014,0,0.034
138,2020-10-30T11:53:11-07:00,0.02,0,0.042
139,2020-10-30T11:53:12-07:00,0.063,0,0.04
140,2020-10-30T11:53:13-07:00,0.015,0,0.032
141,2020-10-30T11:53:14-07:00,0.014,0,0.048
142,2020-10-30T11:53:15-07:00,0.02,0,0.046
143,2020-10-30T11:53:16-07:00,0.132,0,0.04
144,2020-10-30T11:53:17-07:00,0.017,0,0.04
145,2020-10-30T11:53:18-07:00,0.322,0,0.043
146,2020-10-30T11:53:19-07:00,0.015,0,0.044
147,2020-10-30T11:53:20-07:00,0.015,0,0.05
148,2020-10-30T11:53:21-07:00,0.043,0,0.073
149,2020-10-30T11:53:22-07:00,0.024,0,0.039
150,2020-10-30T11:53:23-07:00,0.188,0,0.037
151,2020-10-30T11:53:24-07:00,0.015,0,0.049
152,2020-10-30T11:53:25-07:00,0.028,0,0.07
153,2020-10-30T11:53:26-07:00,0.082,0,0.055
154,2020-10-30T11:53:27-07:00,0.019,0,0.04
155,2020-10-30T11:53:28-07:00,12.158,0,345.784
156,2020-10-30T11:53:29-07:00,49.955,0,607.004
157,2020-10-30T11:53:30-07:00,53.675,0,666.821
158,2020-10-30T11:53:31-07:00,3.001,0,315.879
159,2020-10-30T11:53:32-07:00,0.504,0,70.099
160,2020-10-30T11:53:33-07:00,8.026,0,2.778
161,2020-10-30T11:53:34-07:00,0.016,0,0.047
162,2020-10-30T11:53:35-07:00,0.041,0,0.043
163,2020-10-30T11:53:36-07:00,0.017,0,0.033
164,2020-10-30T11:53:37-07:00,0.015,0,0.047
165,2020-10-30T11:53:38-07:00,0.015,0,0.049
166,2020-10-30T11:53:39-07:00,0.126,0,0.041
167,2020-10-30T11:53:40-07:00,0.062,0,0.051
168,2020-10-30T11:53:41-07:00,0.016,0,0.042
169,2020-10-30T11:53:42-07:00,0.045,0,0.051
170,2020-10-30T11:53:43-07:00,0.016,0,0.049
171,2020-10-30T11:53:44-07:00,0.135,0,0.048
172,2020-10-30T11:53:45-07:00,0.084,0,0.043
173,2020-10-30T11:53:46-07:00,0.016,0,0.042
174,2020-10-30T11:53:47-07:00,0.039,0,0.048
175,2020-10-30T11:53:48-07:00,0.072,0,0.051
176,2020-10-30T11:53:49-07:00,0.057,0,0.051
177,2020-10-30T11:53:50-07:00,0.04,0,0.036
178,2020-10-30T11:53:51-07:00,0.033,0,0.047
179,2020-10-30T11:53:52-07:00,0.079,0,0.051
180,2020-10-30T11:53:53-07:00,0.015,0,0.059
181,2020-10-30T11:53:54-07:00,0.015,0,0.06
182,2020-10-30T11:53:55-07:00,0.058,0,0.043
183,2020-10-30T11:53:56-07:00,0.021,0,0.046
184,2020-10-30T11:53:57-07:00,0.071,0,0.035
185,2020-10-30T11:53:58-07:00,0.015,0,0.06
186,2020-10-30T11:53:59-07:00,0.015,0,0.067
187,2020-10-30T11:54:00-07:00,0.015,0,0.05
188,2020-10-30T11:54:01-07:00,0.015,0,0.035
189,2020-10-30T11:54:02-07:00,0.014,0,0.054
