Time,Hour,BE,STA 2
112,2020-10-30T11:52:45-07:00,1.577198411,0.005043164
113,2020-10-30T11:52:46-07:00,1.677560464,0.005000821
114,2020-10-30T11:52:47-07:00,1.63336376,0.004700425
115,2020-10-30T11:52:48-07:00,1.605990712,0.00501885
116,2020-10-30T11:52:49-07:00,1.647334884,0.004816916
117,2020-10-30T11:52:50-07:00,1.613362952,0.004753216
118,2020-10-30T11:52:51-07:00,1.657341823,0.004851757
119,2020-10-30T11:52:52-07:00,1.611535235,0.004618211
120,2020-10-30T11:52:53-07:00,1.573385202,0.004363953
121,2020-10-30T11:52:54-07:00,1.692933623,0.005026172
122,2020-10-30T11:52:55-07:00,1.793695146,0.0048616
123,2020-10-30T11:52:56-07:00,1.781009091,0.00474668
124,2020-10-30T11:52:57-07:00,1.774740103,0.004589155
125,2020-10-30T11:52:58-07:00,1.735076637,0.004446867
126,2020-10-30T11:52:59-07:00,1.857714009,0.004872942
127,2020-10-30T11:53:00-07:00,1.786692673,0.004943879
128,2020-10-30T11:53:01-07:00,1.782525186,0.004733912
129,2020-10-30T11:53:02-07:00,1.780944377,0.004639781
130,2020-10-30T11:53:03-07:00,1.77352909,0.004671663
131,2020-10-30T11:53:04-07:00,1.798396022,0.00438812
132,2020-10-30T11:53:05-07:00,1.924678155,0.004884552
133,2020-10-30T11:53:06-07:00,2.024810974,0.004927058
134,2020-10-30T11:53:07-07:00,1.993670841,0.004916521
135,2020-10-30T11:53:08-07:00,1.924306889,0.004426275
136,2020-10-30T11:53:09-07:00,2.012855621,0.004900426
137,2020-10-30T11:53:10-07:00,1.962480987,0.005169176
138,2020-10-30T11:53:11-07:00,1.967895693,0.005120607
139,2020-10-30T11:53:12-07:00,2.013820505,0.004829911
140,2020-10-30T11:53:13-07:00,1.931786926,0.004581676
141,2020-10-30T11:53:14-07:00,1.965237569,0.004533315
142,2020-10-30T11:53:15-07:00,2.222166798,0.005091628
143,2020-10-30T11:53:16-07:00,2.159368928,0.004725192
144,2020-10-30T11:53:17-07:00,2.157257182,0.004679919
145,2020-10-30T11:53:18-07:00,2.128273378,0.004570471
146,2020-10-30T11:53:19-07:00,2.161071806,0.004464096
147,2020-10-30T11:53:20-07:00,2.15500533,0.004711375
148,2020-10-30T11:53:21-07:00,2.160918871,0.004784979
149,2020-10-30T11:53:22-07:00,2.172967106,0.004921564
150,2020-10-30T11:53:23-07:00,2.167026404,0.004800907
151,2020-10-30T11:53:24-07:00,2.171482577,0.004512788
152,2020-10-30T11:53:25-07:00,2.382066303,0.004903005
153,2020-10-30T11:53:26-07:00,2.362193536,0.004494394
154,2020-10-30T11:53:27-07:00,2.402499351,0.004990676
155,2020-10-30T11:53:28-07:00,2.380362648,0
156,2020-10-30T11:53:29-07:00,2.370318861,0.008867067
157,2020-10-30T11:53:30-07:00,2.309460119,0.004770119
158,2020-10-30T11:53:31-07:00,2.450606383,0.004958377
159,2020-10-30T11:53:32-07:00,2.381124047,0.004864177
160,2020-10-30T11:53:33-07:00,2.362721087,0.004671214
161,2020-10-30T11:53:34-07:00,2.371615964,0.00452759
162,2020-10-30T11:53:35-07:00,1.011254172,0.005256778
163,2020-10-30T11:53:36-07:00,1.011263025,0.004741334
164,2020-10-30T11:53:37-07:00,1.026244337,0.00481556
165,2020-10-30T11:53:38-07:00,1.014964367,0.004716688
166,2020-10-30T11:53:39-07:00,0.992968815,0.004401459
167,2020-10-30T11:53:40-07:00,1.013183281,0.005004712
168,2020-10-30T11:53:41-07:00,1.003401321,0.004630163
169,2020-10-30T11:53:42-07:00,0.995525557,0.004443276
170,2020-10-30T11:53:43-07:00,1.016935094,0.005059184
171,2020-10-30T11:53:44-07:00,1.015636207,0.004458799
172,2020-10-30T11:53:45-07:00,1.117209666,0.004867901
173,2020-10-30T11:53:46-07:00,1.105183603,0.004635771
174,2020-10-30T11:53:47-07:00,1.111600667,0.004881063
175,2020-10-30T11:53:48-07:00,1.107210071,0.00457435
176,2020-10-30T11:53:49-07:00,1.12109004,0.004770401
177,2020-10-30T11:53:50-07:00,1.132394702,0.005414709
178,2020-10-30T11:53:51-07:00,1.108799408,0.00471149
179,2020-10-30T11:53:52-07:00,1.086580887,0.004564007
180,2020-10-30T11:53:53-07:00,1.112658324,0.004400155
181,2020-10-30T11:53:54-07:00,1.125459878,0.005041057
182,2020-10-30T11:53:55-07:00,1.195675374,0.004758916
183,2020-10-30T11:53:56-07:00,1.27488142,0.005246046
184,2020-10-30T11:53:57-07:00,1.179071477,0.00439397
185,2020-10-30T11:53:58-07:00,1.190895673,0.004621475
186,2020-10-30T11:53:59-07:00,1.25932237,0.004941904
187,2020-10-30T11:54:00-07:00,1.263576309,0.004963493
188,2020-10-30T11:54:01-07:00,1.214337216,0.004685995
189,2020-10-30T11:54:02-07:00,1.225727756,0.004753927
190,2020-10-30T11:54:03-07:00,1.204805133,0.004647183
191,2020-10-30T11:54:04-07:00,1.207897642,0.004178497
192,2020-10-30T11:54:05-07:00,1.369296839,0.005409942
193,2020-10-30T11:54:06-07:00,1.366904398,0.004755305
194,2020-10-30T11:54:07-07:00,1.27692195,0.004416524
195,2020-10-30T11:54:08-07:00,1.328004177,0.004514582
196,2020-10-30T11:54:09-07:00,1.393102777,0.005175665
197,2020-10-30T11:54:10-07:00,1.359295748,0.00478934
198,2020-10-30T11:54:11-07:00,1.343281714,0.004691376
199,2020-10-30T11:54:12-07:00,1.335961811,0.004714961
200,2020-10-30T11:54:13-07:00,1.371762683,0.004798355
201,2020-10-30T11:54:14-07:00,1.329734126,0.004314658
202,2020-10-30T11:54:15-07:00,1.488665994,0.005165065
203,2020-10-30T11:54:16-07:00,1.501149444,0.005125352
204,2020-10-30T11:54:17-07:00,1.485979997,0.004783469
205,2020-10-30T11:54:18-07:00,1.441269565,0.004550816
206,2020-10-30T11:54:19-07:00,1.460853596,0.004435312
207,2020-10-30T11:54:20-07:00,1.501908377,0.00485112
208,2020-10-30T11:54:21-07:00,1.496269661,0.004998281
209,2020-10-30T11:54:22-07:00,1.463279766,0.004672592
210,2020-10-30T11:54:23-07:00,1.470533733,0.004692653
211,2020-10-30T11:54:24-07:00,1.470534508,0.004479627
212,2020-10-30T11:54:25-07:00,1.644858489,0.00474039
213,2020-10-30T11:54:26-07:00,1.640964342,0.004978078
214,2020-10-30T11:54:27-07:00,1.646133412,0.00485231
215,2020-10-30T11:54:28-07:00,1.595765416,0
216,2020-10-30T11:54:29-07:00,1.622286178,0.005154782
217,2020-10-30T11:54:30-07:00,1.626707913,0.009430986
218,2020-10-30T11:54:31-07:00,1.631889382,0.004729477
219,2020-10-30T11:54:32-07:00,1.59699744,0.004497271
220,2020-10-30T11:54:33-07:00,1.665554992,0.005013499
221,2020-10-30T11:54:34-07:00,1.619641515,0.004333179
222,2020-10-30T11:54:35-07:00,1.034880599,0.005292187
223,2020-10-30T11:54:36-07:00,0.9771837,0.004258406
224,2020-10-30T11:54:37-07:00,0.981350555,0.004498996
225,2020-10-30T11:54:38-07:00,1.055559011,0.005003284
226,2020-10-30T11:54:39-07:00,1.013667564,0.005560131
227,2020-10-30T11:54:40-07:00,1.009560446,0.004585414
228,2020-10-30T11:54:41-07:00,1.003034785,0.004583891
229,2020-10-30T11:54:42-07:00,1.003437822,0.004830705
230,2020-10-30T11:54:43-07:00,1.012426394,0.004594799
231,2020-10-30T11:54:44-07:00,1.020001304,0.004882147
232,2020-10-30T11:54:45-07:00,1.104572972,0.004605113
233,2020-10-30T11:54:46-07:00,1.106395272,0.004867763
234,2020-10-30T11:54:47-07:00,1.116310418,0.004777723
235,2020-10-30T11:54:48-07:00,1.113151614,0.004569086
236,2020-10-30T11:54:49-07:00,1.110685435,0.004486833
237,2020-10-30T11:54:50-07:00,1.097220385,0.004736126
238,2020-10-30T11:54:51-07:00,1.078178437,0.004662085
239,2020-10-30T11:54:52-07:00,1.155326965,0.005099023
240,2020-10-30T11:54:53-07:00,1.109769798,0.004725791
241,2020-10-30T11:54:54-07:00,1.124807076,0.004616149
242,2020-10-30T11:54:55-07:00,1.246502964,0.005046623
243,2020-10-30T11:54:56-07:00,1.223381213,0.004530205
244,2020-10-30T11:54:57-07:00,1.203816234,0.004704443
245,2020-10-30T11:54:58-07:00,1.215887042,0.004707113
246,2020-10-30T11:54:59-07:00,1.227589754,0.004882836
247,2020-10-30T11:55:00-07:00,1.215812311,0.004581785
248,2020-10-30T11:55:01-07:00,1.244667537,0.004856092
249,2020-10-30T11:55:02-07:00,1.203390266,0.00497522
250,2020-10-30T11:55:03-07:00,1.232390208,0.004827134
251,2020-10-30T11:55:04-07:00,1.217489991,0.004354775
252,2020-10-30T11:55:05-07:00,1.341479054,0.004819479
253,2020-10-30T11:55:06-07:00,1.328603995,0.004795772
254,2020-10-30T11:55:07-07:00,1.308578318,0.004766324
255,2020-10-30T11:55:08-07:00,1.361897395,0.004650438
256,2020-10-30T11:55:09-07:00,1.32682892,0.004716498
257,2020-10-30T11:55:10-07:00,1.399554644,0.005230293
258,2020-10-30T11:55:11-07:00,1.348885214,0.004782911
259,2020-10-30T11:55:12-07:00,1.358784285,0.004757266
260,2020-10-30T11:55:13-07:00,1.318973779,0.004654459
261,2020-10-30T11:55:14-07:00,1.335094786,0.004377587
262,2020-10-30T11:55:15-07:00,1.511944419,0.005159944
263,2020-10-30T11:55:16-07:00,1.421438814,0.004290664
264,2020-10-30T11:55:17-07:00,1.514399078,0.004989845
265,2020-10-30T11:55:18-07:00,1.537702319,0.005051943
266,2020-10-30T11:55:19-07:00,1.450338194,0.004351727
267,2020-10-30T11:55:20-07:00,1.470735386,0.005052976
268,2020-10-30T11:55:21-07:00,1.488970485,0.004722279
269,2020-10-30T11:55:22-07:00,1.442546753,0.004595684
270,2020-10-30T11:55:23-07:00,1.540188894,0.004911504
271,2020-10-30T11:55:24-07:00,1.454076846,0.00459916
272,2020-10-30T11:55:25-07:00,1.675662033,0.005285031
273,2020-10-30T11:55:26-07:00,1.602582304,0.00464234
274,2020-10-30T11:55:27-07:00,1.60403339,0.004511497
275,2020-10-30T11:55:28-07:00,1.664022581,0
276,2020-10-30T11:55:29-07:00,1.614431563,0.004688402
277,2020-10-30T11:55:30-07:00,1.594395278,0.009117752
278,2020-10-30T11:55:31-07:00,1.682835252,0.005000548
279,2020-10-30T11:55:32-07:00,1.615280473,0.004669513
280,2020-10-30T11:55:33-07:00,1.597869334,0.004591187
281,2020-10-30T11:55:34-07:00,1.638722515,0.004215008
282,2020-10-30T11:55:35-07:00,1.770060686,0.005382889
283,2020-10-30T11:55:36-07:00,1.748301211,0.004394328
284,2020-10-30T11:55:37-07:00,1.880472329,0.005241987
285,2020-10-30T11:55:38-07:00,1.716337616,0.004321851
286,2020-10-30T11:55:39-07:00,1.830947071,0.004859924
287,2020-10-30T11:55:40-07:00,1.797156148,0.004626865
288,2020-10-30T11:55:41-07:00,1.818431567,0.005156319
289,2020-10-30T11:55:42-07:00,1.753194485,0.004603929
290,2020-10-30T11:55:43-07:00,1.834761393,0.004859904
291,2020-10-30T11:55:44-07:00,1.743984014,0.003805768
292,2020-10-30T11:55:45-07:00,2.021043981,0.005925453
293,2020-10-30T11:55:46-07:00,1.955293114,0.005304504
294,2020-10-30T11:55:47-07:00,2.022883975,0.005013714
295,2020-10-30T11:55:48-07:00,1.958038356,0.004650036
296,2020-10-30T11:55:49-07:00,1.92287609,0.004333334
297,2020-10-30T11:55:50-07:00,2.030263078,0.005244936
298,2020-10-30T11:55:51-07:00,1.969946395,0.004746689
299,2020-10-30T11:55:52-07:00,1.928476574,0.004612015
300,2020-10-30T11:55:53-07:00,1.965287647,0.004468095
301,2020-10-30T11:55:54-07:00,1.95208299,0.00452855
302,2020-10-30T11:55:55-07:00,2.153934798,0.004788871
303,2020-10-30T11:55:56-07:00,2.207545897,0.005163082
304,2020-10-30T11:55:57-07:00,2.131378664,0.004437608
305,2020-10-30T11:55:58-07:00,2.247409754,0.005131601
306,2020-10-30T11:55:59-07:00,2.132200968,0.004355676
307,2020-10-30T11:56:00-07:00,2.149112345,0.005051443
308,2020-10-30T11:56:01-07:00,2.176287508,0.004731898
309,2020-10-30T11:56:02-07:00,2.117885118,0.004343753
310,2020-10-30T11:56:03-07:00,2.142872109,0.004667582
311,2020-10-30T11:56:04-07:00,2.244327266,0.004603482
312,2020-10-30T11:56:05-07:00,2.372625615,0.005295809
313,2020-10-30T11:56:06-07:00,2.326651527,0.004356995
314,2020-10-30T11:56:07-07:00,2.422278004,0.00500759
315,2020-10-30T11:56:08-07:00,2.396065162,0.004925038
316,2020-10-30T11:56:09-07:00,2.384365938,0.005057923
317,2020-10-30T11:56:10-07:00,2.366146808,0.00459384
318,2020-10-30T11:56:11-07:00,2.272131392,0.004346194
319,2020-10-30T11:56:12-07:00,2.48730465,0.005010758
320,2020-10-30T11:56:13-07:00,2.372887152,0.004564774
321,2020-10-30T11:56:14-07:00,2.425978612,0.004773252
322,2020-10-30T11:56:15-07:00,2.601276397,0.004798749
323,2020-10-30T11:56:16-07:00,2.689182753,0.005143241
324,2020-10-30T11:56:17-07:00,2.570490825,0.004579937
325,2020-10-30T11:56:18-07:00,2.587208628,0.004617412
326,2020-10-30T11:56:19-07:00,2.603412913,0.004519375
327,2020-10-30T11:56:20-07:00,2.687752027,0.005144419
328,2020-10-30T11:56:21-07:00,2.602370934,0.004463668
329,2020-10-30T11:56:22-07:00,2.579660085,0.004539765
330,2020-10-30T11:56:23-07:00,2.568761118,0.004729352
331,2020-10-30T11:56:24-07:00,2.708700111,0.004914274
332,2020-10-30T11:56:25-07:00,2.95653146,0.005448147
333,2020-10-30T11:56:26-07:00,2.804228423,0.004473581
334,2020-10-30T11:56:27-07:00,2.907415425,0.00484472
335,2020-10-30T11:56:28-07:00,2.860392654,0.004579056
336,2020-10-30T11:56:29-07:00,2.885871267,0.004400037
337,2020-10-30T11:56:30-07:00,2.891339626,0.005174338
338,2020-10-30T11:56:31-07:00,2.947155953,0.00529234
339,2020-10-30T11:56:32-07:00,2.877725771,0.008044938
340,2020-10-30T11:56:33-07:00,2.805537699,0.00448924
341,2020-10-30T11:56:34-07:00,2.774760976,0.004820458
342,2020-10-30T11:56:35-07:00,1.015631423,0.005121654
343,2020-10-30T11:56:36-07:00,0.992248957,0.004311817
344,2020-10-30T11:56:37-07:00,1.032813993,0.005196865
345,2020-10-30T11:56:38-07:00,1.00625218,0.00471201
346,2020-10-30T11:56:39-07:00,1.006410249,0.004761332
347,2020-10-30T11:56:40-07:00,1.021719214,0.00470777
348,2020-10-30T11:56:41-07:00,1.02288951,0.004846991
349,2020-10-30T11:56:42-07:00,0.964867533,0.004282644
350,2020-10-30T11:56:43-07:00,1.013417179,0.004626931
351,2020-10-30T11:56:44-07:00,1.037254543,0.005021395
352,2020-10-30T11:56:45-07:00,1.121463208,0.004924091
353,2020-10-30T11:56:46-07:00,1.122013572,0.004763263
