Time,Hour,0x00,0x01,QoS
109,2020-10-30T11:52:42-07:00,0.004864,0,21.688672
110,2020-10-30T11:52:43-07:00,0.004864,0,20.179744
111,2020-10-30T11:52:44-07:00,0.009848,0,23.691904
112,2020-10-30T11:52:45-07:00,0.004864,0,18.705504
113,2020-10-30T11:52:46-07:00,0.004864,0,20.257792
114,2020-10-30T11:52:47-07:00,0.004864,0,21.090304
115,2020-10-30T11:52:48-07:00,0.005488,0,20.94288
116,2020-10-30T11:52:49-07:00,0.004864,0,20.700064
117,2020-10-30T11:52:50-07:00,0.004864,0,20.864832
118,2020-10-30T11:52:51-07:00,0.004864,0,21.012256
119,2020-10-30T11:52:52-07:00,0.004864,0,20.934208
120,2020-10-30T11:52:53-07:00,0.004864,0,21.220384
121,2020-10-30T11:52:54-07:00,0.00928,0,21.194368
122,2020-10-30T11:52:55-07:00,0.004864,0,20.20576
123,2020-10-30T11:52:56-07:00,0.004864,0,21.133664
124,2020-10-30T11:52:57-07:00,0.004864,0,20.491936
125,2020-10-30T11:52:58-07:00,0.004864,0,21.645312
126,2020-10-30T11:52:59-07:00,0.004864,0,21.2464
127,2020-10-30T11:53:00-07:00,0.004864,0,20.344512
128,2020-10-30T11:53:01-07:00,0.004864,0,20.491936
129,2020-10-30T11:53:02-07:00,0.004864,0,20.760768
130,2020-10-30T11:53:03-07:00,0.004864,0,20.760768
131,2020-10-30T11:53:04-07:00,0.009848,0,21.948832
132,2020-10-30T11:53:05-07:00,0.004864,0,19.7288
133,2020-10-30T11:53:06-07:00,0.004864,0,21.37648
134,2020-10-30T11:53:07-07:00,0.004864,0,20.977568
135,2020-10-30T11:53:08-07:00,0.004864,0,21.827424
136,2020-10-30T11:53:09-07:00,0.004864,0,20.830144
137,2020-10-30T11:53:10-07:00,0.005488,0,20.500608
138,2020-10-30T11:53:11-07:00,0.005488,0,20.353184
139,2020-10-30T11:53:12-07:00,0.004864,0,19.824192
140,2020-10-30T11:53:13-07:00,0.004864,0,20.708736
141,2020-10-30T11:53:14-07:00,0.0086,0,22.035552
142,2020-10-30T11:53:15-07:00,0.006112,0,19.832864
143,2020-10-30T11:53:16-07:00,0.004864,0,21.714688
144,2020-10-30T11:53:17-07:00,0.004864,0,20.717408
145,2020-10-30T11:53:18-07:00,0.004864,0,20.283808
146,2020-10-30T11:53:19-07:00,0.004864,0,21.28976
147,2020-10-30T11:53:20-07:00,0.004864,0,20.882176
148,2020-10-30T11:53:21-07:00,0.004864,0,20.561312
