Time;Hour;STA 6;STA 5;STA 4;STA 3;STA 2;STA 1
1;2020-12-03T16:37:04+01:00;0;0;0;0;1;1
2;2020-12-03T16:37:05+01:00;0;0;0;0;1;1
3;2020-12-03T16:37:06+01:00;0;0;0;0;1;1
4;2020-12-03T16:37:07+01:00;0;0;0;0;1;1
5;2020-12-03T16:37:08+01:00;0;0;0;0;1;1
6;2020-12-03T16:37:09+01:00;0;0;0;0;1;1
7;2020-12-03T16:37:10+01:00;0;0;0;0;1;1
8;2020-12-03T16:37:11+01:00;0;0;0;0;1;1
9;2020-12-03T16:37:12+01:00;0;0;0;0;1;1
10;2020-12-03T16:37:13+01:00;0;0;0;0;1;1
11;2020-12-03T16:37:14+01:00;0;0;1;0;1;1
12;2020-12-03T16:37:15+01:00;0;0;1;0;1;1
13;2020-12-03T16:37:16+01:00;0;0;1;0;1;1
14;2020-12-03T16:37:17+01:00;0;0;1;0;1;1
15;2020-12-03T16:37:18+01:00;0;0;1;0;1;1
16;2020-12-03T16:37:19+01:00;0;0;1;0;1;1
17;2020-12-03T16:37:20+01:00;0;0;1;0;1;1
18;2020-12-03T16:37:21+01:00;0;0;1;0;1;1
19;2020-12-03T16:37:22+01:00;0;0;1;0;1;1
20;2020-12-03T16:37:23+01:00;0;0;1;0;1;1
21;2020-12-03T16:37:24+01:00;0;0;1;0;1;1
22;2020-12-03T16:37:25+01:00;0;0;1;0;1;1
23;2020-12-03T16:37:26+01:00;0;0;1;0;1;1
24;2020-12-03T16:37:27+01:00;0;0;1;0;1;1
25;2020-12-03T16:37:28+01:00;0;0;1;0;1;1
26;2020-12-03T16:37:29+01:00;0;0;1;0;1;1
27;2020-12-03T16:37:30+01:00;0;0;1;0;1;1
28;2020-12-03T16:37:31+01:00;0;0;1;0;1;1
29;2020-12-03T16:37:32+01:00;0;0;1;0;1;1
30;2020-12-03T16:37:33+01:00;0;0;1;0;1;1
31;2020-12-03T16:37:34+01:00;0;0;1;0;1;1
32;2020-12-03T16:37:35+01:00;0;0;1;0;1;1
33;2020-12-03T16:37:36+01:00;0;0;1;0;1;1
34;2020-12-03T16:37:37+01:00;0;0;1;0;1;1
35;2020-12-03T16:37:38+01:00;0;0;1;0;1;1
36;2020-12-03T16:37:39+01:00;0;0;1;0;1;1
37;2020-12-03T16:37:40+01:00;0;0;1;0;1;1
38;2020-12-03T16:37:41+01:00;0;0;1;0;1;1
39;2020-12-03T16:37:42+01:00;0;0;1;0;1;1
40;2020-12-03T16:37:43+01:00;0;0;1;0;1;1
41;2020-12-03T16:37:44+01:00;0;0;1;0;1;1
42;2020-12-03T16:37:45+01:00;0;0;1;0;1;1
43;2020-12-03T16:37:46+01:00;0;0;1;0;1;1
44;2020-12-03T16:37:47+01:00;0;0;1;0;1;1
45;2020-12-03T16:37:48+01:00;0;0;1;0;1;1
46;2020-12-03T16:37:49+01:00;0;0;1;0;1;1
47;2020-12-03T16:37:50+01:00;0;0;1;0;1;1
48;2020-12-03T16:37:51+01:00;0;0;1;0;1;1
49;2020-12-03T16:37:52+01:00;0;0;1;0;1;1
50;2020-12-03T16:37:53+01:00;0;0;1;0;1;1
51;2020-12-03T16:37:54+01:00;0;0;1;0;1;1
52;2020-12-03T16:37:55+01:00;0;0;1;0;1;1
53;2020-12-03T16:37:56+01:00;0;0;1;0;1;1
54;2020-12-03T16:37:57+01:00;0;0;1;0;1;1
55;2020-12-03T16:37:58+01:00;0;0;1;0;1;1
56;2020-12-03T16:37:59+01:00;0;0;1;0;1;1
57;2020-12-03T16:38:00+01:00;0;0;1;0;1;1
58;2020-12-03T16:38:01+01:00;0;0;1;0;1;1
59;2020-12-03T16:38:02+01:00;0;0;1;0;1;1
60;2020-12-03T16:38:03+01:00;0;0;1;0;1;1
61;2020-12-03T16:38:04+01:00;0;0;1;0;1;1
62;2020-12-03T16:38:05+01:00;0;0;1;0;1;1
63;2020-12-03T16:38:06+01:00;0;0;1;0;1;1
64;2020-12-03T16:38:07+01:00;0;0;1;0;1;1
65;2020-12-03T16:38:08+01:00;0;0;1;0;1;1
66;2020-12-03T16:38:09+01:00;0;0;1;0;1;1
67;2020-12-03T16:38:10+01:00;0;0;1;0;1;1
68;2020-12-03T16:38:11+01:00;0;0;1;0;1;1
69;2020-12-03T16:38:12+01:00;0;0;1;0;1;1
70;2020-12-03T16:38:13+01:00;0;0;1;0;1;1
71;2020-12-03T16:38:14+01:00;0;0;1;0;1;1
72;2020-12-03T16:38:15+01:00;0;0;1;0;1;1
73;2020-12-03T16:38:16+01:00;0;0;1;0;1;1
74;2020-12-03T16:38:17+01:00;0;0;1;0;1;1
75;2020-12-03T16:38:18+01:00;0;0;1;0;1;1
76;2020-12-03T16:38:19+01:00;0;0;1;0;1;1
77;2020-12-03T16:38:20+01:00;0;0;1;0;1;1
78;2020-12-03T16:38:21+01:00;0;0;1;0;1;1
79;2020-12-03T16:38:22+01:00;0;0;1;0;1;1
80;2020-12-03T16:38:23+01:00;0;0;1;0;1;1
81;2020-12-03T16:38:24+01:00;0;0;1;0;1;1
82;2020-12-03T16:38:25+01:00;0;0;1;0;1;1
83;2020-12-03T16:38:26+01:00;0;0;1;0;1;1
84;2020-12-03T16:38:27+01:00;0;0;1;0;1;1
85;2020-12-03T16:38:28+01:00;0;0;1;0;1;1
86;2020-12-03T16:38:29+01:00;0;0;1;0;1;1
87;2020-12-03T16:38:30+01:00;0;0;1;0;1;1
88;2020-12-03T16:38:31+01:00;0;0;1;0;1;1
89;2020-12-03T16:38:32+01:00;0;0;1;0;1;1
90;2020-12-03T16:38:33+01:00;0;0;1;0;1;1
91;2020-12-03T16:38:34+01:00;0;0;1;0;1;1
92;2020-12-03T16:38:35+01:00;0;0;1;0;1;1
93;2020-12-03T16:38:36+01:00;0;0;1;0;1;1
94;2020-12-03T16:38:37+01:00;0;0;1;0;1;1
95;2020-12-03T16:38:38+01:00;0;0;1;0;1;1
96;2020-12-03T16:38:39+01:00;0;0;1;0;1;1
97;2020-12-03T16:38:40+01:00;0;0;1;0;1;1
98;2020-12-03T16:38:41+01:00;0;0;1;0;1;1
99;2020-12-03T16:38:42+01:00;0;0;1;0;1;1
100;2020-12-03T16:38:43+01:00;0;0;1;0;1;1
101;2020-12-03T16:38:44+01:00;0;0;1;0;1;1
102;2020-12-03T16:38:45+01:00;0;0;1;0;1;1
103;2020-12-03T16:38:46+01:00;0;0;1;0;1;1
104;2020-12-03T16:38:47+01:00;0;0;1;0;1;1
105;2020-12-03T16:38:48+01:00;0;0;1;0;1;1
106;2020-12-03T16:38:49+01:00;0;0;1;0;1;1
107;2020-12-03T16:38:50+01:00;0;0;1;0;1;1
108;2020-12-03T16:38:51+01:00;0;0;1;0;1;1
109;2020-12-03T16:38:52+01:00;0;0;1;0;1;1
110;2020-12-03T16:38:53+01:00;0;0;1;0;1;1
111;2020-12-03T16:38:54+01:00;0;0;1;0;1;1
112;2020-12-03T16:38:55+01:00;0;0;1;0;1;1
113;2020-12-03T16:38:56+01:00;0;0;1;0;1;1
114;2020-12-03T16:38:57+01:00;0;0;1;0;1;1
115;2020-12-03T16:38:58+01:00;0;0;1;0;1;1
116;2020-12-03T16:38:59+01:00;0;0;1;0;1;1
117;2020-12-03T16:39:00+01:00;0;0;1;0;1;1
118;2020-12-03T16:39:01+01:00;0;0;1;0;1;1
119;2020-12-03T16:39:02+01:00;0;0;1;0;1;1
120;2020-12-03T16:39:03+01:00;0;0;1;0;1;1
121;2020-12-03T16:39:04+01:00;0;0;1;0;1;1
122;2020-12-03T16:39:05+01:00;0;0;1;0;1;1
123;2020-12-03T16:39:06+01:00;0;0;1;0;1;1
124;2020-12-03T16:39:07+01:00;0;0;1;0;1;1
125;2020-12-03T16:39:08+01:00;0;0;1;0;1;1
126;2020-12-03T16:39:09+01:00;0;0;1;0;1;1
127;2020-12-03T16:39:10+01:00;0;0;1;0;1;1
128;2020-12-03T16:39:11+01:00;0;0;1;0;1;1
129;2020-12-03T16:39:12+01:00;0;0;1;0;1;1
130;2020-12-03T16:39:13+01:00;0;0;1;0;1;1
131;2020-12-03T16:39:14+01:00;0;0;0;0;1;1
132;2020-12-03T16:39:15+01:00;0;0;0;0;1;1
133;2020-12-03T16:39:16+01:00;0;0;0;0;1;1
134;2020-12-03T16:39:17+01:00;0;0;0;0;1;1
135;2020-12-03T16:39:18+01:00;0;0;0;0;1;1
136;2020-12-03T16:39:19+01:00;0;0;0;0;1;1
137;2020-12-03T16:39:20+01:00;0;0;0;0;1;1
138;2020-12-03T16:39:21+01:00;0;0;0;0;1;1
139;2020-12-03T16:39:22+01:00;0;0;0;0;1;1
140;2020-12-03T16:39:23+01:00;0;0;0;0;1;1
141;2020-12-03T16:39:24+01:00;0;0;0;0;1;1
142;2020-12-03T16:39:25+01:00;0;0;0;0;1;1
143;2020-12-03T16:39:26+01:00;0;0;0;0;1;1
144;2020-12-03T16:39:27+01:00;0;0;0;0;1;1
145;2020-12-03T16:39:28+01:00;0;0;0;0;1;1
146;2020-12-03T16:39:29+01:00;0;0;0;0;1;1
147;2020-12-03T16:39:30+01:00;0;0;0;0;1;1
148;2020-12-03T16:39:31+01:00;0;0;0;0;1;1
149;2020-12-03T16:39:32+01:00;0;0;0;0;1;1
150;2020-12-03T16:39:33+01:00;0;0;0;0;1;1
151;2020-12-03T16:39:34+01:00;0;0;0;0;1;1
152;2020-12-03T16:39:35+01:00;0;0;0;0;1;1
153;2020-12-03T16:39:36+01:00;0;0;0;0;1;1
154;2020-12-03T16:39:37+01:00;0;0;0;0;1;1
155;2020-12-03T16:39:38+01:00;0;0;0;0;1;1
156;2020-12-03T16:39:39+01:00;0;0;0;0;1;1
