sep=;
"Time";"APP: 3 - Node: 11";"APP: 3 - Node: 8860215";"APP: 5 - Node: 12";"APP: 5 - Node: 5079035";"APP: 1 - Node: 11879605";"APP: 1 - Node: 13";"APP: 2 - Node: 13";"APP: 2 - Node: 8860310"
"2020-09-16T11:45:36+02:00";26;139;null;null;null;null;null;null
"2020-09-16T11:45:38+02:00";null;null;null;100;55;30;null;null
"2020-09-16T11:45:39+02:00";null;null;40;null;null;null;24;133
"2020-09-16T11:45:41+02:00";54;130;null;null;null;null;null;null
"2020-09-16T11:45:43+02:00";null;null;30;94;135;22;null;null
"2020-09-16T11:45:44+02:00";null;null;null;null;null;null;23;102
"2020-09-16T11:45:46+02:00";27;196;null;null;null;null;null;null
"2020-09-16T11:45:48+02:00";null;null;null;96;83;56;null;null
"2020-09-16T11:45:49+02:00";null;null;27;null;null;null;36;58
"2020-09-16T11:45:51+02:00";27;131;null;null;null;null;null;null
"2020-09-16T11:45:53+02:00";null;null;null;100;65;45;null;null
"2020-09-16T11:45:54+02:00";null;null;37;null;null;null;24;49
"2020-09-16T11:45:56+02:00";27;127;null;null;null;null;null;null
"2020-09-16T11:45:58+02:00";null;null;null;86;56;63;null;null
"2020-09-16T11:45:59+02:00";null;null;69;null;null;null;37;49
"2020-09-16T11:46:01+02:00";30;113;null;null;null;null;null;null
"2020-09-16T11:46:03+02:00";null;null;null;97;114;45;null;null
"2020-09-16T11:46:04+02:00";null;null;35;null;null;null;51;96
"2020-09-16T11:46:06+02:00";40;196;null;null;null;null;null;null
"2020-09-16T11:46:08+02:00";null;null;null;null;159;43;null;null
"2020-09-16T11:46:09+02:00";null;null;32;95;null;null;42;47
"2020-09-16T11:46:11+02:00";56;134;null;null;null;null;null;null
"2020-09-16T11:46:13+02:00";null;null;null;null;201;36;null;null
"2020-09-16T11:46:14+02:00";null;null;45;90;null;null;61;72
"2020-09-16T11:46:16+02:00";25;164;null;null;null;null;null;null
"2020-09-16T11:46:18+02:00";null;null;null;null;108;37;null;null
"2020-09-16T11:46:19+02:00";null;null;30;86;null;null;26;52
"2020-09-16T11:46:21+02:00";52;129;null;null;null;null;null;null
"2020-09-16T11:46:23+02:00";null;null;null;null;139;2648;null;null
"2020-09-16T11:46:24+02:00";null;null;63;96;null;null;26;47
"2020-09-16T11:46:26+02:00";55;127;null;null;null;null;null;null
"2020-09-16T11:46:28+02:00";null;null;null;null;63;22;null;null
"2020-09-16T11:46:29+02:00";null;null;28;97;null;null;77;54
"2020-09-16T11:46:31+02:00";26;134;null;null;null;null;null;null
"2020-09-16T11:46:33+02:00";null;null;null;null;129;57;null;null
"2020-09-16T11:46:34+02:00";null;null;29;83;null;null;22;42
"2020-09-16T11:46:36+02:00";53;133;null;null;null;null;null;null
"2020-09-16T11:46:38+02:00";null;null;null;null;167;125;null;null
"2020-09-16T11:46:39+02:00";null;null;33;79;null;null;58;43
"2020-09-16T11:46:41+02:00";55;129;null;null;null;null;null;null
"2020-09-16T11:46:43+02:00";null;null;null;null;53;20;null;null
"2020-09-16T11:46:44+02:00";null;null;30;88;null;null;54;142
"2020-09-16T11:46:46+02:00";56;123;null;null;null;null;null;null
"2020-09-16T11:46:48+02:00";null;null;null;null;71;36;null;null
"2020-09-16T11:46:49+02:00";null;null;36;78;null;null;49;46
"2020-09-16T11:46:51+02:00";91;106;null;null;null;null;null;null
"2020-09-16T11:46:53+02:00";null;null;null;null;121;23;null;null
"2020-09-16T11:46:54+02:00";null;null;32;84;null;null;46;82
"2020-09-16T11:46:56+02:00";40;126;null;null;null;null;null;null
"2020-09-16T11:46:58+02:00";null;null;null;null;69;24;null;null
"2020-09-16T11:46:59+02:00";null;null;72;80;null;null;546;45
"2020-09-16T11:47:01+02:00";27;127;null;null;null;null;null;null
"2020-09-16T11:47:03+02:00";null;null;null;null;49;25;null;null
"2020-09-16T11:47:04+02:00";null;null;63;83;null;null;77;46
"2020-09-16T11:47:06+02:00";37;108;null;null;null;null;null;null
"2020-09-16T11:47:08+02:00";null;null;null;null;58;95;null;null
"2020-09-16T11:47:09+02:00";null;null;60;96;null;null;45;128
"2020-09-16T11:47:11+02:00";27;135;null;null;null;null;null;null
"2020-09-16T11:47:13+02:00";null;null;null;null;124;24;null;null
"2020-09-16T11:47:14+02:00";null;null;74;100;null;null;23;104
"2020-09-16T11:47:16+02:00";24;125;null;null;null;null;null;null
"2020-09-16T11:47:18+02:00";null;null;null;null;45;32;null;null
"2020-09-16T11:47:19+02:00";null;null;29;102;null;null;55;46
"2020-09-16T11:47:21+02:00";26;146;null;null;null;null;null;null
"2020-09-16T11:47:23+02:00";null;null;null;null;57;43;null;null
"2020-09-16T11:47:24+02:00";null;null;31;84;null;null;57;45
"2020-09-16T11:47:26+02:00";26;121;null;null;null;null;null;null
"2020-09-16T11:47:28+02:00";null;null;null;null;69;42;null;null
"2020-09-16T11:47:29+02:00";null;null;30;61;null;null;106;81
"2020-09-16T11:47:31+02:00";35;134;null;null;null;null;null;null
"2020-09-16T11:47:33+02:00";null;null;null;null;82;46;null;null
"2020-09-16T11:47:34+02:00";null;null;59;106;null;null;31;65
"2020-09-16T11:47:36+02:00";53;3557;null;null;null;null;null;null
"2020-09-16T11:47:38+02:00";null;null;null;null;137;74;null;null
"2020-09-16T11:47:39+02:00";null;null;29;84;null;null;58;44
"2020-09-16T11:47:41+02:00";26;116;null;null;null;null;null;null
"2020-09-16T11:47:43+02:00";null;null;null;null;146;88;null;null
"2020-09-16T11:47:44+02:00";null;null;33;76;null;null;56;45
"2020-09-16T11:47:46+02:00";34;143;null;null;null;null;null;null
"2020-09-16T11:47:48+02:00";null;null;null;null;182;34;null;null
"2020-09-16T11:47:49+02:00";null;null;28;96;null;null;128;83
"2020-09-16T11:47:51+02:00";25;131;null;null;null;null;null;null
"2020-09-16T11:47:53+02:00";null;null;null;null;45;21;null;null
"2020-09-16T11:47:54+02:00";null;null;32;107;null;null;482;122
"2020-09-16T11:47:56+02:00";26;143;null;null;null;null;null;null
"2020-09-16T11:47:58+02:00";null;null;null;null;50;20;null;null
"2020-09-16T11:47:59+02:00";null;null;28;87;null;null;98;81
"2020-09-16T11:48:01+02:00";56;130;null;null;null;null;null;null
"2020-09-16T11:48:03+02:00";null;null;null;null;50;35;null;null
"2020-09-16T11:48:04+02:00";null;null;59;111;null;null;32;44
"2020-09-16T11:48:06+02:00";54;129;null;null;null;null;null;null
"2020-09-16T11:48:08+02:00";null;null;null;null;47;50;null;null
"2020-09-16T11:48:09+02:00";null;null;28;83;null;null;145;47
"2020-09-16T11:48:11+02:00";38;127;null;null;null;null;null;null
"2020-09-16T11:48:13+02:00";null;null;null;null;58;21;null;null
"2020-09-16T11:48:14+02:00";null;null;33;112;null;null;80;43
"2020-09-16T11:48:16+02:00";70;139;null;null;null;null;null;null
"2020-09-16T11:48:18+02:00";null;null;null;null;43;94;null;null
"2020-09-16T11:48:19+02:00";null;null;72;96;null;null;24;122
"2020-09-16T11:48:21+02:00";53;143;null;null;null;null;null;null
"2020-09-16T11:48:23+02:00";null;null;null;null;66;65;null;null
"2020-09-16T11:48:24+02:00";null;null;32;77;null;null;59;108
"2020-09-16T11:48:25+02:00";null;null;23;114;null;null;null;null
