sep=;
"Time";"APP: 3 - Node: 11";"APP: 3 - Node: 8860215";"APP: 4 - Node: 11880865";"APP: 4 - Node: 12";"APP: 2 - Node: 13";"APP: 2 - Node: 8860310";"APP: 1 - Node: 11879605";"APP: 1 - Node: 13"
"2020-10-09T12:33:49+02:00";23;91;null;null;null;null;null;null
"2020-10-09T12:33:52+02:00";null;null;94;21;null;null;null;null
"2020-10-09T12:33:53+02:00";null;null;null;null;99;68;65;28
"2020-10-09T12:33:54+02:00";38;120;null;null;null;null;null;null
"2020-10-09T12:33:57+02:00";null;null;68;52;null;null;58;null
"2020-10-09T12:33:58+02:00";null;null;null;null;25;44;null;58
"2020-10-09T12:33:59+02:00";22;125;null;null;null;null;null;null
"2020-10-09T12:34:02+02:00";null;null;null;null;null;null;53;49
"2020-10-09T12:34:03+02:00";null;null;85;23;72;46;null;null
"2020-10-09T12:34:04+02:00";35;122;null;null;null;null;null;null
"2020-10-09T12:34:07+02:00";null;null;71;null;null;null;null;null
"2020-10-09T12:34:08+02:00";null;null;null;24;35;46;54;28
"2020-10-09T12:34:09+02:00";53;138;null;null;null;null;null;null
"2020-10-09T12:34:12+02:00";null;null;53;null;null;null;82;97
"2020-10-09T12:34:13+02:00";null;null;null;67;102;46;null;null
"2020-10-09T12:34:14+02:00";23;117;null;null;null;null;null;null
"2020-10-09T12:34:17+02:00";null;null;72;36;null;null;50;null
"2020-10-09T12:34:18+02:00";null;null;null;null;42;46;null;51
"2020-10-09T12:34:19+02:00";63;92;null;null;null;null;null;null
"2020-10-09T12:34:22+02:00";null;null;null;null;null;null;83;97
"2020-10-09T12:34:23+02:00";null;null;74;24;null;46;null;null
"2020-10-09T12:34:24+02:00";57;120;null;null;49;null;null;null
"2020-10-09T12:34:27+02:00";null;null;84;null;null;null;61;67
"2020-10-09T12:34:28+02:00";null;null;null;21;52;44;null;null
"2020-10-09T12:34:29+02:00";54;95;null;null;null;null;null;null
"2020-10-09T12:34:32+02:00";null;null;null;null;null;null;58;127
"2020-10-09T12:34:33+02:00";null;null;80;25;null;47;null;null
"2020-10-09T12:34:34+02:00";58;117;null;null;62;null;null;null
"2020-10-09T12:34:37+02:00";null;null;75;null;null;null;55;29
"2020-10-09T12:34:38+02:00";null;null;null;64;null;59;null;null
"2020-10-09T12:34:39+02:00";66;109;null;null;90;null;null;null
"2020-10-09T12:34:42+02:00";null;null;77;null;null;null;139;810
"2020-10-09T12:34:43+02:00";null;null;null;55;null;null;null;null
"2020-10-09T12:34:44+02:00";66;123;null;null;21;47;null;null
"2020-10-09T12:34:47+02:00";null;null;null;null;null;null;200;52
"2020-10-09T12:34:48+02:00";null;null;90;66;22;57;null;null
"2020-10-09T12:34:49+02:00";28;138;null;null;null;null;null;null
"2020-10-09T12:34:52+02:00";null;null;null;null;null;null;69;23
"2020-10-09T12:34:53+02:00";null;null;86;54;122;66;null;null
"2020-10-09T12:34:54+02:00";42;120;null;null;null;null;null;null
"2020-10-09T12:34:57+02:00";null;null;null;null;null;null;86;56
"2020-10-09T12:34:58+02:00";null;null;61;26;44;81;null;null
"2020-10-09T12:34:59+02:00";57;160;null;null;null;null;null;null
"2020-10-09T12:35:02+02:00";57;126;null;null;null;null;57;63
"2020-10-09T12:35:03+02:00";null;null;82;23;20;48;null;null
"2020-10-09T12:35:07+02:00";57;117;null;null;null;null;56;129
"2020-10-09T12:35:08+02:00";null;null;69;56;20;56;null;null
"2020-10-09T12:35:12+02:00";55;125;null;null;null;null;68;22
"2020-10-09T12:35:13+02:00";null;null;57;22;64;72;null;null
"2020-10-09T12:35:17+02:00";55;138;null;null;null;null;44;66
"2020-10-09T12:35:18+02:00";null;null;73;22;145;49;null;null
"2020-10-09T12:35:22+02:00";26;127;null;null;null;null;54;23
"2020-10-09T12:35:23+02:00";null;null;67;39;65;71;null;null
"2020-10-09T12:35:27+02:00";28;120;null;null;null;null;46;64
"2020-10-09T12:35:28+02:00";null;null;71;38;66;71;null;null
"2020-10-09T12:35:32+02:00";25;99;null;null;null;null;45;22
"2020-10-09T12:35:33+02:00";null;null;59;56;20;54;null;null
"2020-10-09T12:35:37+02:00";28;117;null;null;null;null;48;50
"2020-10-09T12:35:38+02:00";null;null;63;64;143;51;null;null
"2020-10-09T12:35:42+02:00";67;103;null;null;null;null;82;70
"2020-10-09T12:35:43+02:00";null;null;77;26;52;47;null;null
"2020-10-09T12:35:47+02:00";49;122;null;null;null;null;46;22
"2020-10-09T12:35:48+02:00";null;null;78;56;100;83;null;null
"2020-10-09T12:35:52+02:00";23;3523;null;null;null;null;74;78
"2020-10-09T12:35:53+02:00";null;null;69;23;79;48;null;null
"2020-10-09T12:35:57+02:00";67;87;null;null;null;null;78;20
