sep=;
"Time";"0x00";"0x1A";"0x20";"0x30"
"2020-09-16T11:34:33+02:00";12000;12000;12000;12000
"2020-09-16T11:34:34+02:00";12000;12000;12000;12000
"2020-09-16T11:34:35+02:00";12000;12000;12000;12000
"2020-09-16T11:34:36+02:00";12000;12000;12000;12000
"2020-09-16T11:34:37+02:00";12000;12000;12000;12000
"2020-09-16T11:34:38+02:00";12000;12000;12000;12000
"2020-09-16T11:34:39+02:00";12000;12000;12000;12000
"2020-09-16T11:34:40+02:00";12000;12000;12000;12000
"2020-09-16T11:34:41+02:00";12000;12000;12000;12000
"2020-09-16T11:34:42+02:00";12000;12000;12000;12000
"2020-09-16T11:34:43+02:00";12000;12000;12000;12000
"2020-09-16T11:34:44+02:00";12000;12000;12000;12000
"2020-09-16T11:34:45+02:00";12000;12000;12000;12000
"2020-09-16T11:34:46+02:00";12000;12000;12000;12000
"2020-09-16T11:34:47+02:00";12000;12000;12000;12000
"2020-09-16T11:34:48+02:00";12000;12000;12000;12000
"2020-09-16T11:34:49+02:00";12000;12000;12000;12000
"2020-09-16T11:34:50+02:00";12000;12000;12000;null
"2020-09-16T11:34:51+02:00";12000;12000;12000;12000
"2020-09-16T11:34:52+02:00";12000;12000;12000;12000
"2020-09-16T11:34:53+02:00";12000;12000;12000;12000
"2020-09-16T11:34:54+02:00";12000;12000;12000;12000
"2020-09-16T11:34:55+02:00";12000;12000;12000;12000
"2020-09-16T11:34:56+02:00";12000;12000;12000;12000
"2020-09-16T11:34:57+02:00";12000;12000;12000;12000
"2020-09-16T11:34:58+02:00";12000;12000;12000;12000
"2020-09-16T11:34:59+02:00";12000;12000;12000;12000
"2020-09-16T11:35:00+02:00";12000;12000;12000;12000
"2020-09-16T11:35:01+02:00";12000;12000;12000;12000
"2020-09-16T11:35:02+02:00";12000;12000;12000;12000
"2020-09-16T11:35:03+02:00";12000;12000;12000;12000
"2020-09-16T11:35:04+02:00";12000;12000;12000;12000
"2020-09-16T11:35:05+02:00";12000;12000;12000;12000
"2020-09-16T11:35:06+02:00";12000;12000;12000;12000
"2020-09-16T11:35:07+02:00";12000;12000;12000;12000
"2020-09-16T11:35:08+02:00";12000;12000;12000;12000
"2020-09-16T11:35:09+02:00";12000;12000;12000;12000
"2020-09-16T11:35:10+02:00";12000;12000;12000;12000
"2020-09-16T11:35:11+02:00";12000;12000;12000;12000
"2020-09-16T11:35:12+02:00";12000;12000;12000;12000
"2020-09-16T11:35:13+02:00";12000;12000;12000;12000
"2020-09-16T11:35:14+02:00";12000;12000;12000;12000
"2020-09-16T11:35:15+02:00";12000;12000;12000;12000
"2020-09-16T11:35:16+02:00";12000;12000;12000;12000
"2020-09-16T11:35:17+02:00";12000;12000;12000;12000
"2020-09-16T11:35:19+02:00";12000;12000;12000;12000
"2020-09-16T11:35:20+02:00";12000;12000;null;null
"2020-09-16T11:35:21+02:00";12000;12000;12000;12000
"2020-09-16T11:35:22+02:00";12000;12000;12000;12000
"2020-09-16T11:35:23+02:00";12000;12000;12000;12000
"2020-09-16T11:35:24+02:00";12000;12000;12000;12000
"2020-09-16T11:35:25+02:00";12000;12000;12000;12000
"2020-09-16T11:35:26+02:00";12000;12000;null;null
"2020-09-16T11:35:27+02:00";12000;12000;12000;12000
"2020-09-16T11:35:28+02:00";12000;12000;12000;12000
"2020-09-16T11:35:29+02:00";12000;12000;12000;12000
"2020-09-16T11:35:30+02:00";12000;12000;12000;12000
"2020-09-16T11:35:31+02:00";12000;12000;null;null
"2020-09-16T11:35:32+02:00";12000;12000;12000;12000
"2020-09-16T11:35:33+02:00";12000;12000;12000;12000
"2020-09-16T11:35:34+02:00";12000;12000;12000;12000
"2020-09-16T11:35:35+02:00";12000;12000;12000;12000
"2020-09-16T11:35:36+02:00";12000;12000;12000;12000
"2020-09-16T11:35:37+02:00";12000;12000;12000;12000
"2020-09-16T11:35:38+02:00";12000;12000;12000;12000
"2020-09-16T11:35:39+02:00";12000;12000;12000;12000
"2020-09-16T11:35:40+02:00";12000;12000;12000;null
"2020-09-16T11:35:41+02:00";12000;12000;12000;12000
"2020-09-16T11:35:42+02:00";12000;12000;12000;12000
"2020-09-16T11:35:43+02:00";12000;12000;12000;12000
"2020-09-16T11:35:44+02:00";12000;12000;12000;12000
"2020-09-16T11:35:46+02:00";12000;12000;12000;12000
"2020-09-16T11:35:47+02:00";12000;12000;12000;12000
"2020-09-16T11:35:48+02:00";12000;12000;12000;12000
"2020-09-16T11:35:49+02:00";12000;12000;12000;12000
"2020-09-16T11:35:50+02:00";12000;12000;12000;null
"2020-09-16T11:35:51+02:00";null;null;null;12000
"2020-09-16T11:35:52+02:00";12000;12000;12000;12000
"2020-09-16T11:35:53+02:00";12000;12000;12000;12000
"2020-09-16T11:35:54+02:00";12000;12000;12000;12000
"2020-09-16T11:35:55+02:00";12000;12000;12000;null
"2020-09-16T11:35:56+02:00";12000;12000;12000;12000
"2020-09-16T11:35:57+02:00";12000;12000;12000;12000
"2020-09-16T11:35:58+02:00";12000;12000;12000;12000
"2020-09-16T11:35:59+02:00";12000;12000;12000;12000
