sep=;
"Time";"APP: 3";"APP: 5";"APP: 1";"APP: 2"
"2020-09-16T11:46:11+02:00";5.9;null;null;null
"2020-09-16T11:46:13+02:00";null;null;27.9;null
"2020-09-16T11:46:14+02:00";null;0;null;21.3
"2020-09-16T11:46:16+02:00";5.7;null;null;null
"2020-09-16T11:46:18+02:00";null;null;23.7;null
"2020-09-16T11:46:19+02:00";null;0;null;21.7
"2020-09-16T11:46:21+02:00";5.7;null;null;null
"2020-09-16T11:46:23+02:00";null;null;33;null
"2020-09-16T11:46:24+02:00";null;0;null;28.4
"2020-09-16T11:46:26+02:00";4.3;null;null;null
"2020-09-16T11:46:28+02:00";null;null;42.6;null
"2020-09-16T11:46:29+02:00";null;0;null;31.3
"2020-09-16T11:46:31+02:00";2.7;null;null;null
"2020-09-16T11:46:33+02:00";null;null;44.6;null
"2020-09-16T11:46:34+02:00";null;0.2;null;35.8
"2020-09-16T11:46:36+02:00";2.4;null;null;null
"2020-09-16T11:46:38+02:00";null;null;45.6;null
"2020-09-16T11:46:39+02:00";null;0.4;null;39.7
"2020-09-16T11:46:41+02:00";2.4;null;null;null
"2020-09-16T11:46:43+02:00";null;null;49.4;null
"2020-09-16T11:46:44+02:00";null;0.9;null;38.3
"2020-09-16T11:46:46+02:00";2.4;null;null;null
"2020-09-16T11:46:48+02:00";null;null;52.1;null
"2020-09-16T11:46:49+02:00";null;1.4;null;35
"2020-09-16T11:46:51+02:00";2.6;null;null;null
"2020-09-16T11:46:53+02:00";null;null;48.8;null
"2020-09-16T11:46:54+02:00";null;1.4;null;39.4
"2020-09-16T11:46:56+02:00";1.6;null;null;null
"2020-09-16T11:46:58+02:00";null;null;48.4;null
"2020-09-16T11:46:59+02:00";null;1.4;null;38.4
"2020-09-16T11:47:01+02:00";0.4;null;null;null
"2020-09-16T11:47:03+02:00";null;null;44.8;null
"2020-09-16T11:47:04+02:00";null;1.4;null;39
"2020-09-16T11:47:06+02:00";0.4;null;null;null
"2020-09-16T11:47:08+02:00";null;null;48.1;null
"2020-09-16T11:47:09+02:00";null;1.4;null;37.2
"2020-09-16T11:47:11+02:00";0.4;null;null;null
"2020-09-16T11:47:13+02:00";null;null;38.9;null
"2020-09-16T11:47:14+02:00";null;1.4;null;31
"2020-09-16T11:47:16+02:00";0.4;null;null;null
"2020-09-16T11:47:18+02:00";null;null;36.4;null
"2020-09-16T11:47:19+02:00";null;1.4;null;31
"2020-09-16T11:47:21+02:00";0.4;null;null;null
"2020-09-16T11:47:23+02:00";null;null;37.9;null
"2020-09-16T11:47:24+02:00";null;1.2;null;26
"2020-09-16T11:47:26+02:00";0.4;null;null;null
"2020-09-16T11:47:28+02:00";null;null;40.2;null
"2020-09-16T11:47:29+02:00";null;1;null;23.6
"2020-09-16T11:47:31+02:00";0.4;null;null;null
"2020-09-16T11:47:33+02:00";null;null;37.1;null
"2020-09-16T11:47:34+02:00";null;0.6;null;23.6
"2020-09-16T11:47:36+02:00";0.4;null;null;null
"2020-09-16T11:47:38+02:00";null;null;29;null
"2020-09-16T11:47:39+02:00";null;0.2;null;21.7
"2020-09-16T11:47:41+02:00";0.6;null;null;null
"2020-09-16T11:47:43+02:00";null;null;27.4;null
"2020-09-16T11:47:44+02:00";null;0.2;null;19.4
"2020-09-16T11:47:46+02:00";0.6;null;null;null
"2020-09-16T11:47:48+02:00";null;null;27.4;null
"2020-09-16T11:47:49+02:00";null;0.4;null;15.3
"2020-09-16T11:47:51+02:00";0.6;null;null;null
"2020-09-16T11:47:53+02:00";null;null;28;null
"2020-09-16T11:47:54+02:00";null;0.6;null;18.2
"2020-09-16T11:47:56+02:00";0.6;null;null;null
"2020-09-16T11:47:58+02:00";null;null;24.9;null
"2020-09-16T11:47:59+02:00";null;0.6;null;18.3
"2020-09-16T11:48:01+02:00";0.6;null;null;null
"2020-09-16T11:48:03+02:00";null;null;30.4;null
"2020-09-16T11:48:04+02:00";null;0.6;null;26.7
"2020-09-16T11:48:06+02:00";0.6;null;null;null
"2020-09-16T11:48:08+02:00";null;null;28.1;null
"2020-09-16T11:48:09+02:00";null;0.6;null;23.9
"2020-09-16T11:48:11+02:00";0.6;null;null;null
"2020-09-16T11:48:13+02:00";null;null;23.2;null
"2020-09-16T11:48:14+02:00";null;0.6;null;24.1
"2020-09-16T11:48:16+02:00";0.6;null;null;null
"2020-09-16T11:48:18+02:00";null;null;22;null
"2020-09-16T11:48:19+02:00";null;0.8;null;31.8
"2020-09-16T11:48:21+02:00";0.6;null;null;null
"2020-09-16T11:48:23+02:00";null;null;23.5;null
"2020-09-16T11:48:24+02:00";null;0.9;null;30.9
"2020-09-16T11:48:25+02:00";null;0.9;null;null
