sep=;
"Time";"APP: 3";"APP: 5";"APP: 1";"APP: 2"
"2020-09-16T11:46:28+02:00";null;null;118;null
"2020-09-16T11:46:29+02:00";null;1;null;134
"2020-09-16T11:46:31+02:00";1;null;null;null
"2020-09-16T11:46:33+02:00";null;null;167;null
"2020-09-16T11:46:34+02:00";null;3;null;187
"2020-09-16T11:46:36+02:00";1;null;null;null
"2020-09-16T11:46:38+02:00";null;null;157;null
"2020-09-16T11:46:39+02:00";null;1;null;145
"2020-09-16T11:46:41+02:00";1;null;null;null
"2020-09-16T11:46:43+02:00";null;null;197;null
"2020-09-16T11:46:44+02:00";null;6;null;156
"2020-09-16T11:46:46+02:00";1;null;null;null
"2020-09-16T11:46:48+02:00";null;null;114;null
"2020-09-16T11:46:49+02:00";null;1;null;128
"2020-09-16T11:46:51+02:00";3;null;null;null
"2020-09-16T11:46:53+02:00";null;null;136;null
"2020-09-16T11:46:54+02:00";null;1;null;173
"2020-09-16T11:46:56+02:00";1;null;null;null
"2020-09-16T11:46:58+02:00";null;null;134;null
"2020-09-16T11:46:59+02:00";null;1;null;222
"2020-09-16T11:47:01+02:00";1;null;null;null
"2020-09-16T11:47:03+02:00";null;null;135;null
"2020-09-16T11:47:04+02:00";null;1;null;185
"2020-09-16T11:47:06+02:00";1;null;null;null
"2020-09-16T11:47:08+02:00";null;null;174;null
"2020-09-16T11:47:09+02:00";null;1;null;183
"2020-09-16T11:47:11+02:00";1;null;null;null
"2020-09-16T11:47:13+02:00";null;null;157;null
"2020-09-16T11:47:14+02:00";null;1;null;194
"2020-09-16T11:47:16+02:00";1;null;null;null
"2020-09-16T11:47:18+02:00";null;null;258;null
"2020-09-16T11:47:19+02:00";null;1;null;162
"2020-09-16T11:47:21+02:00";1;null;null;null
"2020-09-16T11:47:23+02:00";null;null;194;null
"2020-09-16T11:47:24+02:00";null;1;null;165
"2020-09-16T11:47:26+02:00";1;null;null;null
"2020-09-16T11:47:28+02:00";null;null;161;null
"2020-09-16T11:47:29+02:00";null;1;null;183
"2020-09-16T11:47:31+02:00";1;null;null;null
"2020-09-16T11:47:33+02:00";null;null;170;null
"2020-09-16T11:47:34+02:00";null;2;null;172
"2020-09-16T11:47:36+02:00";1;null;null;null
"2020-09-16T11:47:38+02:00";null;null;168;null
"2020-09-16T11:47:39+02:00";null;1;null;163
"2020-09-16T11:47:41+02:00";1;null;null;null
"2020-09-16T11:47:43+02:00";null;null;162;null
"2020-09-16T11:47:44+02:00";null;1;null;185
"2020-09-16T11:47:46+02:00";1;null;null;null
"2020-09-16T11:47:48+02:00";null;null;164;null
"2020-09-16T11:47:49+02:00";null;3;null;193
"2020-09-16T11:47:51+02:00";1;null;null;null
"2020-09-16T11:47:53+02:00";null;null;171;null
"2020-09-16T11:47:54+02:00";null;1;null;259
"2020-09-16T11:47:56+02:00";1;null;null;null
"2020-09-16T11:47:58+02:00";null;null;163;null
"2020-09-16T11:47:59+02:00";null;1;null;262
"2020-09-16T11:48:01+02:00";1;null;null;null
"2020-09-16T11:48:03+02:00";null;null;91;null
"2020-09-16T11:48:04+02:00";null;1;null;167
"2020-09-16T11:48:06+02:00";1;null;null;null
"2020-09-16T11:48:08+02:00";null;null;169;null
"2020-09-16T11:48:09+02:00";null;1;null;163
"2020-09-16T11:48:11+02:00";1;null;null;null
"2020-09-16T11:48:13+02:00";null;null;184;null
"2020-09-16T11:48:14+02:00";null;1;null;158
"2020-09-16T11:48:16+02:00";1;null;null;null
"2020-09-16T11:48:18+02:00";null;null;163;null
"2020-09-16T11:48:19+02:00";null;3;null;253
"2020-09-16T11:48:21+02:00";1;null;null;null
"2020-09-16T11:48:23+02:00";null;null;187;null
"2020-09-16T11:48:24+02:00";null;1;null;255
"2020-09-16T11:48:25+02:00";null;0;null;null
"2020-09-16T11:48:26+02:00";1;null;null;null
"2020-09-16T11:48:28+02:00";null;null;188;null
"2020-09-16T11:48:29+02:00";null;null;null;195
"2020-09-16T11:48:30+02:00";null;1;null;null
"2020-09-16T11:48:31+02:00";1;null;null;null
"2020-09-16T11:48:33+02:00";null;null;136;null
"2020-09-16T11:48:34+02:00";null;null;null;197
"2020-09-16T11:48:35+02:00";null;1;null;null
"2020-09-16T11:48:36+02:00";1;null;null;null
"2020-09-16T11:48:38+02:00";null;null;173;null
"2020-09-16T11:48:39+02:00";null;null;null;253
"2020-09-16T11:48:40+02:00";null;1;null;null
"2020-09-16T11:48:41+02:00";1;null;null;null
"2020-09-16T11:48:45+02:00";null;1;null;null
"2020-09-16T11:48:46+02:00";4303;null;null;null
"2020-09-16T11:48:48+02:00";1;null;null;null
"2020-09-16T11:48:50+02:00";null;1;null;null
"2020-09-16T11:48:53+02:00";1;null;null;null
"2020-09-16T11:48:55+02:00";null;4;null;null
"2020-09-16T11:48:58+02:00";1;null;null;null
"2020-09-16T11:49:00+02:00";null;1;null;null
"2020-09-16T11:49:03+02:00";1;null;null;null
"2020-09-16T11:49:05+02:00";null;1;null;null
