Time;Datetime;STA 5;STA 2;STA 8;STA 1;STA 4;STA 7;STA 6;STA 3
1;2020-10-09T12:38:00+02:00;5.5031936721795915;0.9168530916082764;766.4966920750974;1.945454684604308;0.0;184.21617441644005;1.4831836701785703;3.9065258655857593
2;2020-10-09T12:38:01+02:00;1.6657230636280742;6.083303600695019;922.1693990789087;2.022981409598481;0.0;241.41574996979847;0.0;0.9751927458730528
3;2020-10-09T12:38:02+02:00;2.500586647334332;1.251111944329852;1602.2217086452201;2.203023238529838;0.0;426.8347110997259;0.0;1.177355431428508
4;2020-10-09T12:38:03+02:00;0.0;0.0;null;1.7288449275846192;null;176.41448731565742;null;0.8579175509763269
5;2020-10-09T12:38:04+02:00;2.129448817858252;2.1647551382111976;1489.2218545397736;1.1552720132364636;0.0;371.59459037925086;5.3067534107400185;6.735269873012268
6;2020-10-09T12:38:05+02:00;3.7847752343487215;1.8909530271539927;1236.4103416477092;1.9690403290697358;0.0;375.18454314626365;0.0;0.9611396814673894
7;2020-10-09T12:38:06+02:00;1.8301668084426799;6.505683030589207;999.0491621995997;1.436974117668824;0.0;237.9469210350413;0.0;0.7405531145911407
8;2020-10-09T12:38:07+02:00;2.611435752845583;1.226053353132728;1236.8205243472446;2.33208832714259;0.0;360.98966958208456;0.0;2.309535753085904
9;2020-10-09T12:38:08+02:00;1.5604326184907165;0.8401948614009324;766.1546400462145;3.0817380212914003;0.0;182.13065693386014;0.0;1.009694434300353
10;2020-10-09T12:38:09+02:00;0.0;1.0266003365458158;1376.6814055426478;1.2510902995628064;0.0;332.18649410402355;3.915994286087744;9.243994420883276
11;2020-10-09T12:38:10+02:00;4.001492103016166;2.001974622968488;1104.5229871389156;2.018549675630932;0.0;286.76973534330835;0.0;0.9919681003910588
12;2020-10-09T12:38:11+02:00;1.4619803727500893;5.708124233205021;null;1.6410009223603426;0.0;null;0.0;0.8063204482001652
13;2020-10-09T12:38:12+02:00;0.0;0.0;1146.8240279003235;3.000937635605683;0.0;289.41524344676566;0.0;2.84829707065662
14;2020-10-09T12:38:13+02:00;6.5008441262798975;2.9651971600079463;1222.3291122389355;3.727278766070448;0.0;330.1395505884858;0.0;0.946125935709154
15;2020-10-09T12:38:14+02:00;1.7028637014057757;3.5870327985743566;1129.5890693879492;2.519736101704894;0.0;280.2999941524864;0.9131793538015248;7.884939115787785
16;2020-10-09T12:38:15+02:00;5.001414818449518;1.2009542800007789;1145.0614880420621;2.400674704394708;3.568624247869532;318.3072561173292;0.0;1.2142831500749824
17;2020-10-09T12:38:16+02:00;1.7522745749767925;6.22161437898663;1029.0579782711916;1.8262883293002456;0.0;289.9923976311488;2.069138451785884;0.8819626683892501
18;2020-10-09T12:38:17+02:00;2.183339887910228;1.101644125397623;1365.7172981501164;1.8985860090146875;0.0;334.95796347898516;0.0;1.9537856511506304
19;2020-10-09T12:38:18+02:00;1.6538548210770372;0.976818429741942;716.4687035481443;2.611817086422213;0.0;189.9784209999868;0.7076883569068938;0.8398587201312601
20;2020-10-09T12:38:19+02:00;2.5653564969336;4.845072869512261;844.5652976639199;1.4994147915807206;0.0;220.38670971311032;0.0;8.690861684621668
21;2020-10-09T12:38:20+02:00;0.0;0.9310041419356556;1379.5852169809082;2.12338428951264;1.3817770196235013;358.6360781385654;0.0;1.0725249457767212
22;2020-10-09T12:38:21+02:00;6.487375194250301;6.823025752394497;1011.8859760297713;1.5591159107881591;0.0;283.61744488264486;0.0;0.8066797628833422
23;2020-10-09T12:38:22+02:00;2.477266935106394;1.1898964292077123;758.7723028817543;2.5298018797224904;0.0;230.21622574523136;0.0;2.417676000137188
24;2020-10-09T12:38:23+02:00;1.9205761494002869;0.9240124258987594;1128.0009122143838;2.977924204518534;0.0;233.43829464437854;1.2546080471559642;1.0182912543764049
25;2020-10-09T12:38:24+02:00;0.0;3.4651985115762614;1500.9431757266175;1.13414772974629;0.0;431.2381347094096;0.0;6.610284914570808
26;2020-10-09T12:38:25+02:00;1.7415927733705932;0.9247248294211386;892.9874481976013;1.6679756184613304;0.0;230.21940097701682;0.0;0.8587293937285768
27;2020-10-09T12:38:26+02:00;5.472962190278867;4.544583203943813;1150.969522654563;2.1457247716559764;0.0;319.2348834351959;0.0;1.0524741009513987
28;2020-10-09T12:38:27+02:00;2.2179891583409965;4.140117112206168;764.2406864304152;3.1816065796984367;0.0;193.806906897332;0.0;10.6227505829504
29;2020-10-09T12:38:28+02:00;1.984405519881058;1.0365309916119732;1039.2364634526932;7.431111730555205;0.0;288.9239049698984;1.1167315206176989;1.2005843909007223
30;2020-10-09T12:38:29+02:00;0.0;3.429762962280521;1462.8204830561506;0.9847596365152648;0.0;377.0983491297994;0.0;7.072677709888505
31;2020-10-09T12:38:30+02:00;3.4565108870347183;1.782609259248634;865.8725190643847;2.03605211216601;0.0;246.1256431979637;0.0;0.9924563169856502
32;2020-10-09T12:38:31+02:00;4.179922975004497;7.2393775050146525;846.5156719180203;1.7321717253166384;0.0;209.03068367060615;0.0;1.0090614075458562
33;2020-10-09T12:38:32+02:00;0.0;0.0;967.3143428443187;2.4398865191788293;0.0;240.08070797878503;0.0;4.005326679281482
34;2020-10-09T12:38:33+02:00;3.969916386028877;1.9568639352648771;1408.8699480556982;5.091811057728259;0.0;420.62162388814033;4.709163959430473;1.0095167860316494
35;2020-10-09T12:38:34+02:00;2.019741372419286;4.172197610958337;1137.659296413919;1.0100939458962188;0.0;257.7990348576859;0.0;6.212137870633288
36;2020-10-09T12:38:35+02:00;0.0;0.0;891.4523329524718;1.9218565786742527;0.0;242.0336837970192;0.0;0.9762600266555068
37;2020-10-09T12:38:36+02:00;3.8255012010145135;0.7549662341795278;782.9075513890532;1.5017084544461974;0.0;214.0065725912886;0.0;0.7464000464108306
38;2020-10-09T12:38:37+02:00;3.336648526181724;7.5814245579243105;1043.12020681305;1.8070219730698283;0.0;274.84066599041427;0.0;3.5595227411260777
39;2020-10-09T12:38:38+02:00;0.0;0.0;899.9858381592468;8.694980867867844;0.0;228.5908470432776;0.0;1.876292653598584
40;2020-10-09T12:38:39+02:00;4.180153136594344;5.363717858709398;1192.7678577043146;1.0822912669760203;0.0;361.1719718221231;3.3365414701355838;6.3792374975855255
41;2020-10-09T12:38:40+02:00;1.9374794729366118;1.9856112791967613;1030.2594992073798;1.937544361306893;0.0;315.08710538654685;0.0;0.9687260881846388
42;2020-10-09T12:38:41+02:00;3.845681440384797;6.5166181917617525;995.2250430606281;1.9376620664772264;0.0;216.8248628918806;0.0;0.9453899913131404
43;2020-10-09T12:38:42+02:00;0.0;0.0;1139.9980918760514;2.184084003551353;0.0;309.47850527255895;0.0;4.294630871796027
44;2020-10-09T12:38:43+02:00;4.445998181449299;1.834552343061792;1108.231232376442;5.766181382339727;0.0;293.57604947864627;0.0;0.9844677089125424
45;2020-10-09T12:38:44+02:00;2.3107909808552667;1.1549659799880987;1001.4418229177662;1.0443172741559918;0.0;258.7538243357675;3.360022238306364;6.379750147098304
46;2020-10-09T12:38:45+02:00;0.0;0.9457566474387276;882.5821836515172;1.7802104519726052;0.0;221.3946687551632;0.0;0.8894155347620911
47;2020-10-09T12:38:46+02:00;2.9271020184653205;0.9763341101850757;834.4093462858818;2.223582098651713;0.0;220.22875453092558;0.0;1.045178125912658
48;2020-10-09T12:38:47+02:00;0.9617876488266536;6.107326221740737;1183.2583862758431;2.001884804509403;0.0;325.2548112285437;0.0;4.268304665054211
49;2020-10-09T12:38:48+02:00;3.002746232640364;2.0356405408665017;1114.7830175265842;4.806634646150067;0.0;303.86154763910116;0.0;1.8988468759351504
50;2020-10-09T12:38:49+02:00;1.9367413940387408;0.0;816.6574631209819;1.922586438497164;0.0;199.68585120429125;1.7261106968306723;5.813332643410092
