Time,Hour,STA 1,STA 2
153,1604082739,0.029354077,0.000006303
154,1604082740,0.029313277,0.000007544
155,1604082741,0.029352394,0.000009739
156,1604082742,0.028589301,0.000007374
157,1604082743,0.026637357,0.000007094
158,1604082744,0.026602476,0.000006374
159,1604082745,0.026653277,0.000003101
160,1604082746,0.026618336,0.000006166
161,1604082747,0.026643578,0.000005765
162,1604082748,0.026656741,0.0000057
163,1604082749,0.026670052,0.000005731
164,1604082750,0.026594066,0.000005713
165,1604082751,0.026585924,0.000005725
166,1604082752,0.026028791,0.000005734
167,1604082753,0.024195981,0.000005637
168,1604082754,0.024203623,0.000008689
169,1604082755,0.024163038,0.000005663
170,1604082756,0.024175268,0.000005682
171,1604082757,0.024165527,0.000005616
172,1604082758,0.02423368,0.000005671
173,1604082759,0.024173648,0.000005722
174,1604082760,0.024233511,0.000006023
175,1604082761,0.024150577,0.000006023
176,1604082762,0.022567261,0.000005676
177,1604082763,0.021968409,0.0000058
178,1604082764,0.021897218,0.000005726
179,1604082765,0.021936781,0.000006146
180,1604082766,0.021990099,0.000005666
181,1604082767,0.021949075,0.000005714
182,1604082768,0.021870309,0.000005748
183,1604082769,0.021962082,0.00000582
184,1604082770,0.0219973,0.000005747
185,1604082771,0.021966525,0.000005669
186,1604082772,0.020062249,0.000005635
187,1604082773,0.019964701,0.000005607
188,1604082774,0.01993995,0.000005682
189,1604082775,0.019926911,0.000005934
190,1604082776,0.019923742,0.000007698
191,1604082777,0.019931795,0.000005735
192,1604082778,0.019934831,0.000005648
193,1604082779,0.019922155,0.000006095
194,1604082780,0.019959887,0.000005701
195,1604082781,0.019953613,0.000005736
196,1604082782,0.018206865,0.000006114
197,1604082783,0.018111416,0.000005706
198,1604082784,0.018051851,0.000005789
199,1604082785,0.018111711,0.000005691
200,1604082786,0.018116895,0.0000103
201,1604082787,0.018091393,0.000005618
202,1604082788,0.0180625,0.000006895
203,1604082789,0.018138059,0.000006315
204,1604082790,0.018118664,0.000008156
205,1604082791,0.018104306,0.000005618
206,1604082792,0.016872014,0.000005926
207,1604082793,0.016410839,0.000006075
208,1604082794,0.016404302,0.000005697
209,1604082795,0.016449394,0.000005609
210,1604082796,0.016437384,0.000005587
211,1604082797,0.016421143,0.00000574
212,1604082798,0.016417939,0.000005807
213,1604082799,0.016430859,0.000006503
214,1604082800,0.016402104,0.000005727
215,1604082801,0.016460328,0.000005661
216,1604082802,0.015705732,0.00000567
217,1604082803,0.014882759,0.00000238
218,1604082804,0.014898794,0.000009048
219,1604082805,0.014939285,0.000005753
220,1604082806,0.014881169,0.000005662
221,1604082807,0.014928342,0.0000058
222,1604082808,0.014941021,0.000005723
223,1604082809,0.014901243,0.000005807
224,1604082810,0.014946909,0.000005709
225,1604082811,0.014937028,0.000006651
226,1604082812,0.024238983,0.000005777
227,1604082813,0.084231972,0.00000823
228,1604082814,0.084220207,0.00000611
229,1604082815,0.084163125,0.000005749
230,1604082816,0.08420982,0.000007933
231,1604082817,0.084189272,0.000008762
232,1604082818,0.084212775,0.000008216
233,1604082819,0.084189973,0.000006745
234,1604082820,0.084224703,0.000006621
235,1604082821,0.084219133,0.000006158
236,1604082822,0.082602934,0.0000076
237,1604082823,0.076568006,0.000007056
238,1604082824,0.07649489,0.000007351
239,1604082825,0.076511334,0.000007428
240,1604082826,0.076548283,0.000008519
241,1604082827,0.076511979,0.00000658
242,1604082828,0.076518272,0.000006506
243,1604082829,0.076502391,0.00000623
244,1604082830,0.076556053,0.000007484
245,1604082831,0.076456209,0.00000656
246,1604082832,0.07620397,0.000006118
247,1604082833,0.069537873,0.000009638
248,1604082834,0.069568381,0.000009881
249,1604082835,0.069510056,0.000008367
250,1604082836,0.069564227,0.000009687
251,1604082837,0.069521516,0.000009138
252,1604082838,0.069557912,0.000006209
253,1604082839,0.069535881,0.000006557
254,1604082840,0.069499148,0.000006147
255,1604082841,0.06955563,0.000006276
256,1604082842,0.067404058,0.000006286
257,1604082843,0.06316978,0.000006744
258,1604082844,0.063182897,0.000008681
259,1604082845,0.063229331,0.000008622
260,1604082846,0.063141967,0.000006724
261,1604082847,0.063123279,0.000008732
262,1604082848,0.063203709,0.000009167
263,1604082849,0.063158944,0.000006677
264,1604082850,0.063223302,0.000007817
265,1604082851,0.063151004,0.000006738
266,1604082852,0.060879041,0.000009265
267,1604082853,0.057366173,0.000008293
268,1604082854,0.057454912,0.000007548
269,1604082855,0.057392252,0.000007632
270,1604082856,0.057405833,0.000006048
271,1604082857,0.057434254,0.000008421
272,1604082858,0.057376969,0.000006627
273,1604082859,0.057413588,0.000009706
274,1604082860,0.057470179,0.000008346
275,1604082861,0.057407141,0.000007715
