#;approach;throughput;slice
2;Gómez;28.3466;QoS 2
3;Gómez;28.077768;QoS 2
4;Gómez;27.996468;QoS 2
5;Gómez;28.278308;QoS 2
6;Gómez;27.86964;QoS 2
7;Gómez;6.302376;QoS 2
8;Gómez;10.399896;QoS 2
9;Gómez;12.855156;QoS 2
10;Gómez;28.141724;QoS 2
11;Gómez;27.828448;QoS 2
12;Gómez;26.38456;QoS 2
13;Gómez;16.884384;QoS 2
14;Gómez;24.67184;QoS 2
15;Gómez;28.57207200;QoS 2
16;Gómez;17.26812;QoS 2
17;Gómez;28.402968;QoS 2
18;Gómez;25.198664;QoS 2
19;Gómez;28.299988;QoS 2
20;Gómez;28.251208;QoS 2
1;Proposed;28.522208;QoS 2
2;Proposed;26.472364;QoS 2
3;Proposed;26.752036;QoS 2
4;Proposed;28.155816;QoS 2
5;Proposed;28.423564;QoS 2
6;Proposed;28.463672;QoS 2
7;Proposed;28.631692;QoS 2
8;Proposed;25.459908;QoS 2
9;Proposed;28.245788;QoS 2
10;Proposed;28.694564;QoS 2
11;Proposed;28.094028;QoS 2
12;Proposed;28.527628;QoS 2
13;Proposed;28.500528;QoS 2
14;Proposed;28.101616;QoS 2
15;Proposed;28.592668;QoS 2
16;Proposed;28.676136;QoS 2
17;Proposed;28.499444;QoS 2
18;Proposed;28.55256;QoS 2
19;Proposed;28.000804;QoS 2
20;Proposed;28.598088;QoS 2
