Time;Hour;STA 6;STA 5;STA 4;BE 2;QoS 2;BE 1
66;2020-11-23T18:46:49+01:00;0,005668034;0,005465823;0,000752833;null;null;null
67;2020-11-23T18:46:50+01:00;0,005446579;0,005342044;0,000780223;null;null;null
68;2020-11-23T18:46:51+01:00;0,005039412;0,005006561;0,000705397;null;null;null
69;2020-11-23T18:46:52+01:00;0,005749862;0,005512455;0,000813357;null;null;null
70;2020-11-23T18:46:53+01:00;0,005865562;0,005892139;0,000816461;null;null;null
71;2020-11-23T18:46:54+01:00;0,005616824;0,006164696;0,000857057;0;null;0
72;2020-11-23T18:46:55+01:00;0,005402966;0,005167581;0,000752699;0;null;0
73;2020-11-23T18:46:56+01:00;0,005644755;0,005872377;0,000817677;0;null;0
74;2020-11-23T18:46:57+01:00;0,004910428;0,004651429;0,000675636;0;null;4,800569633
75;2020-11-23T18:46:58+01:00;0,006209857;0,006751958;0,000933232;9,848234906;null;9,064083537
76;2020-11-23T18:46:59+01:00;0,005309504;0,005360152;0,000782284;11,61389666;null;7,028156069
77;2020-11-23T18:47:00+01:00;0,005569012;0,005559174;0,000774923;11,70204836;null;7,371365658
78;2020-11-23T18:47:01+01:00;0,005227809;0,004855628;0,000707995;11,06658985;null;7,137880217
79;2020-11-23T18:47:02+01:00;0,007830686;0,007877186;0,000557976;12,19082493;null;7,645842981
80;2020-11-23T18:47:03+01:00;0;0;0,001197987;11,12821984;null;6,046391648
81;2020-11-23T18:47:04+01:00;0,005259968;0,006070584;0,000804059;14,94208374;null;8,341915964
82;2020-11-23T18:47:05+01:00;0,005855108;0,00596241;0,000872049;12,57361534;null;7,460353883
83;2020-11-23T18:47:06+01:00;0,005541477;0,005350292;0,000777872;11,7898334;null;7,324915029
84;2020-11-23T18:47:07+01:00;0,000768998;0,005608392;0,000779371;14,49735923;null;7,993496995
85;2020-11-23T18:47:08+01:00;0,004964891;0,004905479;0,000697294;12,16468494;null;7,522814943
86;2020-11-23T18:47:09+01:00;0,006478249;0,007014447;0,000967652;13,31693597;null;7,333067692
87;2020-11-23T18:47:10+01:00;0,005466154;0,005478068;0,00078042;14,7240881;null;6,877622958
88;2020-11-23T18:47:11+01:00;0,005529739;0,005356275;0,000779818;14,29864613;null;5,996373365
89;2020-11-23T18:47:12+01:00;0,004781386;0,004594447;0,000657868;11,01547559;null;6,513300095
90;2020-11-23T18:47:13+01:00;0,006385614;0,00675021;0,000936741;13,52466974;null;7,97424984
91;2020-11-23T18:47:14+01:00;0,005537953;0,005712561;0,000811077;11,80361693;null;7,591419645
92;2020-11-23T18:47:15+01:00;0,005023683;0,004692274;0,000685193;11,54102131;null;6,695650086
93;2020-11-23T18:47:16+01:00;0,006175866;0,006702787;0,000926148;13,68114826;null;8,31462312
94;2020-11-23T18:47:17+01:00;0,004850929;0,004557232;0,000664087;11,69088005;null;6,361808762
95;2020-11-23T18:47:18+01:00;0,006074412;0,006637439;0,000956147;13,78167177;null;7,975031401
96;2020-11-23T18:47:19+01:00;0,005218594;0,005079525;0,000650096;6,532291172;null;6,373018528
97;2020-11-23T18:47:20+01:00;0,006115213;0,006273164;0,000965841;3,719072307;null;7,240244487
98;2020-11-23T18:47:21+01:00;0,005481344;0,005496766;0,000799331;4,578906474;null;8,103134182
99;2020-11-23T18:47:22+01:00;0,007528235;0,007207535;0,000520745;8,765377948;null;7,531024523
100;2020-11-23T18:47:23+01:00;0;0;0,001071846;10,06466777;null;6,200759097
101;2020-11-23T18:47:24+01:00;0,006040631;0,007501857;0,000988561;13,88837806;null;8,907254651
102;2020-11-23T18:47:25+01:00;0,005169452;0,00551566;0,000806111;13,87209838;null;6,595222353
103;2020-11-23T18:47:26+01:00;0,005954857;0,005554594;0,000761602;13,83494834;null;6,519683441
104;2020-11-23T18:47:27+01:00;0,004882662;0,004747372;0,000687107;13,57875081;null;6,884692406
105;2020-11-23T18:47:28+01:00;0,006140343;0,00607236;0,000872974;11,33936058;null;5,992919978
106;2020-11-23T18:47:29+01:00;0,005543868;0,005644537;0,000802001;12,46066301;null;6,26287892
107;2020-11-23T18:47:30+01:00;0,005541698;0,005402334;0,000790327;11,52586575;null;6,750257656
108;2020-11-23T18:47:31+01:00;0,005282912;0,005375371;0,000740077;13,38791687;null;7,837384537
109;2020-11-23T18:47:32+01:00;0,00521673;0,005131175;0,000737698;16,31675322;null;7,39831161
110;2020-11-23T18:47:33+01:00;0,00555864;0,005668975;0,00079908;11,85109391;null;6,945758489
111;2020-11-23T18:47:34+01:00;0,006014942;0,006074373;0,000871263;13,02797067;null;7,670568241
112;2020-11-23T18:47:35+01:00;0,005101485;0,005011821;0,000713643;13,69083811;null;7,557501735
113;2020-11-23T18:47:36+01:00;0,006162943;0,006562897;0,000914142;12,55230314;null;8,263432582
114;2020-11-23T18:47:37+01:00;0,005139021;0,004979047;0,000721323;9,472594327;null;5,5092244
115;2020-11-23T18:47:38+01:00;0,004800585;0,005933532;0,000769423;7,799608665;null;5,955314805
116;2020-11-23T18:47:39+01:00;0,004717835;0,005035355;0,000812688;8,512160398;null;5,541662351
117;2020-11-23T18:47:40+01:00;0,007343604;0,006079283;0,000814038;10,00435062;null;7,838503524
118;2020-11-23T18:47:41+01:00;0,004979348;0,004736443;0,000700714;11,53061789;null;6,042197656
119;2020-11-23T18:47:42+01:00;0,007829023;0,008528717;0,000597543;12,19284347;null;7,386184684
120;2020-11-23T18:47:43+01:00;0,00115768;0;0,00110857;10,46246747;null;6,226701964
121;2020-11-23T18:47:44+01:00;0,006096617;0,007364289;0,000943532;14,53804663;null;9,417627641
122;2020-11-23T18:47:45+01:00;0,005294054;0,005017741;0,000741631;11,50635596;null;6,820774682
123;2020-11-23T18:47:46+01:00;0,005380724;0,006001837;0,00083094;12,24936266;null;7,564169927
124;2020-11-23T18:47:47+01:00;0,005298506;0,004719699;0,000682452;11,52560309;null;6,760332412
125;2020-11-23T18:47:48+01:00;0,005922372;0,006250316;0,000868508;15,27836184;null;8,552695856
126;2020-11-23T18:47:49+01:00;0,005292929;0,005061891;0,000737913;12,01569468;null;6,972953612
127;2020-11-23T18:47:50+01:00;0,00592945;0,006424821;0,000888339;17,92623686;null;8,485392494
128;2020-11-23T18:47:51+01:00;0,005432888;0,005200109;0,000766541;14,47140179;null;6,854625938
129;2020-11-23T18:47:52+01:00;0,004717748;0,004695558;0,000656496;14,9371741;null;6,56367109
130;2020-11-23T18:47:53+01:00;0,006772834;0,00713627;0,001001836;13,79767143;null;4,430867941
131;2020-11-23T18:47:54+01:00;0,005444;0,00544239;0,000769654;12,05775927;null;1,827891862
132;2020-11-23T18:47:55+01:00;0,005151895;0,004961451;0,000705228;10,53216649;null;1,773013644
133;2020-11-23T18:47:56+01:00;0,00561736;0,00560814;0,000832522;11,80344376;null;2,914417461
134;2020-11-23T18:47:57+01:00;0,005188857;0,005194966;0,000727159;12,54197183;null;7,195663374
135;2020-11-23T18:47:58+01:00;0,006167847;0,006463002;0,000900164;12,89584964;null;8,189108123
136;2020-11-23T18:47:59+01:00;0,005528146;0,005586643;0,000800352;11,82122422;null;7,36461106
137;2020-11-23T18:48:00+01:00;0,005485665;0,005462393;0,000762823;12,27047428;null;7,382315036
138;2020-11-23T18:48:01+01:00;0,005265355;0,004897623;0,000730337;10,77991123;null;6,686616794
139;2020-11-23T18:48:02+01:00;0,007488988;0,008207369;0,00057982;12,02360604;null;8,003260433
140;2020-11-23T18:48:03+01:00;0,001319722;0;0,001355402;13,73617022;null;6,922630976
141;2020-11-23T18:48:04+01:00;0,00499186;0,004995502;0,000698077;10,98199995;null;5,907764231
142;2020-11-23T18:48:05+01:00;0,006148343;0,00668704;0,000920785;14,11172476;null;7,063766277
143;2020-11-23T18:48:06+01:00;0,000769031;0,000722881;0,000752169;17,63631887;null;16,55722089
144;2020-11-23T18:48:07+01:00;0,000722925;0,000698317;0,000699578;17,36558252;null;17,69200527
145;2020-11-23T18:48:08+01:00;0,000858639;0,000922478;0,000902775;20,16824087;null;20,8174616
146;2020-11-23T18:48:09+01:00;0,000786642;0,000766481;0,000767985;18,04050844;null;17,97019198
147;2020-11-23T18:48:10+01:00;0,000807847;0,000851521;0,000833939;19,76436908;null;20,25660704
148;2020-11-23T18:48:11+01:00;0,000770592;0,000776487;0,000759415;17,877798;null;18,37960318
