Time;Hour;0x00;QoS 1;BE 1;BE 3;BE 4;BE 2;QoS 2
80;2020-11-08T21:29:30+01:00;0.003712;null;4.795616;4.795616;null;4.786944;null
81;2020-11-08T21:29:31+01:00;0.0043360000000000004;null;4.24928;4.257952;null;4.231935999999999;null
82;2020-11-08T21:29:32+01:00;0.003712;null;4.188576;4.171232;null;4.197247999999999;null
83;2020-11-08T21:29:33+01:00;0.003712;null;4.283968;4.309984;null;4.275296;null
84;2020-11-08T21:29:34+01:00;0.003712;null;4.786944;4.752256;null;4.786944;null
85;2020-11-08T21:29:35+01:00;0.0043360000000000004;null;4.353344;4.396704;null;4.396704;null
86;2020-11-08T21:29:36+01:00;0.003712;null;4.518112;4.50944;null;4.483424;null
87;2020-11-08T21:29:37+01:00;0.003712;null;4.067168000000001;4.041152;null;4.067168000000001;null
88;2020-11-08T21:29:38+01:00;0.0043360000000000004;null;4.362016;4.396704;null;4.396704;null
89;2020-11-08T21:29:39+01:00;0.003712;null;4.786944;4.778272;null;4.743584;null
90;2020-11-08T21:29:40+01:00;0.003712;null;4.353344;4.3273280000000005;null;4.353344;null
91;2020-11-08T21:29:41+01:00;0.0043360000000000004;null;4.4400640000000005;4.448736;null;4.4400640000000005;null
92;2020-11-08T21:29:42+01:00;0.003712;null;4.344671999999999;4.336;null;4.353344;null
93;2020-11-08T21:29:43+01:00;0.003712;null;4.197247999999999;4.231935999999999;null;4.214592;null
94;2020-11-08T21:29:44+01:00;0.0043360000000000004;null;4.830304;4.786944;null;4.847648;null
95;2020-11-08T21:29:45+01:00;0.007424;null;null;5.862272;null;null;null
96;2020-11-08T21:29:46+01:00;0;null;null;2.2460479999999996;null;2.2200320000000002;null
97;2020-11-08T21:29:47+01:00;0.003712;null;null;3.6595839999999997;null;3.6769279999999998;null
98;2020-11-08T21:29:48+01:00;0.002784;null;null;3.6162240000000003;null;3.5988800000000003;null
99;2020-11-08T21:29:49+01:00;0.003408;null;null;4.015136;null;3.997792;null
100;2020-11-08T21:29:50+01:00;0.002784;null;null;3.9717759999999998;null;4.006464;null
101;2020-11-08T21:29:51+01:00;0.002784;null;null;4.1452160000000005;null;4.110528;null
102;2020-11-08T21:29:52+01:00;0.002784;null;null;4.110528;null;4.153888;null
103;2020-11-08T21:29:53+01:00;0.002784;null;null;4.197247999999999;null;4.197247999999999;null
104;2020-11-08T21:29:54+01:00;0.003408;null;null;4.041152;null;4.006464;null
105;2020-11-08T21:29:55+01:00;0.002784;null;null;4.4747520000000005;null;4.50944;null
106;2020-11-08T21:29:56+01:00;0.003408;null;null;3.9110720000000003;null;3.919744;null
107;2020-11-08T21:29:57+01:00;0.002784;null;null;4.197247999999999;null;4.16256;null
108;2020-11-08T21:29:58+01:00;0.002784;null;null;4.240608;null;4.223264;null
109;2020-11-08T21:29:59+01:00;0.002784;null;null;3.997792;null;4.041152;null
110;2020-11-08T21:30:00+01:00;0.002784;null;null;4.336;null;4.309984;null
111;2020-11-08T21:30:01+01:00;0.002784;null;null;3.624896;null;3.6422399999999997;null
112;2020-11-08T21:30:02+01:00;0.002784;null;null;4.188576;null;4.1799040000000005;null
113;2020-11-08T21:30:03+01:00;0.002784;null;null;4.283968;null;4.2926400000000005;null
114;2020-11-08T21:30:04+01:00;0.002784;null;null;4.266624;null;4.275296;null
115;2020-11-08T21:30:05+01:00;0.002784;null;null;4.084512;null;4.07584;null
116;2020-11-08T21:30:06+01:00;0.002784;null;null;4.084512;null;4.07584;null
117;2020-11-08T21:30:07+01:00;0.002784;null;null;3.867712;null;3.919744;null
118;2020-11-08T21:30:08+01:00;0.002784;null;null;4.093184;null;4.041152;null
119;2020-11-08T21:30:09+01:00;0.003408;null;null;4.362016;null;4.353344;null
120;2020-11-08T21:30:10+01:00;0.003408;null;null;4.483424;null;4.483424;null
121;2020-11-08T21:30:11+01:00;0.002784;null;null;3.486144;null;3.503488;null
122;2020-11-08T21:30:12+01:00;0.002784;null;null;4.570144;null;4.561472;null
123;2020-11-08T21:30:13+01:00;0.003408;null;null;3.9024;null;4.110528;null
124;2020-11-08T21:30:14+01:00;0.003408;null;null;4.431392;null;4.240608;null
125;2020-11-08T21:30:15+01:00;0.002784;null;null;2.21136;null;2.176672;null
126;2020-11-08T21:30:16+01:00;0.002784;null;null;0.35555200000000003;null;0.38156799999999996;null
127;2020-11-08T21:30:17+01:00;0.002784;null;null;0.442272;null;0.450944;null
128;2020-11-08T21:30:18+01:00;0.002784;null;null;0.38156799999999996;null;0.45961599999999997;null
129;2020-11-08T21:30:19+01:00;0.002784;null;null;1.5522880000000001;null;2.7576959999999997;null
130;2020-11-08T21:30:20+01:00;0.002784;null;null;null;null;5.966336;null
131;2020-11-08T21:30:21+01:00;0.002784;null;null;null;null;6.651424;null
132;2020-11-08T21:30:22+01:00;0.003408;null;null;null;null;7.54464;null
133;2020-11-08T21:30:23+01:00;0.002784;null;null;null;null;null;null
134;2020-11-08T21:30:24+01:00;null;null;null;null;null;14.161376;null
135;2020-11-08T21:30:25+01:00;0.002784;null;null;null;null;10.415072;null
136;2020-11-08T21:30:26+01:00;null;null;null;null;null;null;null
137;2020-11-08T21:30:27+01:00;0.005568;null;null;null;null;16.988448;null
138;2020-11-08T21:30:28+01:00;0;null;null;null;null;9.200992;null
139;2020-11-08T21:30:29+01:00;0.002784;null;null;null;null;10.094208;null
140;2020-11-08T21:30:30+01:00;0.00248;null;null;null;null;13.216128000000001;null
141;2020-11-08T21:30:31+01:00;0.00248;null;null;null;null;null;null
142;2020-11-08T21:30:32+01:00;0.001856;null;null;null;null;10.996096;null
143;2020-11-08T21:30:33+01:00;null;null;null;null;null;14.230752;null
144;2020-11-08T21:30:34+01:00;0.001856;null;null;null;null;null;null
145;2020-11-08T21:30:35+01:00;0.001856;null;null;null;null;10.770624;null
146;2020-11-08T21:30:36+01:00;0.001856;null;null;null;null;11.134848;null
147;2020-11-08T21:30:37+01:00;null;null;null;null;null;12.175488;null
148;2020-11-08T21:30:38+01:00;0.001856;null;null;null;null;11.013440000000001;null
149;2020-11-08T21:30:39+01:00;0.001856;null;null;null;null;12.903936;null
150;2020-11-08T21:30:40+01:00;0.001856;null;null;null;null;null;null
151;2020-11-08T21:30:41+01:00;null;null;null;null;null;11.79392;null
152;2020-11-08T21:30:42+01:00;0.001856;null;null;null;null;12.817216;null
153;2020-11-08T21:30:43+01:00;0.001856;null;null;null;null;11.091488;null
154;2020-11-08T21:30:44+01:00;0.001856;null;null;null;null;null;null
155;2020-11-08T21:30:45+01:00;null;null;null;null;null;12.695808000000001;null
156;2020-11-08T21:30:46+01:00;0.001856;null;null;null;null;11.88064;null
157;2020-11-08T21:30:47+01:00;0.001856;null;null;null;null;12.253536;null
158;2020-11-08T21:30:48+01:00;0.001856;null;null;null;null;11.525088;null
159;2020-11-08T21:30:49+01:00;0.001856;null;null;null;null;null;null
160;2020-11-08T21:30:50+01:00;null;null;null;null;null;13.042688;null
161;2020-11-08T21:30:51+01:00;0.001856;null;null;null;null;11.481727999999999;null
162;2020-11-08T21:30:52+01:00;0.003712;null;null;null;null;17.023135999999997;null
163;2020-11-08T21:30:53+01:00;0;null;null;null;null;null;null
164;2020-11-08T21:30:54+01:00;null;null;null;null;null;7.63136;null
165;2020-11-08T21:30:55+01:00;0.001856;null;null;null;null;12.322912;null
166;2020-11-08T21:30:56+01:00;0.001856;null;null;null;null;13.944576;null
167;2020-11-08T21:30:57+01:00;0.001856;null;null;null;null;null;null
168;2020-11-08T21:30:58+01:00;0.00248;null;null;null;null;11.429696;null
169;2020-11-08T21:30:59+01:00;null;null;null;null;null;11.915327999999999;null
170;2020-11-08T21:31:00+01:00;0.001856;null;null;null;null;10.614528;null
171;2020-11-08T21:31:01+01:00;0.001856;null;null;null;null;14.386848;null
172;2020-11-08T21:31:02+01:00;0.001856;null;null;null;null;10.441088;null
173;2020-11-08T21:31:03+01:00;0.001856;null;null;null;null;11.10016;null
174;2020-11-08T21:31:04+01:00;0.001856;null;null;null;null;null;null
175;2020-11-08T21:31:05+01:00;0.001856;null;null;null;null;13.337536;null
176;2020-11-08T21:31:06+01:00;0.001856;null;null;null;null;12.929952;null
177;2020-11-08T21:31:07+01:00;0.001856;null;null;null;null;10.614528;null
178;2020-11-08T21:31:08+01:00;null;null;null;null;null;12.123456000000001;null
179;2020-11-08T21:31:09+01:00;0.001856;null;null;null;null;11.66384;null
180;2020-11-08T21:31:10+01:00;0.001856;null;null;null;null;null;null
181;2020-11-08T21:31:11+01:00;null;null;null;null;null;12.340256;null
182;2020-11-08T21:31:12+01:00;0.001856;null;null;null;null;12.019392;null
183;2020-11-08T21:31:13+01:00;0.001856;null;null;null;null;12.236191999999999;null
184;2020-11-08T21:31:14+01:00;0.00248;null;null;null;null;12.296896;null
185;2020-11-08T21:31:15+01:00;0.00248;null;null;null;null;null;null
186;2020-11-08T21:31:16+01:00;null;null;null;null;null;12.426976;null
187;2020-11-08T21:31:17+01:00;0.001856;null;null;null;null;16.710943999999998;null
188;2020-11-08T21:31:18+01:00;0.001856;null;null;null;null;7.379872000000001;null
189;2020-11-08T21:31:19+01:00;0.00248;null;null;null;null;11.924;null
190;2020-11-08T21:31:20+01:00;null;null;null;null;null;null;null
191;2020-11-08T21:31:21+01:00;0.001856;null;null;null;null;11.950016;null
192;2020-11-08T21:31:22+01:00;0.001856;null;null;null;null;11.785248;null
