Time;Hour;0x00;QoS 1;BE 1;BE 3;BE 4;BE 2;QoS 2
1;2020-11-08T21:28:11+01:00;0.001856;null;null;null;null;null;null
2;2020-11-08T21:28:12+01:00;0.000928;null;null;null;null;null;null
3;2020-11-08T21:28:13+01:00;0.002784;null;null;null;null;null;null
4;2020-11-08T21:28:14+01:00;0.001856;null;null;null;null;null;null
5;2020-11-08T21:28:15+01:00;0.001856;null;null;null;null;null;null
6;2020-11-08T21:28:16+01:00;0.000928;null;null;null;null;null;null
7;2020-11-08T21:28:17+01:00;0.002784;null;null;null;null;null;null
8;2020-11-08T21:28:18+01:00;0.001856;null;null;null;null;null;null
9;2020-11-08T21:28:19+01:00;0.001552;null;null;null;null;null;null
10;2020-11-08T21:28:20+01:00;0.00248;null;null;null;null;null;null
11;2020-11-08T21:28:21+01:00;0.002784;null;null;4.891008;3.1219200000000003;null;null
12;2020-11-08T21:28:22+01:00;0;null;null;5.870944000000001;5.862272;null;null
13;2020-11-08T21:28:23+01:00;0.003712;null;null;8.021600000000001;8.021600000000001;null;null
14;2020-11-08T21:28:24+01:00;0.00248;null;null;6.495328000000001;null;null;null
15;2020-11-08T21:28:25+01:00;0.001856;null;null;4.960384;null;null;null
16;2020-11-08T21:28:26+01:00;0;null;null;2.03792;null;null;null
17;2020-11-08T21:28:27+01:00;0.001856;null;null;1.136032;null;null;null
18;2020-11-08T21:28:28+01:00;0.000928;null;null;0.026015999999999997;null;null;null
19;2020-11-08T21:28:29+01:00;0.001856;null;null;0.112736;null;null;null
20;2020-11-08T21:28:30+01:00;0;null;null;0.147424;null;null;null
21;2020-11-08T21:28:31+01:00;0.000928;null;null;0.147424;null;null;null
22;2020-11-08T21:28:32+01:00;0.000928;null;null;0.13008;null;null;null
23;2020-11-08T21:28:33+01:00;0.000928;null;null;0.147424;null;null;null
24;2020-11-08T21:28:34+01:00;0.000928;null;null;0.13875200000000001;null;null;null
25;2020-11-08T21:28:35+01:00;0.001856;null;null;0.156096;null;null;null
26;2020-11-08T21:28:36+01:00;0.000928;null;null;0.147424;null;null;null
27;2020-11-08T21:28:37+01:00;0;null;null;0.121408;null;null;null
28;2020-11-08T21:28:38+01:00;0.001856;null;null;0.147424;null;null;null
29;2020-11-08T21:28:39+01:00;0;null;null;0.13875200000000001;null;null;null
30;2020-11-08T21:28:40+01:00;0.001856;null;null;0.13875200000000001;null;null;null
31;2020-11-08T21:28:41+01:00;0.000928;null;null;0.156096;null;null;null
32;2020-11-08T21:28:42+01:00;0.000624;null;null;0.112736;null;null;null
33;2020-11-08T21:28:43+01:00;0.000928;null;null;0.13875200000000001;null;null;null
34;2020-11-08T21:28:44+01:00;0.001856;null;null;0.147424;null;null;null
35;2020-11-08T21:28:45+01:00;0.000928;null;null;0.17344;null;null;null
36;2020-11-08T21:28:46+01:00;0;null;null;0.09539199999999999;null;null;null
37;2020-11-08T21:28:47+01:00;0.000928;null;null;0.13875200000000001;null;null;null
38;2020-11-08T21:28:48+01:00;0.000928;null;null;0.13875200000000001;null;null;null
39;2020-11-08T21:28:49+01:00;0.000928;null;null;0.147424;null;null;null
40;2020-11-08T21:28:50+01:00;0.000928;null;null;0.13008;null;null;null
41;2020-11-08T21:28:51+01:00;0.000928;null;null;0.147424;null;null;null
42;2020-11-08T21:28:52+01:00;0.000928;null;null;0.147424;null;null;null
43;2020-11-08T21:28:53+01:00;0.000928;null;null;0.13008;null;null;null
44;2020-11-08T21:28:54+01:00;0.001552;null;null;0.13875200000000001;null;null;null
45;2020-11-08T21:28:55+01:00;0.000928;null;null;0.13875200000000001;null;null;null
46;2020-11-08T21:28:56+01:00;0.000928;null;null;0.13875200000000001;null;null;null
47;2020-11-08T21:28:57+01:00;0.000928;null;null;0.13008;null;null;null
48;2020-11-08T21:28:58+01:00;0.001856;null;null;0.17344;null;null;null
49;2020-11-08T21:28:59+01:00;0;null;null;0.10406399999999999;null;null;null
50;2020-11-08T21:29:00+01:00;0.001856;null;null;0;null;null;null
51;2020-11-08T21:29:01+01:00;0;null;null;0;null;null;null
52;2020-11-08T21:29:02+01:00;0.001856;null;null;0;null;null;null
53;2020-11-08T21:29:03+01:00;0;null;null;0;null;null;null
54;2020-11-08T21:29:04+01:00;0.000928;null;null;0;null;null;null
55;2020-11-08T21:29:05+01:00;0.00248;null;null;0;null;null;null
56;2020-11-08T21:29:06+01:00;0.000928;null;null;0;null;null;null
57;2020-11-08T21:29:07+01:00;0;null;null;0;null;null;null
58;2020-11-08T21:29:08+01:00;0.000928;null;null;0;null;null;null
59;2020-11-08T21:29:09+01:00;0.000928;null;null;0;null;null;null
60;2020-11-08T21:29:10+01:00;0.001856;null;null;0;null;null;null
61;2020-11-08T21:29:11+01:00;0;null;null;0;null;null;null
62;2020-11-08T21:29:12+01:00;0.000928;null;null;0;null;null;null
63;2020-11-08T21:29:13+01:00;0.001856;null;null;0;null;null;null
64;2020-11-08T21:29:14+01:00;0;null;null;0;null;null;null
65;2020-11-08T21:29:15+01:00;0.000928;null;null;0;null;null;null
66;2020-11-08T21:29:16+01:00;0.000928;null;null;0;null;null;null
67;2020-11-08T21:29:17+01:00;0.000928;null;null;0;null;null;null
68;2020-11-08T21:29:18+01:00;0.000928;null;null;0;null;null;null
69;2020-11-08T21:29:19+01:00;0.000928;null;null;0;null;null;null
70;2020-11-08T21:29:20+01:00;0.000928;null;null;0;null;null;null
71;2020-11-08T21:29:21+01:00;0.000928;null;null;0;null;null;null
72;2020-11-08T21:29:22+01:00;0.001856;null;null;0;null;null;null
73;2020-11-08T21:29:23+01:00;0;null;null;0;null;null;null
74;2020-11-08T21:29:24+01:00;0.000928;null;null;0;null;null;null
75;2020-11-08T21:29:25+01:00;0.001856;null;null;0;null;null;null
76;2020-11-08T21:29:26+01:00;0;null;null;0;null;null;null
77;2020-11-08T21:29:27+01:00;0.000928;null;null;0;null;null;null
78;2020-11-08T21:29:28+01:00;0.001552;null;null;0;null;null;null
79;2020-11-08T21:29:29+01:00;0.001552;null;null;0;null;null;null
80;2020-11-08T21:29:30+01:00;0.001856;null;null;0;null;null;null
81;2020-11-08T21:29:31+01:00;0;null;null;0;null;null;null
82;2020-11-08T21:29:32+01:00;0.000928;null;null;0;null;null;null
83;2020-11-08T21:29:33+01:00;0.000928;null;null;0;null;null;null
84;2020-11-08T21:29:34+01:00;0.000928;null;null;0;null;null;null
85;2020-11-08T21:29:35+01:00;0.000928;null;null;0;null;null;null
86;2020-11-08T21:29:36+01:00;0.000928;null;null;0;null;null;null
87;2020-11-08T21:29:37+01:00;0.000928;null;null;0;null;null;null
88;2020-11-08T21:29:38+01:00;0.000928;null;null;0;null;null;null
89;2020-11-08T21:29:39+01:00;0.000928;null;null;0;null;null;null
90;2020-11-08T21:29:40+01:00;0.000928;null;null;0;null;null;null
91;2020-11-08T21:29:41+01:00;0.000928;null;null;0;null;null;null
92;2020-11-08T21:29:42+01:00;0.000928;null;null;0;null;null;null
93;2020-11-08T21:29:43+01:00;0.000928;null;null;0;null;null;null
94;2020-11-08T21:29:44+01:00;0.000928;null;null;0;null;null;null
95;2020-11-08T21:29:45+01:00;0.001856;null;null;0;null;null;null
96;2020-11-08T21:29:46+01:00;0;null;null;0;null;null;null
97;2020-11-08T21:29:47+01:00;0.000928;null;null;0;null;null;null
98;2020-11-08T21:29:48+01:00;0.000928;null;null;0;null;null;null
99;2020-11-08T21:29:49+01:00;0.000928;null;null;0;null;null;null
100;2020-11-08T21:29:50+01:00;0.000928;null;null;0;null;null;null
101;2020-11-08T21:29:51+01:00;0.001552;null;null;0;null;null;null
