Time,Hour,0x00,0x01,0x02
117,2020-10-30T12:03:55-07:00,12000,14,12000
118,2020-10-30T12:03:56-07:00,12000,14,12000
119,2020-10-30T12:03:57-07:00,12000,14,12000
120,2020-10-30T12:03:58-07:00,12000,14,12000
121,2020-10-30T12:03:59-07:00,12000,14,12000
122,2020-10-30T12:04:00-07:00,12000,15,12000
123,2020-10-30T12:04:01-07:00,12000,15,12000
124,2020-10-30T12:04:02-07:00,12000,15,12000
125,2020-10-30T12:04:03-07:00,12000,15,12000
126,2020-10-30T12:04:04-07:00,12000,15,12000
127,2020-10-30T12:04:05-07:00,12000,16,12000
128,2020-10-30T12:04:06-07:00,12000,16,12000
129,2020-10-30T12:04:07-07:00,12000,16,12000
130,2020-10-30T12:04:08-07:00,12000,16,12000
131,2020-10-30T12:04:09-07:00,12000,16,12000
132,2020-10-30T12:04:10-07:00,12000,17,12000
133,2020-10-30T12:04:11-07:00,12000,17,12000
134,2020-10-30T12:04:12-07:00,12000,17,12000
135,2020-10-30T12:04:13-07:00,12000,17,12000
136,2020-10-30T12:04:14-07:00,12000,17,12000
137,2020-10-30T12:04:15-07:00,12000,18,12000
138,2020-10-30T12:04:16-07:00,12000,18,12000
139,2020-10-30T12:04:17-07:00,12000,18,12000
140,2020-10-30T12:04:18-07:00,12000,18,12000
141,2020-10-30T12:04:19-07:00,12000,18,12000
142,2020-10-30T12:04:20-07:00,12000,10,12000
143,2020-10-30T12:04:21-07:00,12000,10,12000
144,2020-10-30T12:04:22-07:00,12000,10,12000
145,2020-10-30T12:04:23-07:00,12000,10,12000
146,2020-10-30T12:04:24-07:00,12000,10,12000
147,2020-10-30T12:04:25-07:00,12000,10,12000
148,2020-10-30T12:04:26-07:00,12000,10,12000
149,2020-10-30T12:04:27-07:00,12000,10,12000
150,2020-10-30T12:04:28-07:00,12000,10,12000
151,2020-10-30T12:04:29-07:00,12000,10,12000
152,2020-10-30T12:04:30-07:00,12000,11,12000
153,2020-10-30T12:04:31-07:00,12000,11,12000
154,2020-10-30T12:04:32-07:00,12000,11,12000
155,2020-10-30T12:04:33-07:00,12000,11,12000
156,2020-10-30T12:04:34-07:00,12000,11,12000
157,2020-10-30T12:04:35-07:00,12000,12,12000
158,2020-10-30T12:04:36-07:00,12000,12,12000
159,2020-10-30T12:04:37-07:00,12000,12,12000
