Time;Hour;0x00;QoS 1;BE 1;BE 2;BE 3;QoS 2
84;2020-04-20T11:50:28+02:00;0.000624;0;4.1799040000000005;4.197247999999999;0;0
85;2020-04-20T11:50:29+02:00;0.0046559999999999995;0;3.6856;4.344671999999999;0;0
86;2020-04-20T11:50:30+02:00;0.002352;0;4.240608;4.448736;0;0
87;2020-04-20T11:50:31+02:00;0.002352;0;4.7696000000000005;4.7349120000000005;0;0
88;2020-04-20T11:50:32+02:00;0.0011040000000000002;0;4.127872;4.24928;0;0
89;2020-04-20T11:50:33+02:00;0.001728;0;4.1452160000000005;4.188576;0;0
90;2020-04-20T11:50:34+02:00;0.0057599999999999995;0;4.214592;4.240608;0;0
91;2020-04-20T11:50:35+02:00;0.00312;0;3.9284160000000004;4.561472;0;0
92;2020-04-20T11:50:36+02:00;0.003456;0;4.821631999999999;4.483424;0;0
93;2020-04-20T11:50:37+02:00;0.000624;0;3.5121599999999997;3.5815360000000003;0;0
94;2020-04-20T11:50:38+02:00;0.0018720000000000002;0;4.318656;4.07584;0;0
95;2020-04-20T11:50:39+02:00;0.005008;0;3.997792;3.9544319999999997;0;0
96;2020-04-20T11:50:40+02:00;0.0037440000000000004;0;4.2926400000000005;4.214592;0;0
97;2020-04-20T11:50:41+02:00;0.002976;0;4.379359999999999;3.997792;0;0
98;2020-04-20T11:50:42+02:00;0.0022080000000000003;0;3.919744;3.9717759999999998;0;0
99;2020-04-20T11:50:43+02:00;0.002352;0;4.301312;4.3273280000000005;0;0
100;2020-04-20T11:50:44+02:00;0.004864;0;4.101856;4.20592;0;0
101;2020-04-20T11:50:45+02:00;0.002496;0;4.16256;4.03248;0;0
102;2020-04-20T11:50:46+02:00;0.002352;0;4.717568;4.578816;0;0
103;2020-04-20T11:50:47+02:00;0.001728;0;3.885056;3.8416959999999998;0;0
104;2020-04-20T11:50:48+02:00;0.001248;0;4.1192;4.353344;0;0
105;2020-04-20T11:50:49+02:00;0.002496;0;4.214592;4.006464;0;0
106;2020-04-20T11:50:50+02:00;0.0059039999999999995;0;4.006464;4.379359999999999;0;0
107;2020-04-20T11:50:51+02:00;0.002976;0;4.197247999999999;4.240608;0;0
108;2020-04-20T11:50:52+02:00;0.002832;0;4.240608;4.058496;0;0
109;2020-04-20T11:50:53+02:00;0.002352;0;3.7636480000000003;3.963104;0;0
110;2020-04-20T11:50:54+02:00;0.002352;0;4.110528;4.1192;0;0
111;2020-04-20T11:50:55+02:00;0.00528;0;4.752256;4.405376;0;0
