QoS 1;BE 1;BE 2;BE 3;QoS 2;
2.107296;2.445504;2.2200320000000002;1.4222080000000001;1.621664;
1.6910399999999999;4.015136;3.72896;3.7636480000000003;2.03792;
2.0986239999999996;4.231935999999999;4.136544;4.370688;2.141984;
1.8731520000000002;4.015136;3.9457600000000004;4.336;2.350112;
2.25472;4.07584;4.223264;4.101856;2.107296;
2.306752;4.240608;3.9891199999999998;3.29536;2.202688;
1.6910399999999999;3.9457600000000004;4.006464;2.931136;1.959872;
1.769088;4.388032;4.03248;4.3273280000000005;2.185344;
2.1159679999999996;4.231935999999999;3.9110720000000003;5.732192;1.630336;
1.959872;4.084512;4.171232;3.5295039999999998;2.2200320000000002;
2.376128;4.743584;4.20592;3.6595839999999997;2.1159679999999996;
2.0986239999999996;3.607552;4.058496;3.0351999999999997;2.011904;
2.141984;4.127872;4.197247999999999;6.85088;1.9858879999999999;
2.011904;3.0091840000000003;4.344671999999999;4.1452160000000005;2.2200320000000002;
2.141984;2.376128;4.448736;4.570144;1.8904960000000002;
2.150656;7.54464;4.7349120000000005;4.283968;2.133312;
1.933856;3.6595839999999997;4.24928;3.919744;2.141984;
2.228704;4.231935999999999;4.188576;4.015136;2.185344;
2.133312;4.743584;4.240608;4.4400640000000005;1.9945599999999999;
2.08128;4.266624;4.561472;4.084512;2.393472;
2.34144;4.396704;4.483424;4.4400640000000005;1.8297919999999999;
1.916512;3.885056;3.5815360000000003;3.9544319999999997;2.168;
2.0726080000000002;3.963104;4.07584;4.309984;2.228704;
1.9858879999999999;3.876384;3.9544319999999997;4.275296;1.8818240000000002;
2.011904;4.362016;4.214592;3.919744;2.3674560000000002;
2.202688;4.1192;3.997792;3.833024;2.1159679999999996;
2.12464;4.16256;3.9717759999999998;3.997792;1.968544;
2.046592;4.093184;4.3273280000000005;4.136544;2.34144;
2.185344;3.833024;4.20592;4.197247999999999;1.899168;
1.933856;4.20592;4.03248;4.24928;2.306752;
2.150656;4.535456;4.578816;4.2926400000000005;1.8904960000000002;
2.21136;3.6595839999999997;3.8416959999999998;0;2.194016;
2.029248;4.448736;4.353344;0;2.0899520000000003;
1.8731520000000002;3.81568;4.006464;0;2.289408;
1.8384639999999999;3.9024;4.379359999999999;0;2.21136;
2.358784;4.379359999999999;4.240608;0;2.107296;
1.959872;4.171232;4.058496;0;2.0986239999999996;
2.055264;3.980448;3.963104;0;1.8818240000000002;
1.77776;4.188576;4.1192;0;1.12736;
1.933856;3.963104;4.405376;4.07584;1.283456;
2.584256;4.318656;4.891008;4.136544;0.8411839999999999;
1.786432;4.006464;3.77232;4.16256;4.665536;
1.942528;4.1799040000000005;2.445504;4.318656;3.1826239999999997;
2.1159679999999996;3.6856;1.621664;4.127872;1.8731520000000002;
2.462848;4.240608;1.3615039999999998;4.188576;2.228704;
2.063936;4.7696000000000005;2.610272;4.2926400000000005;1.786432;
1.90784;4.127872;5.55008;4.1799040000000005;2.12464;
2.0899520000000003;4.1452160000000005;5.628127999999999;4.5528;2.2460479999999996;
2.0986239999999996;4.214592;4.804288;4.42272;2.08128;
1.9772159999999999;3.9284160000000004;4.127872;4.231935999999999;2.107296;
1.90784;4.821631999999999;4.4400640000000005;5.367967999999999;1.8384639999999999;
1.8211199999999999;3.5121599999999997;4.535456;3.147936;1.2140799999999998;
1.968544;4.318656;4.084512;4.093184;1.2140799999999998;
1.933856;3.997792;4.4747520000000005;4.093184;0.9105599999999999;
1.968544;4.2926400000000005;4.16256;4.301312;2.9744960000000003;
2.358784;4.379359999999999;3.85904;4.301312;3.399424;
1.916512;3.919744;4.1192;4.07584;3.1045760000000002;
2.141984;4.301312;4.049824;4.197247999999999;2.055264;
2.324096;4.101856;4.336;4.015136;2.324096;
2.185344;4.16256;4.101856;4.448736;2.029248;
2.332768;4.717568;3.477472;4.526783999999999;1.90784;
1.630336;3.885056;6.217823999999999;7.3712;2.011904;
2.34144;4.1192;7.085024000000001;7.709408000000001;2.055264;
1.9858879999999999;4.214592;6.122432;7.8308159999999996;1.9945599999999999;
2.194016;4.006464;3.650912;8.602624;2.202688;
1.933856;4.197247999999999;1.64768;9.383104;1.8731520000000002;
1.925184;4.240608;1.639008;10.068192;2.08128;
2.150656;3.7636480000000003;2.176672;10.978752;2.055264;
2.133312;4.110528;6.651424;5.402656;2.0986239999999996;
2.21136;4.752256;6.963616;1.456896;2.2200320000000002;
2.497536;4.838976;7.449248;2.194016;2.003232;
