QoS 1;BE 1;BE 2;BE 3;QoS 2
7.125;802.37;699.009;0;
10.395;673.948;680.902;699.51;
7.508;613.299;695.395;813.067;
8.189;651.728;680.43;663.631;
7.316;630.744;673.549;684.051;
8.506;607.538;651.557;738.399;
8.63;671.27;671.662;667.752;
7.67;649.462;671.703;638.885;
9.946;667.208;696.113;761.596;
8.66;631.953;707.423;724.872;
8.584;654.74;701.326;708.861;
7.73;598.694;665.679;444.471;
8.095;636.831;684.689;474.322;
6.759;723.947;670.03;544.792;
8.094;674.135;701.448;125.676;
7.26;749.89;669.63;125.676;
8.462;691.706;675.54;956.66;
9.566;710.986;642.931;758.759;
7.881;707.457;949.741;562.685;
9.123;639.792;651.922;429.873;
9.155;659.142;394.319;461.362;
7.103;648.234;580.153;563.464;
8.633;677.889;115.67;727.679;
7.67;676.701;732.875;;
9.553;644.714;701.318;;
8.488;669.619;705.292;;
8.31;633.374;152.769;;
9.892;651.344;925.802;;
11.367;694.874;651.965;;
10.47;681.028;873.832;;
10.072;698.7;37.025;;
8.728;680.827;726.874;;
10.407;695.576;;;
8.914;680.398;;;
9.951;673.104;;;
11.211;651.241;;;
8.281;671.328;;;
11.04;671.785;;;
8.075;696.141;;;
10.528;707.257;;;
12.966;701.325;;;
8.274;665.802;;;
9.635;684.823;;;
11.756;669.957;;;
8.801;700.682;;;
9.525;669.286;;;
10.346;675.258;;;
11.233;642.834;;;
38.177;945.991;;;
91.644;645.827;;;
90.523;388.077;;;
67.437;580.716;;;
13.329;119.037;;;
12;732.916;;;
10.685;700.869;;;
12.575;704.783;;;
313.659;148.686;;;
459.94;923.962;;;
601.366;653.788;;;
436.543;889.536;;;
6.991;49.958;;;
10.783;726.91;;;
7.568;;;;
8.938;;;;
9.778;;;;
10.199;;;;
9.122;;;;
7.405;;;;
9.479;;;;
8.817;;;;
7.313;;;;
7.625;;;;
8.703;;;;
11.615;;;;
12.722;;;;
11.905;;;;
12.395;;;;
11.726;;;;
9.827;;;;
9.43;;;;
9.167;;;;
9.23;;;;
12.764;;;;
8.985;;;;
10.572;;;;
10.009;;;;
8.766;;;;
10.026;;;;
11.606;;;;
11.817;;;;
10.472;;;;
13.233;;;;
11.065;;;;
10.468;;;;
10.534;;;;
12.98;;;;
9.873;;;;
10.393;;;;
11.528;;;;
13.556;;;;
11.36;;;;
12.461;;;;
10.756;;;;
11.778;;;;
11.759;;;;
12.496;;;;
11.62;;;;
10.43;;;;
