QoS 1;BE 1;BE 2;BE 3;QoS 2
910.431;223.329;750.748;754.643;
848.931;707.321;754.48;758.87;
98.246;727.572;759.086;746.161;
13.022;781.996;745.719;738.782;
12.897;738.134;739.352;748.076;
17.382;791.319;747.883;804.696;
11.934;737.996;857.808;244.656;
13.721;718.953;473.112;944.815;
14.407;845.025;712.305;751.315;
13.872;862.568;731.582;702.137;
11.92;506.769;702.414;680.036;
12.08;490.699;680.532;700.807;
14.46;243.205;700.926;782.534;
13.581;75.701;782.457;736.195;
12.532;953.673;735.763;735.461;
12.942;105.875;735.479;725.543;
13.154;808.363;725.768;185.186;
12.345;858.687;186.16;836.627;
10.966;894.591;831.017;369.036;
0.086;739.645;360.476;670.657;
0.023;777.106;681.264;728.602;
0.019;844.071;728.76;698.413;
0.021;748.977;698.514;713.809;
0.019;778.747;713.355;742.751;
0.02;780.969;742.629;742.376;
0.022;837.293;741.02;649.224;
0.02;760.201;654.547;655.435;
0.02;767.875;654.571;290.674;
0.021;811.292;319.659;227.291;
0.019;752.88;158.547;273.204;
0.022;751.259;136.018;731.224;
0.019;754.409;731.538;721.625;
0.047;758.654;721.265;709.575;
0.02;745.906;709.65;;
0.019;738.782;;;
0.022;749.026;;;
0.021;870.047;;;
0.019;493.141;;;
0.02;712.597;;;
0.019;731.684;;;
0.022;701.943;;;
;680.196;;;
;701.043;;;
;782.866;;;
;736.202;;;
;734.912;;;
;725.372;;;
;179.024;;;
;835.092;;;
;360.104;;;
;681.858;;;
;729.267;;;
;698.442;;;
;713.264;;;
;742.925;;;
;741.877;;;
;653.292;;;
;656.902;;;
;321.89;;;
;159.468;;;
;129.77;;;
;730.983;;;
;721.486;;;
;709.527;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
