Time;Hour;0x00;QoS 1;BE 1;BE 3;BE 4;BE 2;QoS 2
1;2020-11-08T22:55:55+01:00;0.004752;0;0;0;0;0;0
2;2020-11-08T22:55:56+01:00;0.001856;0;0;0;0;0;0
3;2020-11-08T22:55:57+01:00;0.001856;0;0;0;0;0;0
4;2020-11-08T22:55:58+01:00;0.001856;0;0;0;0;0;0
5;2020-11-08T22:55:59+01:00;0.001856;0;0;0;0;0;0
6;2020-11-08T22:56:00+01:00;0.001856;0;0;0;0;0;0
7;2020-11-08T22:56:01+01:00;0.00248;0;0;0;0;0;0
8;2020-11-08T22:56:02+01:00;0.001856;0;0;0;0;0;0
9;2020-11-08T22:56:03+01:00;0.001856;0;0;0;0;0;0
10;2020-11-08T22:56:04+01:00;0.001856;0;0;0;0;0;0
11;2020-11-08T22:56:05+01:00;0.001856;0;0;7.128384;4.648192;0;0
12;2020-11-08T22:56:06+01:00;0.001856;0;0;11.438368;11.473056;0;0
13;2020-11-08T22:56:07+01:00;0.00248;0;0;12.765184;12.74784;0;0
14;2020-11-08T22:56:08+01:00;0.00248;0;0;10.744608;10.75328;0;0
15;2020-11-08T22:56:09+01:00;0.001856;0;0;11.741888000000001;11.733216;0;0
16;2020-11-08T22:56:10+01:00;0.00248;0;0;12.210175999999999;12.218848;0;0
17;2020-11-08T22:56:11+01:00;0.001856;0;0;10.571168;10.571168;0;0
18;2020-11-08T22:56:12+01:00;0.001856;0;0;12.3576;12.3576;0;0
19;2020-11-08T22:56:13+01:00;0.001856;0;0;11.551103999999999;11.542432000000002;0;0
20;2020-11-08T22:56:14+01:00;0.001856;0;0;11.57712;11.57712;0;0
21;2020-11-08T22:56:15+01:00;0.001856;0;0;10.787968000000001;10.805312;0;0
22;2020-11-08T22:56:16+01:00;0.001856;0;0;6.191808;6.1744639999999995;0;0
23;2020-11-08T22:56:17+01:00;0.001856;0;0;3.737632;3.720288;0;0
24;2020-11-08T22:56:18+01:00;0.001856;0;0;3.6856;3.711616;0;0
25;2020-11-08T22:56:19+01:00;0.001856;0;0;3.3300479999999997;3.702944;0;0
26;2020-11-08T22:56:20+01:00;0.001856;0;0;9.513183999999999;13.129408;0;0
27;2020-11-08T22:56:21+01:00;0.001856;0;0;10.102879999999999;12.348927999999999;0;0
28;2020-11-08T22:56:22+01:00;0.001856;0;0;13.190112;13.710432;0;0
