Time;Datetime;STA 5;STA 6;STA 4;STA 3;STA 1;STA 2
94;2021-01-06T12:36:54+01:00;-59.0;null;null;null;null;null
95;2021-01-06T12:36:55+01:00;-59.0;-62.0;null;null;null;null
96;2021-01-06T12:36:56+01:00;-59.0;-61.0;null;null;null;null
97;2021-01-06T12:36:57+01:00;-59.0;-60.0;null;null;null;null
98;2021-01-06T12:36:58+01:00;-59.0;-60.0;null;null;null;null
99;2021-01-06T12:36:59+01:00;-59.0;-60.0;null;null;null;null
100;2021-01-06T12:37:00+01:00;null;-60.0;null;null;null;null
101;2021-01-06T12:37:01+01:00;null;-60.0;null;null;null;null
102;2021-01-06T12:37:02+01:00;null;-60.0;null;null;null;null
103;2021-01-06T12:37:03+01:00;null;-60.0;null;null;null;null
104;2021-01-06T12:37:04+01:00;null;null;null;-51.0;null;null
105;2021-01-06T12:37:05+01:00;null;null;null;-51.0;null;null
106;2021-01-06T12:37:06+01:00;null;null;null;-51.0;null;null
107;2021-01-06T12:37:07+01:00;null;null;null;-51.0;null;null
108;2021-01-06T12:37:08+01:00;null;null;null;-51.0;null;null
109;2021-01-06T12:37:09+01:00;null;null;null;-51.0;-61.0;null
110;2021-01-06T12:37:10+01:00;null;null;null;null;-61.0;-48.0
111;2021-01-06T12:37:11+01:00;null;null;null;null;-61.0;-48.0
112;2021-01-06T12:37:12+01:00;null;null;null;null;-61.0;-48.0
113;2021-01-06T12:37:13+01:00;null;null;null;null;-61.0;-48.0
114;2021-01-06T12:37:14+01:00;null;null;null;null;-61.0;-48.0
115;2021-01-06T12:37:15+01:00;null;null;null;null;null;-48.0
116;2021-01-06T12:37:16+01:00;null;null;null;null;null;null
117;2021-01-06T12:37:17+01:00;null;null;null;null;null;null
118;2021-01-06T12:37:18+01:00;null;null;null;null;null;null
119;2021-01-06T12:37:19+01:00;null;null;null;null;null;null
120;2021-01-06T12:37:20+01:00;null;null;null;null;null;null
121;2021-01-06T12:37:21+01:00;null;null;null;null;null;null
122;2021-01-06T12:37:22+01:00;null;null;null;null;null;null
123;2021-01-06T12:37:23+01:00;null;null;null;null;null;null
124;2021-01-06T12:37:24+01:00;null;null;null;null;null;null
125;2021-01-06T12:37:25+01:00;null;null;null;null;null;null
126;2021-01-06T12:37:26+01:00;null;null;null;null;null;null
127;2021-01-06T12:37:27+01:00;null;null;null;null;null;null
128;2021-01-06T12:37:28+01:00;null;null;null;null;null;null
129;2021-01-06T12:37:29+01:00;null;null;null;null;null;null
130;2021-01-06T12:37:30+01:00;null;null;null;null;null;null
131;2021-01-06T12:37:31+01:00;null;null;null;null;null;null
132;2021-01-06T12:37:32+01:00;null;null;null;null;null;null
133;2021-01-06T12:37:33+01:00;null;null;null;null;null;null
134;2021-01-06T12:37:34+01:00;null;null;null;null;null;null
135;2021-01-06T12:37:35+01:00;null;null;null;null;null;null
136;2021-01-06T12:37:36+01:00;null;null;null;null;null;null
137;2021-01-06T12:37:37+01:00;null;null;null;null;null;null
138;2021-01-06T12:37:38+01:00;null;null;null;null;null;null
139;2021-01-06T12:37:39+01:00;null;null;null;null;null;null
140;2021-01-06T12:37:40+01:00;null;null;null;null;null;null
141;2021-01-06T12:37:41+01:00;null;null;null;null;null;null
142;2021-01-06T12:37:42+01:00;null;null;null;null;null;null
143;2021-01-06T12:37:43+01:00;null;null;null;null;null;null
144;2021-01-06T12:37:44+01:00;null;null;null;null;null;null
145;2021-01-06T12:37:45+01:00;null;null;null;null;null;null
146;2021-01-06T12:37:46+01:00;null;null;null;null;null;null
147;2021-01-06T12:37:47+01:00;null;null;null;null;null;null
148;2021-01-06T12:37:48+01:00;null;null;-57.0;null;null;null
149;2021-01-06T12:37:49+01:00;null;null;-57.0;null;null;null
150;2021-01-06T12:37:50+01:00;null;null;-57.0;null;null;null
151;2021-01-06T12:37:51+01:00;null;null;-57.0;null;null;null
152;2021-01-06T12:37:52+01:00;null;null;-57.0;null;null;null
153;2021-01-06T12:37:53+01:00;null;null;-57.0;null;null;null
154;2021-01-06T12:37:54+01:00;null;null;null;null;null;null
155;2021-01-06T12:37:55+01:00;null;-62.0;null;null;null;null
156;2021-01-06T12:37:56+01:00;null;-61.0;null;null;null;null
157;2021-01-06T12:37:57+01:00;null;-61.0;null;null;null;null
158;2021-01-06T12:37:58+01:00;null;-60.0;null;null;null;null
159;2021-01-06T12:37:59+01:00;null;-60.0;null;null;null;null
160;2021-01-06T12:38:00+01:00;null;-60.0;null;null;null;null
161;2021-01-06T12:38:01+01:00;null;-60.0;null;null;null;null
162;2021-01-06T12:38:02+01:00;null;-60.0;null;null;null;null
163;2021-01-06T12:38:03+01:00;null;-60.0;null;null;null;null
164;2021-01-06T12:38:04+01:00;null;null;null;-51.0;null;null
165;2021-01-06T12:38:05+01:00;null;null;null;-51.0;null;null
166;2021-01-06T12:38:06+01:00;null;null;null;-51.0;null;null
167;2021-01-06T12:38:07+01:00;null;null;null;-51.0;null;null
168;2021-01-06T12:38:08+01:00;null;null;null;-51.0;null;null
169;2021-01-06T12:38:09+01:00;null;null;null;-51.0;-60.0;null
170;2021-01-06T12:38:10+01:00;null;null;null;null;-60.0;-48.0
171;2021-01-06T12:38:11+01:00;null;null;null;null;-60.0;-48.0
172;2021-01-06T12:38:12+01:00;null;null;null;null;-60.0;-48.0
173;2021-01-06T12:38:13+01:00;null;null;null;null;-60.0;-48.0
174;2021-01-06T12:38:14+01:00;null;null;null;null;-60.0;-48.0
175;2021-01-06T12:38:15+01:00;null;null;null;null;null;-48.0
176;2021-01-06T12:38:16+01:00;null;null;null;null;null;null
177;2021-01-06T12:38:17+01:00;null;null;null;null;null;null
178;2021-01-06T12:38:18+01:00;null;null;null;null;null;null
179;2021-01-06T12:38:19+01:00;null;null;null;null;null;null
180;2021-01-06T12:38:20+01:00;null;null;null;null;null;null
181;2021-01-06T12:38:21+01:00;null;null;null;null;null;null
182;2021-01-06T12:38:22+01:00;null;null;null;null;null;null
183;2021-01-06T12:38:23+01:00;null;null;null;null;null;null
184;2021-01-06T12:38:24+01:00;-59.0;null;null;null;null;null
185;2021-01-06T12:38:25+01:00;-59.0;null;null;null;null;null
186;2021-01-06T12:38:26+01:00;-59.0;null;null;null;null;null
187;2021-01-06T12:38:27+01:00;-59.0;null;null;null;null;null
188;2021-01-06T12:38:28+01:00;-59.0;null;null;null;null;null
189;2021-01-06T12:38:29+01:00;-60.0;null;null;null;null;null
190;2021-01-06T12:38:30+01:00;-60.0;null;null;null;null;null
191;2021-01-06T12:38:31+01:00;-60.0;null;null;null;null;null
192;2021-01-06T12:38:32+01:00;-60.0;null;null;null;null;null
193;2021-01-06T12:38:33+01:00;-60.0;null;null;null;null;null
194;2021-01-06T12:38:34+01:00;-60.0;null;null;null;null;null
195;2021-01-06T12:38:35+01:00;null;null;null;null;null;null
196;2021-01-06T12:38:36+01:00;null;null;null;null;null;null
197;2021-01-06T12:38:37+01:00;null;null;null;null;null;null
198;2021-01-06T12:38:38+01:00;null;null;null;null;null;null
199;2021-01-06T12:38:39+01:00;null;null;null;null;null;null
200;2021-01-06T12:38:40+01:00;null;null;null;null;null;null
201;2021-01-06T12:38:41+01:00;null;null;null;null;null;null
202;2021-01-06T12:38:42+01:00;null;null;null;null;null;null
203;2021-01-06T12:38:43+01:00;null;null;null;null;null;null
204;2021-01-06T12:38:44+01:00;null;null;null;null;null;null
205;2021-01-06T12:38:45+01:00;null;null;null;null;null;null
206;2021-01-06T12:38:46+01:00;null;null;null;null;null;null
207;2021-01-06T12:38:47+01:00;null;null;null;null;null;null
208;2021-01-06T12:38:48+01:00;null;null;-57.0;null;null;null
209;2021-01-06T12:38:49+01:00;null;null;-57.0;null;null;null
210;2021-01-06T12:38:50+01:00;null;null;-57.0;null;null;null
211;2021-01-06T12:38:51+01:00;null;null;-57.0;null;null;null
212;2021-01-06T12:38:52+01:00;null;null;-57.0;null;null;null
213;2021-01-06T12:38:53+01:00;null;null;-57.0;null;null;null
214;2021-01-06T12:38:54+01:00;null;null;null;null;null;null
215;2021-01-06T12:38:55+01:00;null;-60.0;null;null;null;null
216;2021-01-06T12:38:56+01:00;null;-60.0;null;null;null;null
217;2021-01-06T12:38:57+01:00;null;-60.0;null;null;null;null
218;2021-01-06T12:38:58+01:00;null;-60.0;null;null;null;null
