#;approach;throughput;slice
178;Gómez et al.;null;QoS 1
179;Gómez et al.;null;QoS 1
180;Gómez et al.;null;QoS 1
181;Gómez et al.;null;QoS 1
182;Gómez et al.;null;QoS 1
183;Gómez et al.;null;QoS 1
184;Gómez et al.;null;QoS 1
185;Gómez et al.;null;QoS 1
186;Gómez et al.;null;QoS 1
187;Gómez et al.;null;QoS 1
188;Gómez et al.;null;QoS 1
189;Gómez et al.;null;QoS 1
190;Gómez et al.;null;QoS 1
191;Gómez et al.;null;QoS 1
192;Gómez et al.;null;QoS 1
193;Gómez et al.;null;QoS 1
194;Gómez et al.;null;QoS 1
195;Gómez et al.;null;QoS 1
196;Gómez et al.;null;QoS 1
197;Gómez et al.;null;QoS 1
198;Gómez et al.;null;QoS 1
199;Gómez et al.;null;QoS 1
200;Gómez et al.;null;QoS 1
201;Gómez et al.;null;QoS 1
202;Gómez et al.;null;QoS 1
203;Gómez et al.;null;QoS 1
204;Gómez et al.;null;QoS 1
205;Gómez et al.;null;QoS 1
206;Gómez et al.;null;QoS 1
207;Gómez et al.;null;QoS 1
208;Gómez et al.;null;QoS 1
209;Gómez et al.;null;QoS 1
210;Gómez et al.;null;QoS 1
211;Gómez et al.;null;QoS 1
212;Gómez et al.;null;QoS 1
213;Gómez et al.;null;QoS 1
214;Gómez et al.;null;QoS 1
215;Gómez et al.;null;QoS 1
216;Gómez et al.;null;QoS 1
217;Gómez et al.;null;QoS 1
218;Gómez et al.;null;QoS 1
219;Gómez et al.;null;QoS 1
220;Gómez et al.;null;QoS 1
221;Gómez et al.;null;QoS 1
222;Gómez et al.;null;QoS 1
223;Gómez et al.;null;QoS 1
224;Gómez et al.;null;QoS 1
225;Gómez et al.;null;QoS 1
226;Gómez et al.;null;QoS 1
227;Gómez et al.;null;QoS 1
228;Gómez et al.;null;QoS 1
229;Gómez et al.;null;QoS 1
230;Gómez et al.;null;QoS 1
231;Gómez et al.;null;QoS 1
232;Gómez et al.;null;QoS 1
233;Gómez et al.;null;QoS 1
234;Gómez et al.;null;QoS 1
235;Gómez et al.;null;QoS 1
236;Gómez et al.;0;QoS 1
237;Gómez et al.;0;QoS 1
238;Gómez et al.;0;QoS 1
239;Gómez et al.;null;QoS 1
240;Gómez et al.;6.9115839999999995;QoS 1
241;Gómez et al.;5.879616;QoS 1
242;Gómez et al.;5.8362560000000006;QoS 1
243;Gómez et al.;6.625408;QoS 1
244;Gómez et al.;6.148448;QoS 1
245;Gómez et al.;6.1744639999999995;QoS 1
246;Gómez et al.;null;QoS 1
247;Gómez et al.;6.694783999999999;QoS 1
248;Gómez et al.;6.3218879999999995;QoS 1
249;Gómez et al.;5.706176;QoS 1
250;Gómez et al.;null;QoS 1
251;Gómez et al.;6.217823999999999;QoS 1
252;Gómez et al.;6.009696;QoS 1
253;Gómez et al.;5.931648;QoS 1
254;Gómez et al.;5.740863999999999;QoS 1
255;Gómez et al.;5.55008;QoS 1
256;Gómez et al.;null;QoS 1
257;Gómez et al.;null;QoS 1
258;Gómez et al.;null;QoS 1
259;Gómez et al.;null;QoS 1
260;Gómez et al.;null;QoS 1
261;Gómez et al.;null;QoS 1
262;Gómez et al.;null;QoS 1
263;Gómez et al.;null;QoS 1
264;Gómez et al.;null;QoS 1
265;Gómez et al.;null;QoS 1
266;Gómez et al.;null;QoS 1
267;Gómez et al.;null;QoS 1
268;Gómez et al.;null;QoS 1
269;Gómez et al.;null;QoS 1
270;Gómez et al.;null;QoS 1
271;Gómez et al.;null;QoS 1
272;Gómez et al.;null;QoS 1
273;Gómez et al.;null;QoS 1
274;Gómez et al.;null;QoS 1
275;Gómez et al.;null;QoS 1
276;Gómez et al.;null;QoS 1
277;Gómez et al.;null;QoS 1
278;Gómez et al.;null;QoS 1
279;Gómez et al.;null;QoS 1
280;Gómez et al.;null;QoS 1
281;Gómez et al.;null;QoS 1
282;Gómez et al.;null;QoS 1
283;Gómez et al.;null;QoS 1
284;Gómez et al.;null;QoS 1
285;Gómez et al.;null;QoS 1
286;Gómez et al.;null;QoS 1
287;Gómez et al.;null;QoS 1
288;Gómez et al.;null;QoS 1
289;Gómez et al.;null;QoS 1
290;Gómez et al.;null;QoS 1
291;Gómez et al.;null;QoS 1
292;Gómez et al.;null;QoS 1
293;Gómez et al.;null;QoS 1
294;Gómez et al.;null;QoS 1
295;Gómez et al.;null;QoS 1
296;Gómez et al.;null;QoS 1
297;Gómez et al.;0;QoS 1
298;Gómez et al.;null;QoS 1
299;Gómez et al.;0.893216;QoS 1
300;Gómez et al.;null;QoS 1
301;Gómez et al.;6.018368000000001;QoS 1
302;Gómez et al.;1.04064;QoS 1
303;Gómez et al.;0.9365760000000001;QoS 1
304;Gómez et al.;1.188064;QoS 1
305;Gómez et al.;0.901888;QoS 1
306;Gómez et al.;null;QoS 1
307;Gómez et al.;1.014624;QoS 1
308;Gómez et al.;1.084;QoS 1
309;Gómez et al.;1.0579839999999998;QoS 1
310;Gómez et al.;0.95392;QoS 1
311;Gómez et al.;1.179392;QoS 1
312;Gómez et al.;1.066656;QoS 1
313;Gómez et al.;0.95392;QoS 1
314;Gómez et al.;1.222752;QoS 1
315;Gómez et al.;0.815168;QoS 1
316;Gómez et al.;null;QoS 1
317;Gómez et al.;null;QoS 1
318;Gómez et al.;null;QoS 1
319;Gómez et al.;null;QoS 1
320;Gómez et al.;null;QoS 1
321;Gómez et al.;null;QoS 1
322;Gómez et al.;null;QoS 1
323;Gómez et al.;null;QoS 1
324;Gómez et al.;null;QoS 1
325;Gómez et al.;null;QoS 1
