Time;Hour;0x00;0x01;0x02;BE 3;BE 4;0x03;QoS 1
1;2020-11-23T17:49:55+01:00;0.024;null;null;null;null;null;null
2;2020-11-23T17:49:56+01:00;0.026;null;null;null;null;null;null
3;2020-11-23T17:49:57+01:00;0.026;null;null;null;null;null;null
4;2020-11-23T17:49:58+01:00;0.026;null;null;null;null;null;null
5;2020-11-23T17:49:59+01:00;0.027;null;null;null;null;null;null
6;2020-11-23T17:50:00+01:00;null;null;null;null;null;null;null
7;2020-11-23T17:50:01+01:00;0.025;null;null;null;null;null;null
8;2020-11-23T17:50:02+01:00;0.023;null;null;null;null;null;null
9;2020-11-23T17:50:03+01:00;0.022;null;null;null;null;null;null
10;2020-11-23T17:50:04+01:00;0.023;null;null;null;null;null;null
11;2020-11-23T17:50:05+01:00;0.028;null;null;58.25;null;null;null
12;2020-11-23T17:50:06+01:00;0.023;null;null;308.942;301.019;null;null
13;2020-11-23T17:50:07+01:00;7.332;null;null;350.917;351.064;null;null
14;2020-11-23T17:50:08+01:00;11.985;null;null;350.531;350.568;null;null
15;2020-11-23T17:50:09+01:00;9.681;null;null;347.37;346.909;null;null
16;2020-11-23T17:50:10+01:00;14.73;null;null;347.721;null;null;null
17;2020-11-23T17:50:11+01:00;14.73;null;null;750.29;null;null;null
18;2020-11-23T17:50:12+01:00;164.45;null;null;431.374;null;null;null
19;2020-11-23T17:50:13+01:00;null;null;null;546.348;null;null;null
20;2020-11-23T17:50:14+01:00;439.378;null;null;1643.25;null;null;null
21;2020-11-23T17:50:15+01:00;318.022;null;null;2604.073;null;null;null
22;2020-11-23T17:50:16+01:00;339.515;null;null;3583.304;null;null;null
23;2020-11-23T17:50:17+01:00;307.93;null;null;4494.624;null;null;null
24;2020-11-23T17:50:18+01:00;307.93;null;null;5679.872;null;null;null
25;2020-11-23T17:50:19+01:00;null;null;null;6627.5380000000005;null;null;null
26;2020-11-23T17:50:20+01:00;339.079;null;null;null;null;null;null
27;2020-11-23T17:50:21+01:00;294.091;null;null;7379.178;null;null;null
28;2020-11-23T17:50:22+01:00;291.744;null;null;9322.059;null;null;null
29;2020-11-23T17:50:23+01:00;291.744;null;null;3857.2039999999997;null;null;null
30;2020-11-23T17:50:24+01:00;141.557;null;null;259.119;null;null;null
31;2020-11-23T17:50:25+01:00;17.12;null;null;272.63;null;null;null
32;2020-11-23T17:50:26+01:00;18.25;null;null;260.585;null;null;null
33;2020-11-23T17:50:27+01:00;18.68;null;null;null;null;null;null
34;2020-11-23T17:50:28+01:00;5.741;null;null;260.853;null;null;null
35;2020-11-23T17:50:29+01:00;21.201;null;null;256.555;null;null;null
36;2020-11-23T17:50:30+01:00;8.694;null;null;247.36;null;null;null
37;2020-11-23T17:50:31+01:00;null;null;null;300.343;null;null;null
38;2020-11-23T17:50:32+01:00;null;null;null;1237.054;null;null;null
39;2020-11-23T17:50:33+01:00;289.169;null;null;348.656;null;null;null
40;2020-11-23T17:50:34+01:00;10.041;null;null;172.871;null;null;null
41;2020-11-23T17:50:35+01:00;17.206;null;null;156.935;null;null;null
42;2020-11-23T17:50:36+01:00;0.516;null;null;116.632;null;null;null
43;2020-11-23T17:50:37+01:00;7.741;null;null;269.389;null;null;null
44;2020-11-23T17:50:38+01:00;0.64;null;null;514.614;null;null;null
45;2020-11-23T17:50:39+01:00;13.118;null;null;618.783;null;null;null
46;2020-11-23T17:50:40+01:00;0.58;null;null;null;null;null;null
47;2020-11-23T17:50:41+01:00;25.79;null;null;510.277;null;null;null
48;2020-11-23T17:50:42+01:00;16.238;null;null;525.95;null;null;null
49;2020-11-23T17:50:43+01:00;19.086;null;null;532.556;null;null;null
50;2020-11-23T17:50:44+01:00;31.794;null;null;493.124;null;null;null
51;2020-11-23T17:50:45+01:00;28.754;null;null;514.002;null;null;null
52;2020-11-23T17:50:46+01:00;46.076;null;null;510.87;null;null;null
53;2020-11-23T17:50:47+01:00;38.628;null;null;532.401;null;null;null
54;2020-11-23T17:50:48+01:00;12.685;null;null;548.813;null;null;null
55;2020-11-23T17:50:49+01:00;28.874;null;null;470.4;null;null;null
56;2020-11-23T17:50:50+01:00;19.726;null;null;70.831;null;null;null
57;2020-11-23T17:50:51+01:00;0.014;null;null;163.057;null;null;null
58;2020-11-23T17:50:52+01:00;67.521;null;null;null;null;null;null
59;2020-11-23T17:50:53+01:00;28.081;null;null;83.596;null;null;null
60;2020-11-23T17:50:54+01:00;null;null;null;177.348;636.456;null;null
61;2020-11-23T17:50:55+01:00;23.38;null;null;418.154;533.268;null;null
62;2020-11-23T17:50:56+01:00;20.715;null;null;445.984;513.217;null;null
63;2020-11-23T17:50:57+01:00;32.225;null;null;488.955;488.838;null;null
64;2020-11-23T17:50:58+01:00;25.276;null;null;477.414;477.278;null;null
65;2020-11-23T17:50:59+01:00;null;null;null;492.242;null;null;null
66;2020-11-23T17:51:00+01:00;23.132;null;null;491.891;492.52;null;null
67;2020-11-23T17:51:01+01:00;9.131;null;null;493.954;493.971;null;null
68;2020-11-23T17:51:02+01:00;17.281;null;null;476.684;476.342;null;null
69;2020-11-23T17:51:03+01:00;null;null;null;491.549;491.742;null;null
70;2020-11-23T17:51:04+01:00;22.325;null;null;486.263;486.463;null;null
71;2020-11-23T17:51:05+01:00;null;null;null;488.23;null;null;null
72;2020-11-23T17:51:06+01:00;13.327;null;null;504.42;504.904;null;null
73;2020-11-23T17:51:07+01:00;15.94;null;null;493.31;493.933;null;null
74;2020-11-23T17:51:08+01:00;11.709;null;null;null;null;null;null
75;2020-11-23T17:51:09+01:00;15.461;null;null;495.365;495.27;null;null
76;2020-11-23T17:51:10+01:00;17.964;null;null;483.017;null;null;null
77;2020-11-23T17:51:11+01:00;295.456;null;null;739.76;null;null;null
78;2020-11-23T17:51:12+01:00;555.522;null;null;1534.38;null;null;null
79;2020-11-23T17:51:13+01:00;555.522;null;null;1416.743;null;null;null
80;2020-11-23T17:51:14+01:00;126.981;null;null;927.154;null;null;null
81;2020-11-23T17:51:15+01:00;82.329;null;null;731.17;null;null;null
82;2020-11-23T17:51:16+01:00;46.715;null;null;694.87;null;null;null
83;2020-11-23T17:51:17+01:00;33.053;null;null;722.485;null;null;null
84;2020-11-23T17:51:18+01:00;32.669;null;null;702.628;null;null;null
85;2020-11-23T17:51:19+01:00;2.008;null;null;693.625;null;null;null
86;2020-11-23T17:51:20+01:00;23.467;null;null;721.845;null;null;null
87;2020-11-23T17:51:21+01:00;13.958;null;null;696.005;null;null;null
88;2020-11-23T17:51:22+01:00;24.433;null;null;688.438;null;null;null
89;2020-11-23T17:51:23+01:00;39.134;null;null;687.422;null;null;null
90;2020-11-23T17:51:24+01:00;42.356;null;null;719.582;null;null;null
91;2020-11-23T17:51:25+01:00;48.475;null;null;null;null;null;null
92;2020-11-23T17:51:26+01:00;53.176;null;null;740.07;null;null;null
93;2020-11-23T17:51:27+01:00;50.852;null;null;755.303;null;null;null
94;2020-11-23T17:51:28+01:00;7.903;null;null;740.777;null;null;null
95;2020-11-23T17:51:29+01:00;44.923;null;null;728.734;null;null;null
96;2020-11-23T17:51:30+01:00;3.388;null;null;683.563;null;null;null
97;2020-11-23T17:51:31+01:00;163.631;null;null;766.451;null;null;null
98;2020-11-23T17:51:32+01:00;593.496;null;null;1878.7179999999998;null;null;null
99;2020-11-23T17:51:33+01:00;142.413;null;null;2825.438;null;null;null
100;2020-11-23T17:51:34+01:00;142.413;null;null;4040.311;null;null;null
101;2020-11-23T17:51:35+01:00;79.035;null;null;2460.401;null;null;null
102;2020-11-23T17:51:36+01:00;0.683;null;null;1190.887;null;null;null
103;2020-11-23T17:51:37+01:00;59.668;null;null;1157.559;null;null;null
104;2020-11-23T17:51:38+01:00;null;null;null;1262.5430000000001;null;null;null
105;2020-11-23T17:51:39+01:00;null;null;null;1229.551;null;null;null
106;2020-11-23T17:51:40+01:00;76.251;null;null;null;null;null;null
107;2020-11-23T17:51:41+01:00;33.127;null;null;1220.035;null;null;null
108;2020-11-23T17:51:42+01:00;0.516;null;null;1256.995;null;null;null
109;2020-11-23T17:51:43+01:00;95.781;null;null;1261.436;null;null;null
110;2020-11-23T17:51:44+01:00;65.047;null;null;798.384;null;null;null
111;2020-11-23T17:51:45+01:00;25.31;null;null;216.901;null;null;null
112;2020-11-23T17:51:46+01:00;16.151;null;null;26.912;null;null;null
113;2020-11-23T17:51:47+01:00;0.041;null;null;0.055;null;null;null
114;2020-11-23T17:51:48+01:00;0.014;null;null;0.06;null;null;null
115;2020-11-23T17:51:49+01:00;0.017;null;null;0.076;null;null;null
116;2020-11-23T17:51:50+01:00;0.014;null;null;0.049;null;null;null
117;2020-11-23T17:51:51+01:00;0.014;null;null;163.633;null;null;null
118;2020-11-23T17:51:52+01:00;64.697;null;null;null;null;null;null
119;2020-11-23T17:51:53+01:00;21.773;null;null;124.114;null;null;null
120;2020-11-23T17:51:54+01:00;27.568;null;null;338.935;null;null;null
121;2020-11-23T17:51:55+01:00;27.219;null;null;378.372;null;null;null
122;2020-11-23T17:51:56+01:00;17.574;null;null;349.109;null;null;null
123;2020-11-23T17:51:57+01:00;26.863;null;null;331.291;null;null;null
124;2020-11-23T17:51:58+01:00;null;null;null;328.594;null;null;null
125;2020-11-23T17:51:59+01:00;null;null;null;359.686;null;null;null
