Time;Hour;STA 4;STA 3;STA 2;STA 1
0;4;0;0;0;0
1;5;0;0;0;0
2;6;0;0;0;0
3;7;0;0;0;0
4;8;0;0;0;0
5;9;0;0;0;0
6;10;0;0;0;0
7;11;0;0;0;0
8;12;0;0;0;0
9;13;0;0;0;0
10;14;0;0;0;0
11;15;0;0;0;0
12;2020-04-20T11:49:16+02:00;1;1;1;1
13;17;1;1;1;1
14;18;1;1;1;1
15;19;1;1;1;1
16;20;1;1;1;1
17;21;1;1;1;1
18;22;1;1;1;1
19;23;1;1;1;1
20;24;1;1;1;1
21;25;1;1;1;1
22;26;1;1;1;1
23;27;1;1;1;1
24;28;1;1;1;1
25;29;1;1;1;1
26;30;1;1;1;1
27;31;1;1;1;1
28;32;1;1;1;1
29;33;1;1;1;1
30;34;1;1;1;1
31;35;1;1;1;1
32;2020-04-20T11:49:36+02:00;0;0;0;1
33;37;0;0;0;1
34;38;0;0;0;1
35;39;0;0;0;1
36;40;0;0;0;1
37;41;0;0;0;1
38;42;0;0;0;1
39;43;0;0;0;1
40;44;0;0;0;1
41;45;0;0;0;1
42;46;0;0;0;1
43;47;0;0;0;1
44;48;0;0;0;1
45;49;0;0;0;1
46;50;0;0;0;1
47;51;0;0;0;1
48;52;0;0;0;1
49;53;0;0;0;1
50;54;0;0;0;1
51;55;0;0;0;1
52;2020-04-20T11:49:56+02:00;0;0;0;1
53;57;0;0;0;1
54;58;0;0;0;1
55;59;0;0;0;1
56;60;0;0;0;1
57;1;0;0;0;1
58;2;0;0;0;1
59;3;0;0;0;1
60;4;0;0;0;1
61;5;0;0;0;1
62;6;0;0;0;1
63;7;0;0;0;1
64;8;0;0;0;1
65;9;0;0;0;1
66;10;0;0;0;1
67;11;0;0;0;1
68;12;0;0;0;1
69;13;0;0;0;1
70;14;0;0;0;1
71;15;0;0;0;1
72;2020-04-20T11:50:16+02:00;1;1;0;1
73;17;1;1;0;1
74;18;1;1;0;1
75;19;1;1;0;1
76;20;1;1;0;1
77;21;1;1;0;1
78;22;1;1;0;1
79;23;1;1;0;1
80;24;1;1;0;1
81;25;1;1;0;1
82;26;1;1;0;1
83;27;1;1;0;1
84;28;1;1;0;1
85;29;1;1;0;1
86;30;1;1;0;1
87;31;1;1;0;1
88;32;1;1;0;1
89;33;1;1;0;1
90;34;1;1;0;1
91;2020-04-20T11:50:35+02:00;1;1;0;1
92;36;1;1;0;1
93;37;1;1;0;1
94;38;1;1;0;1
95;39;1;1;0;1
96;40;1;1;0;1
97;41;1;1;0;1
98;42;1;1;0;1
99;43;1;1;0;1
100;44;1;1;0;1
101;45;1;1;0;1
102;46;1;1;0;1
103;47;1;1;0;1
104;48;1;1;0;1
105;49;1;1;0;1
106;50;1;1;0;1
107;51;1;1;0;1
108;52;1;1;0;1
109;53;1;1;0;1
110;54;1;1;0;1
111;2020-04-20T11:50:55+02:00;1;1;0;1
112;56;1;1;0;1
113;57;1;1;0;1
114;58;1;1;0;1
115;59;1;1;0;1
116;60;1;1;0;1
117;1;1;1;0;1
118;2;1;1;0;1
119;3;1;1;0;1
120;4;1;1;0;1
121;5;1;1;0;1
122;6;1;1;0;1
123;7;1;1;0;1
124;8;1;1;0;1
125;9;1;1;0;1
126;10;1;1;0;1
127;11;1;1;0;1
128;12;1;1;0;1
129;13;1;1;0;1
130;14;1;1;0;1
131;2020-04-20T11:51:15+02:00;1;1;0;1
132;16;1;1;0;1
133;17;1;1;0;1
134;18;1;1;0;1
135;19;1;1;0;1
136;20;1;1;0;1
137;21;1;1;0;1
138;22;1;1;0;1
139;23;1;1;0;1
140;24;1;1;0;1
141;25;1;1;0;1
142;26;1;1;0;1
143;27;1;1;0;1
144;28;1;1;0;1
145;29;1;1;0;1
146;30;1;1;0;1
147;31;1;1;0;1
148;32;1;1;0;1
149;33;1;1;0;1
150;34;1;1;0;1
151;35;1;1;0;1
152;2020-04-20T11:51:36+02:00;0;0;1;1
153;37;0;0;1;1
154;38;0;0;1;1
155;39;0;0;1;1
156;40;0;0;1;1
157;41;0;0;1;1
158;42;0;0;1;1
159;43;0;0;1;1
160;44;0;0;1;1
161;45;0;0;1;1
162;46;0;0;1;1
163;47;0;0;1;1
164;48;0;0;1;1
165;49;0;0;1;1
166;50;0;0;1;1
167;51;0;0;1;1
168;52;0;0;1;1
169;53;0;0;1;1
170;54;0;0;1;1
171;2020-04-20T11:51:55+02:00;1;0;1;1
172;56;1;0;1;1
173;57;1;0;1;1
174;58;1;0;1;1
175;59;1;0;1;1
176;60;1;0;1;1
177;1;1;0;1;1
178;2;1;0;1;1
179;3;1;0;1;1
180;4;1;0;1;1
181;5;1;0;1;1
182;6;1;0;1;1
183;7;1;0;1;1
184;8;1;0;1;1
185;9;1;0;1;1
186;10;1;0;1;1
187;11;1;0;1;1
188;12;1;0;1;1
189;13;1;0;1;1
190;14;1;0;1;1
191;2020-04-20T11:52:15+02:00;0;0;1;1
192;16;0;0;1;1
193;17;0;0;1;1
194;18;0;0;1;1
195;19;0;0;1;1
196;20;0;0;1;1
197;21;0;0;1;1
198;22;0;0;1;1
199;23;0;0;1;1
200;24;0;0;1;1
201;25;0;0;1;1
202;26;0;0;1;1
203;27;0;0;1;1
204;28;0;0;1;1
205;29;0;0;1;1
206;30;0;0;1;1
207;31;0;0;1;1
208;32;0;0;1;1
209;33;0;0;1;1
210;34;0;0;1;1
211;2020-04-20T11:52:35+02:00;0;0;1;1
212;36;0;0;1;1
213;37;0;0;1;1
214;38;0;0;1;1
215;39;0;0;1;1
216;40;0;0;1;1
217;41;0;0;1;1
218;42;0;0;1;1
219;43;0;0;1;1
220;44;0;0;1;1
221;45;0;0;1;1
222;46;0;0;1;1
223;47;0;0;1;1
224;48;0;0;1;1
225;49;0;0;1;1
226;50;0;0;1;1
227;51;0;0;1;1
228;52;0;0;1;1
229;53;0;0;1;1
230;54;0;0;1;1
231;2020-04-20T11:52:55+02:00;0;0;1;1
232;56;0;0;1;1
233;57;0;0;1;1
234;58;0;0;1;1
235;59;0;0;1;1
236;60;0;0;1;1
237;1;0;0;1;1
238;2;0;0;1;1
239;3;0;0;1;1
240;4;0;0;1;1
241;5;0;0;1;1
242;6;0;0;1;1
243;7;0;0;1;1
244;8;0;0;1;1
245;9;0;0;1;1
246;10;0;0;1;1
247;11;0;0;1;1
248;12;0;0;1;1
249;13;0;0;1;1
250;14;0;0;1;1
251;2020-04-20T11:53:15+02:00;0;0;1;1
252;16;0;0;1;1
253;17;0;0;1;1
254;18;0;0;1;1
255;19;0;0;1;1
256;20;0;0;1;1
257;21;0;0;1;1
258;22;0;0;1;1
259;23;0;0;1;1
260;24;0;0;1;1
261;25;0;0;1;1
