Time;Hour;STA 6;STA 5;STA 4;STA 3;STA 2;STA 1
103;2020-11-09T19:08:58+01:00;1;0;0;0;0;0
104;2020-11-09T19:08:59+01:00;1;0;0;0;0;0
105;2020-11-09T19:09:00+01:00;1;0;0;0;0;0
106;2020-11-09T19:09:01+01:00;1;0;0;0;0;0
107;2020-11-09T19:09:02+01:00;1;0;0;0;0;0
108;2020-11-09T19:09:03+01:00;1;0;0;0;0;0
109;2020-11-09T19:09:04+01:00;1;0;0;0;0;0
110;2020-11-09T19:09:05+01:00;1;0;0;0;0;0
111;2020-11-09T19:09:06+01:00;1;0;0;0;0;0
112;2020-11-09T19:09:07+01:00;1;0;0;0;0;0
113;2020-11-09T19:09:08+01:00;1;0;0;0;0;0
114;2020-11-09T19:09:09+01:00;1;0;0;0;0;0
115;2020-11-09T19:09:10+01:00;1;0;0;0;0;0
116;2020-11-09T19:09:11+01:00;1;0;0;0;0;0
117;2020-11-09T19:09:12+01:00;1;0;0;0;0;0
118;2020-11-09T19:09:13+01:00;1;0;0;0;0;0
119;2020-11-09T19:09:14+01:00;1;0;0;0;0;0
120;2020-11-09T19:09:15+01:00;1;0;0;0;0;0
121;2020-11-09T19:09:16+01:00;1;0;0;0;0;0
122;2020-11-09T19:09:17+01:00;1;0;0;0;0;0
123;2020-11-09T19:09:18+01:00;1;0;0;0;0;0
124;2020-11-09T19:09:19+01:00;1;0;0;0;0;0
125;2020-11-09T19:09:20+01:00;1;0;0;0;0;0
126;2020-11-09T19:09:21+01:00;1;0;0;0;0;0
127;2020-11-09T19:09:22+01:00;1;0;0;0;0;0
128;2020-11-09T19:09:23+01:00;1;0;0;0;0;0
129;2020-11-09T19:09:24+01:00;1;0;0;0;0;0
130;2020-11-09T19:09:25+01:00;1;0;0;0;0;0
131;2020-11-09T19:09:26+01:00;1;0;0;0;0;0
132;2020-11-09T19:09:27+01:00;1;0;0;0;0;0
133;2020-11-09T19:09:28+01:00;1;0;0;0;0;0
134;2020-11-09T19:09:29+01:00;1;0;0;0;0;0
135;2020-11-09T19:09:30+01:00;1;0;0;0;0;0
136;2020-11-09T19:09:31+01:00;1;0;0;0;0;0
137;2020-11-09T19:09:32+01:00;1;0;0;0;0;0
138;2020-11-09T19:09:33+01:00;1;0;0;0;0;0
139;2020-11-09T19:09:34+01:00;1;0;0;0;0;0
140;2020-11-09T19:09:35+01:00;1;0;0;0;0;0
141;2020-11-09T19:09:36+01:00;1;0;0;0;0;0
142;2020-11-09T19:09:37+01:00;1;0;0;0;0;0
143;2020-11-09T19:09:38+01:00;1;0;0;0;0;0
144;2020-11-09T19:09:39+01:00;1;0;0;0;0;0
145;2020-11-09T19:09:40+01:00;1;0;0;0;0;0
146;2020-11-09T19:09:41+01:00;1;0;0;0;0;0
147;2020-11-09T19:09:42+01:00;1;0;0;0;0;0
148;2020-11-09T19:09:43+01:00;1;0;0;0;0;0
149;2020-11-09T19:09:44+01:00;1;0;0;0;0;0
150;2020-11-09T19:09:45+01:00;1;0;0;0;0;0
151;2020-11-09T19:09:46+01:00;1;0;0;0;0;0
152;2020-11-09T19:09:47+01:00;1;0;0;0;0;0
153;2020-11-09T19:09:48+01:00;1;0;0;0;0;0
154;2020-11-09T19:09:49+01:00;1;0;0;0;0;0
155;2020-11-09T19:09:50+01:00;1;0;0;0;0;0
156;2020-11-09T19:09:51+01:00;1;0;0;0;0;0
157;2020-11-09T19:09:52+01:00;1;0;0;0;0;0
158;2020-11-09T19:09:53+01:00;1;0;0;0;0;0
159;2020-11-09T19:09:54+01:00;1;0;0;0;0;0
160;2020-11-09T19:09:55+01:00;1;0;0;0;0;0
161;2020-11-09T19:09:56+01:00;1;0;0;0;0;0
162;2020-11-09T19:09:57+01:00;1;0;0;0;0;0
163;2020-11-09T19:09:58+01:00;1;0;0;0;0;0
164;2020-11-09T19:09:59+01:00;1;0;0;0;0;0
165;2020-11-09T19:10:00+01:00;1;0;0;0;0;0
166;2020-11-09T19:10:01+01:00;1;0;0;0;0;0
167;2020-11-09T19:10:02+01:00;1;0;0;0;0;0
168;2020-11-09T19:10:03+01:00;1;0;0;0;0;0
169;2020-11-09T19:10:04+01:00;1;0;0;0;0;0
170;2020-11-09T19:10:05+01:00;1;0;0;0;0;0
171;2020-11-09T19:10:06+01:00;1;0;0;0;0;0
172;2020-11-09T19:10:07+01:00;1;0;0;0;0;0
173;2020-11-09T19:10:08+01:00;1;0;0;0;0;0
174;2020-11-09T19:10:09+01:00;1;0;0;0;0;0
175;2020-11-09T19:10:10+01:00;1;0;0;0;0;0
176;2020-11-09T19:10:11+01:00;1;0;0;0;0;0
177;2020-11-09T19:10:12+01:00;1;0;0;0;0;0
178;2020-11-09T19:10:13+01:00;1;0;0;0;0;0
179;2020-11-09T19:10:14+01:00;1;0;0;0;0;0
180;2020-11-09T19:10:15+01:00;1;0;0;0;0;0
181;2020-11-09T19:10:16+01:00;1;0;0;0;0;0
182;2020-11-09T19:10:17+01:00;1;0;0;0;0;0
183;2020-11-09T19:10:18+01:00;1;0;0;0;0;0
184;2020-11-09T19:10:19+01:00;1;0;0;0;0;0
185;2020-11-09T19:10:20+01:00;1;0;0;0;0;0
186;2020-11-09T19:10:21+01:00;1;0;0;0;0;0
187;2020-11-09T19:10:22+01:00;1;0;0;0;0;0
188;2020-11-09T19:10:23+01:00;1;0;0;0;0;0
189;2020-11-09T19:10:24+01:00;1;0;0;0;0;0
190;2020-11-09T19:10:25+01:00;1;0;0;0;0;0
191;2020-11-09T19:10:26+01:00;1;0;0;0;0;0
192;2020-11-09T19:10:27+01:00;1;0;0;0;0;0
193;2020-11-09T19:10:28+01:00;1;0;0;0;0;0
194;2020-11-09T19:10:29+01:00;1;0;0;0;0;0
195;2020-11-09T19:10:30+01:00;1;0;0;0;0;0
196;2020-11-09T19:10:31+01:00;1;0;0;0;0;0
197;2020-11-09T19:10:32+01:00;1;0;0;0;0;0
198;2020-11-09T19:10:33+01:00;1;0;0;0;0;0
199;2020-11-09T19:10:34+01:00;1;0;0;0;0;0
200;2020-11-09T19:10:35+01:00;1;0;0;0;0;0
201;2020-11-09T19:10:36+01:00;1;0;0;0;0;0
202;2020-11-09T19:10:37+01:00;1;0;0;0;0;0
203;2020-11-09T19:10:38+01:00;1;0;0;0;0;0
204;2020-11-09T19:10:39+01:00;1;0;0;0;0;0
205;2020-11-09T19:10:40+01:00;1;0;0;0;0;0
206;2020-11-09T19:10:41+01:00;1;0;0;0;0;0
207;2020-11-09T19:10:42+01:00;1;0;0;0;0;0
208;2020-11-09T19:10:43+01:00;1;0;0;0;0;0
209;2020-11-09T19:10:44+01:00;1;0;0;0;0;0
210;2020-11-09T19:10:45+01:00;1;0;0;0;0;0
211;2020-11-09T19:10:46+01:00;1;0;0;0;0;0
212;2020-11-09T19:10:47+01:00;1;0;0;0;0;0
213;2020-11-09T19:10:48+01:00;1;0;0;0;0;0
214;2020-11-09T19:10:49+01:00;1;0;0;0;0;0
215;2020-11-09T19:10:50+01:00;1;0;0;0;0;0
216;2020-11-09T19:10:51+01:00;1;0;0;0;0;0
217;2020-11-09T19:10:52+01:00;1;0;0;0;0;0
218;2020-11-09T19:10:53+01:00;1;0;0;0;0;0
219;2020-11-09T19:10:54+01:00;1;0;0;0;0;0
220;2020-11-09T19:10:55+01:00;1;0;0;0;0;0
221;2020-11-09T19:10:56+01:00;1;0;0;0;0;0
222;2020-11-09T19:10:57+01:00;1;0;0;0;0;0
223;2020-11-09T19:10:58+01:00;1;0;0;0;0;0
224;2020-11-09T19:10:59+01:00;1;0;0;0;0;0
225;2020-11-09T19:11:00+01:00;1;0;0;0;0;0
226;2020-11-09T19:11:01+01:00;1;0;0;0;0;0
227;2020-11-09T19:11:02+01:00;1;0;0;0;0;0
228;2020-11-09T19:11:03+01:00;1;0;0;0;0;0
229;2020-11-09T19:11:04+01:00;1;0;0;0;0;0
230;2020-11-09T19:11:05+01:00;1;0;0;0;0;0
231;2020-11-09T19:11:06+01:00;1;0;0;0;0;0
232;2020-11-09T19:11:07+01:00;1;0;0;0;0;0
233;2020-11-09T19:11:08+01:00;1;0;0;0;0;0
234;2020-11-09T19:11:09+01:00;1;0;0;0;0;0
235;2020-11-09T19:11:10+01:00;1;0;0;0;0;0
236;2020-11-09T19:11:11+01:00;1;0;0;0;0;0
237;2020-11-09T19:11:12+01:00;1;0;0;0;0;0
238;2020-11-09T19:11:13+01:00;1;0;0;0;0;0
239;2020-11-09T19:11:14+01:00;1;0;0;0;0;0
240;2020-11-09T19:11:15+01:00;1;0;0;0;0;0
241;2020-11-09T19:11:16+01:00;1;0;0;0;0;0
242;2020-11-09T19:11:17+01:00;1;0;0;0;0;0
243;2020-11-09T19:11:18+01:00;1;0;0;0;0;0
244;2020-11-09T19:11:19+01:00;1;0;0;0;0;0
245;2020-11-09T19:11:20+01:00;1;0;0;0;0;0
246;2020-11-09T19:11:21+01:00;1;0;0;0;0;0
247;2020-11-09T19:11:22+01:00;1;0;0;0;0;0
248;2020-11-09T19:11:23+01:00;1;0;0;0;0;0
249;2020-11-09T19:11:24+01:00;1;0;0;0;0;0
250;2020-11-09T19:11:25+01:00;1;0;0;0;0;0
251;2020-11-09T19:11:26+01:00;1;0;0;0;0;0
252;2020-11-09T19:11:27+01:00;1;0;0;0;0;0
253;2020-11-09T19:11:28+01:00;1;0;0;0;0;0
254;2020-11-09T19:11:29+01:00;1;0;0;0;0;0
255;2020-11-09T19:11:30+01:00;1;0;0;0;0;0
256;2020-11-09T19:11:31+01:00;1;0;0;0;0;0
257;2020-11-09T19:11:32+01:00;1;0;0;0;0;0
258;2020-11-09T19:11:33+01:00;1;0;0;0;0;0
259;2020-11-09T19:11:34+01:00;1;0;0;0;0;0
260;2020-11-09T19:11:35+01:00;1;0;0;0;0;0
261;2020-11-09T19:11:36+01:00;1;0;0;0;0;0
262;2020-11-09T19:11:37+01:00;1;0;0;0;0;0
263;2020-11-09T19:11:38+01:00;1;0;0;0;0;0
264;2020-11-09T19:11:39+01:00;1;0;0;0;0;0
265;2020-11-09T19:11:40+01:00;1;0;0;0;0;0
