Time,Hour,STA 6,STA 5,STA 4,STA 3,STA 2,STA 1
90,2020-11-09T19:08:45+01:00,0,1,0,0,1,1
91,2020-11-09T19:08:46+01:00,0,1,0,0,1,1
92,2020-11-09T19:08:47+01:00,0,1,0,0,1,1
93,2020-11-09T19:08:48+01:00,0,1,0,0,1,1
94,2020-11-09T19:08:49+01:00,0,1,0,0,1,1
95,2020-11-09T19:08:50+01:00,0,1,0,0,1,1
96,2020-11-09T19:08:51+01:00,0,1,0,0,1,1
97,2020-11-09T19:08:52+01:00,0,1,0,0,1,1
98,2020-11-09T19:08:53+01:00,0,1,0,0,1,1
99,2020-11-09T19:08:54+01:00,0,1,0,0,1,1
100,2020-11-09T19:08:55+01:00,0,1,0,0,1,1
101,2020-11-09T19:08:56+01:00,0,1,0,0,1,1
102,2020-11-09T19:08:57+01:00,0,1,0,0,1,1
103,2020-11-09T19:08:58+01:00,0,1,0,0,1,1
104,2020-11-09T19:08:59+01:00,0,1,0,0,1,1
105,2020-11-09T19:09:00+01:00,0,1,0,0,1,1
106,2020-11-09T19:09:01+01:00,0,1,0,0,1,1
107,2020-11-09T19:09:02+01:00,0,1,0,0,1,1
108,2020-11-09T19:09:03+01:00,0,1,0,0,1,1
109,2020-11-09T19:09:04+01:00,0,1,0,0,1,1
110,2020-11-09T19:09:05+01:00,0,1,0,0,1,1
111,2020-11-09T19:09:06+01:00,0,1,0,0,1,1
112,2020-11-09T19:09:07+01:00,0,1,0,0,1,1
113,2020-11-09T19:09:08+01:00,0,1,0,0,1,1
114,2020-11-09T19:09:09+01:00,0,1,0,0,1,1
115,2020-11-09T19:09:10+01:00,0,1,0,0,1,1
116,2020-11-09T19:09:11+01:00,0,1,0,0,1,1
117,2020-11-09T19:09:12+01:00,0,1,0,0,1,1
118,2020-11-09T19:09:13+01:00,0,1,0,0,1,1
119,2020-11-09T19:09:14+01:00,0,1,0,0,1,1
120,2020-11-09T19:09:15+01:00,0,1,0,0,1,1
121,2020-11-09T19:09:16+01:00,0,1,0,0,1,1
122,2020-11-09T19:09:17+01:00,0,1,0,0,1,1
123,2020-11-09T19:09:18+01:00,0,1,0,0,1,1
124,2020-11-09T19:09:19+01:00,0,1,0,0,1,1
125,2020-11-09T19:09:20+01:00,0,1,0,0,1,1
126,2020-11-09T19:09:21+01:00,0,1,0,0,1,1
127,2020-11-09T19:09:22+01:00,0,1,0,0,1,1
128,2020-11-09T19:09:23+01:00,0,1,0,0,1,1
129,2020-11-09T19:09:24+01:00,0,1,0,0,1,1
130,2020-11-09T19:09:25+01:00,0,1,0,0,1,1
131,2020-11-09T19:09:26+01:00,0,1,0,0,1,1
132,2020-11-09T19:09:27+01:00,0,1,0,0,1,1
133,2020-11-09T19:09:28+01:00,0,1,0,0,1,1
134,2020-11-09T19:09:29+01:00,0,1,0,0,1,1
135,2020-11-09T19:09:30+01:00,0,1,0,0,1,1
136,2020-11-09T19:09:31+01:00,0,1,0,0,1,1
137,2020-11-09T19:09:32+01:00,0,1,0,0,1,1
138,2020-11-09T19:09:33+01:00,0,1,0,0,1,1
139,2020-11-09T19:09:34+01:00,0,1,0,0,1,1
140,2020-11-09T19:09:35+01:00,0,1,0,0,1,1
141,2020-11-09T19:09:36+01:00,0,1,0,0,1,1
142,2020-11-09T19:09:37+01:00,0,1,0,0,1,1
143,2020-11-09T19:09:38+01:00,0,1,0,0,1,1
144,2020-11-09T19:09:39+01:00,0,1,0,0,1,1
145,2020-11-09T19:09:40+01:00,0,1,0,0,1,1
146,2020-11-09T19:09:41+01:00,0,1,0,0,1,1
147,2020-11-09T19:09:42+01:00,0,1,0,0,1,1
148,2020-11-09T19:09:43+01:00,0,1,0,0,1,1
149,2020-11-09T19:09:44+01:00,0,1,0,0,1,1
150,2020-11-09T19:09:45+01:00,0,1,0,0,1,1
151,2020-11-09T19:09:46+01:00,0,1,0,0,1,1
152,2020-11-09T19:09:47+01:00,0,1,0,0,1,1
153,2020-11-09T19:09:48+01:00,0,1,0,0,1,1
154,2020-11-09T19:09:49+01:00,0,1,0,0,1,1
155,2020-11-09T19:09:50+01:00,0,1,0,0,1,1
156,2020-11-09T19:09:51+01:00,0,1,0,0,1,1
157,2020-11-09T19:09:52+01:00,0,1,0,0,1,1
158,2020-11-09T19:09:53+01:00,0,1,0,0,1,1
159,2020-11-09T19:09:54+01:00,0,1,0,0,1,1
160,2020-11-09T19:09:55+01:00,0,1,0,0,1,1
161,2020-11-09T19:09:56+01:00,0,1,0,0,1,1
162,2020-11-09T19:09:57+01:00,0,1,0,0,1,1
163,2020-11-09T19:09:58+01:00,0,1,0,0,1,1
164,2020-11-09T19:09:59+01:00,0,1,0,0,1,1
165,2020-11-09T19:10:00+01:00,0,1,0,0,1,1
166,2020-11-09T19:10:01+01:00,0,1,0,0,1,1
167,2020-11-09T19:10:02+01:00,0,1,0,0,1,1
168,2020-11-09T19:10:03+01:00,0,1,0,0,1,1
169,2020-11-09T19:10:04+01:00,0,1,0,0,1,1
170,2020-11-09T19:10:05+01:00,0,1,0,0,1,1
171,2020-11-09T19:10:06+01:00,0,1,0,0,1,1
