Time;Hour;STA 4;STA 3;STA 2;STA 1
1;2020-06-28T16:59:07+02:00;1;1;1;1
2;2020-06-28T16:59:08+02:00;1;1;1;1
3;2020-06-28T16:59:09+02:00;1;1;1;1
4;2020-06-28T16:59:10+02:00;1;1;1;1
5;2020-06-28T16:59:11+02:00;1;1;1;1
6;2020-06-28T16:59:12+02:00;1;1;1;1
7;2020-06-28T16:59:13+02:00;1;1;1;1
8;2020-06-28T16:59:14+02:00;1;1;1;1
9;2020-06-28T16:59:15+02:00;1;1;1;1
10;2020-06-28T16:59:16+02:00;1;1;1;1
11;2020-06-28T16:59:17+02:00;0;0;0;1
12;2020-06-28T16:59:18+02:00;0;0;0;1
13;2020-06-28T16:59:19+02:00;0;0;0;1
14;2020-06-28T16:59:20+02:00;0;0;0;1
15;2020-06-28T16:59:21+02:00;0;0;0;1
16;2020-06-28T16:59:22+02:00;0;0;0;1
17;2020-06-28T16:59:23+02:00;0;0;0;1
18;2020-06-28T16:59:24+02:00;0;0;0;1
19;2020-06-28T16:59:25+02:00;0;0;0;1
20;2020-06-28T16:59:26+02:00;0;0;0;1
21;2020-06-28T16:59:27+02:00;0;0;0;1
22;2020-06-28T16:59:28+02:00;0;0;0;1
23;2020-06-28T16:59:29+02:00;0;0;0;1
24;2020-06-28T16:59:30+02:00;0;0;0;1
25;2020-06-28T16:59:31+02:00;0;0;0;1
26;2020-06-28T16:59:32+02:00;0;0;0;1
27;2020-06-28T16:59:33+02:00;0;0;0;1
28;2020-06-28T16:59:34+02:00;0;0;0;1
29;2020-06-28T16:59:35+02:00;0;0;0;1
30;2020-06-28T16:59:36+02:00;0;0;0;1
31;2020-06-28T16:59:37+02:00;0;0;0;1
32;2020-06-28T16:59:38+02:00;0;0;0;1
33;2020-06-28T16:59:39+02:00;0;0;0;1
34;2020-06-28T16:59:40+02:00;0;0;0;1
35;2020-06-28T16:59:41+02:00;0;0;0;1
36;2020-06-28T16:59:42+02:00;0;0;0;1
37;2020-06-28T16:59:43+02:00;0;0;0;1
38;2020-06-28T16:59:44+02:00;0;0;0;1
39;2020-06-28T16:59:45+02:00;0;0;0;1
40;2020-06-28T16:59:46+02:00;0;0;0;1
41;2020-06-28T16:59:47+02:00;0;0;0;1
42;2020-06-28T16:59:48+02:00;0;0;0;1
43;2020-06-28T16:59:49+02:00;0;0;0;1
44;2020-06-28T16:59:50+02:00;0;0;0;1
45;2020-06-28T16:59:51+02:00;0;0;0;1
46;2020-06-28T16:59:52+02:00;0;0;0;1
47;2020-06-28T16:59:53+02:00;0;0;0;1
