sep=;
"Time";"00:0D:B9:42:6A:00";"00:0D:B9:42:72:08"
"2020-06-28T17:00:54+02:00";0;0.0005444666666666667
"2020-06-28T17:00:55+02:00";0.0003572888888888889;0
"2020-06-28T17:00:56+02:00";0;0
"2020-06-28T17:00:57+02:00";0;0
"2020-06-28T17:00:58+02:00";0;0.0005180222222222223
"2020-06-28T17:00:59+02:00";0.0003660888888888889;0
"2020-06-28T17:01:00+02:00";0;0
"2020-06-28T17:01:01+02:00";0;0
"2020-06-28T17:01:02+02:00";0;0.0005372555555555556
"2020-06-28T17:01:03+02:00";0.00038133333333333335;0
"2020-06-28T17:01:04+02:00";0;0
"2020-06-28T17:01:05+02:00";0;0
"2020-06-28T17:01:06+02:00";0;0.0005148555555555556
"2020-06-28T17:01:07+02:00";0.0003780777777777778;0
"2020-06-28T17:01:08+02:00";0;0
"2020-06-28T17:01:09+02:00";0;0
"2020-06-28T17:01:10+02:00";0;0.0005305
"2020-06-28T17:01:11+02:00";0.00040651111111111106;0
"2020-06-28T17:01:12+02:00";0;0
"2020-06-28T17:01:13+02:00";0;0
"2020-06-28T17:01:14+02:00";0;0.0005382
"2020-06-28T17:01:15+02:00";0.0005224111111111111;0
"2020-06-28T17:01:16+02:00";0;0
"2020-06-28T17:01:17+02:00";0;0
"2020-06-28T17:01:18+02:00";0;0.0005180111111111111
"2020-06-28T17:01:19+02:00";0.0010460444444444442;0
"2020-06-28T17:01:20+02:00";0;0
"2020-06-28T17:01:21+02:00";0;0
"2020-06-28T17:01:22+02:00";0;0.0010996222222222221
"2020-06-28T17:01:23+02:00";0.00017458888888888892;0
"2020-06-28T17:01:24+02:00";0;0
"2020-06-28T17:01:25+02:00";0;0
"2020-06-28T17:01:26+02:00";0;0.0004042333333333333
"2020-06-28T17:01:27+02:00";0.0001899777777777778;0
"2020-06-28T17:01:28+02:00";0;0
"2020-06-28T17:01:29+02:00";0;0
"2020-06-28T17:01:30+02:00";0;0.0004575888888888889
"2020-06-28T17:01:31+02:00";0.0004096444444444445;0
"2020-06-28T17:01:32+02:00";0;0
"2020-06-28T17:01:33+02:00";0;0
"2020-06-28T17:01:34+02:00";0;0.00044995555555555554
"2020-06-28T17:01:35+02:00";0.00030074444444444444;0
"2020-06-28T17:01:36+02:00";0;0
"2020-06-28T17:01:37+02:00";0;0
"2020-06-28T17:01:38+02:00";0;0.00042944444444444437
"2020-06-28T17:01:39+02:00";0.00021701111111111114;0
"2020-06-28T17:01:40+02:00";0;0
"2020-06-28T17:01:41+02:00";0;0
"2020-06-28T17:01:42+02:00";0;0.00044864444444444446
"2020-06-28T17:01:43+02:00";0.00021941111111111107;0
"2020-06-28T17:01:44+02:00";0;0
"2020-06-28T17:01:45+02:00";0;0
"2020-06-28T17:01:46+02:00";0;0.00043245555555555554
"2020-06-28T17:01:47+02:00";0.00021034444444444444;0
"2020-06-28T17:01:48+02:00";0;0
"2020-06-28T17:01:49+02:00";0;0
"2020-06-28T17:01:50+02:00";0;0.0004916777777777778
"2020-06-28T17:01:51+02:00";0.00036147777777777775;0
"2020-06-28T17:01:52+02:00";0;0
"2020-06-28T17:01:53+02:00";0;0
"2020-06-28T17:01:54+02:00";0;0.0006166666666666666
"2020-06-28T17:01:55+02:00";0.0005169888888888888;0
"2020-06-28T17:01:56+02:00";0;0
"2020-06-28T17:01:57+02:00";0;0
"2020-06-28T17:01:58+02:00";0;0.0006187888888888889
"2020-06-28T17:01:59+02:00";0.0005180555555555555;0
"2020-06-28T17:02:00+02:00";0;0
"2020-06-28T17:02:01+02:00";0;0
"2020-06-28T17:02:02+02:00";0;0.0006179555555555554
"2020-06-28T17:02:03+02:00";0.0005148333333333334;0
"2020-06-28T17:02:04+02:00";0;0
"2020-06-28T17:02:05+02:00";0;0
"2020-06-28T17:02:06+02:00";0;0.0006152
"2020-06-28T17:02:07+02:00";0.0011863222222222222;0
"2020-06-28T17:02:08+02:00";0;0
"2020-06-28T17:02:09+02:00";0;0
"2020-06-28T17:02:10+02:00";0;0.0012629
"2020-06-28T17:02:11+02:00";0.0005162333333333334;0
"2020-06-28T17:02:12+02:00";0;0
"2020-06-28T17:02:13+02:00";0;0
