Time;QoS 1;BE 1;BE 2;BE 3;QoS 2;;;;;;
119;0.144;0;565.326;45.652;;;;;;;
120;0.124;0;513.31;32.813;;;;;;;
121;0.111;0;565.698;961.028;;;;;;;
122;0.098;31.593;589.881;178.316;;;;;;;
123;0.112;445.883;577.357;437.289;;;;;;;
124;0.116;624.126;647.887;874.388;;;;;;;
125;0.101;566.83;524.62;483.406;;;;;;;
126;0.094;609.388;558.539;303.389;;;;;;;
127;0.103;529.791;556.815;183.95;;;;;;;
128;0.099;559.514;551.611;205.94;;;;;;;
129;0.123;539.498;594.67;903.892;;;;;;;
130;0.099;601.072;530.289;865.329;;;;;;;
131;0.095;535.324;45.775;780.051;;;;;;;
132;0.102;561.671;689.862;790.263;;;;;;;
133;0.089;518.057;262.206;936.757;;;;;;;
134;0.102;550.292;45.28;24.213;;;;;;;
135;0.091;554.558;815.062;135.928;;;;;;;
136;0.096;513.26;213.444;998.995;;;;;;;
137;0.101;562.144;182.568;338.368;;;;;;;
138;0.087;549.632;757.908;277.065;;;;;;;
139;0.099;586.598;573.104;153.073;;;;;;;
140;0.104;603.667;580.911;101.774;;;;;;;
141;0.108;583.963;529.103;297.424;;;;;;;
142;0.092;585.125;543.706;53.313;;;;;;;
143;0.104;586.632;540.201;733.637;;;;;;;
144;0.097;548.811;532.965;886.284;;;;;;;
145;0.097;532.334;568.887;122.864;;;;;;;
146;0.1;525.466;528.335;876.773;;;;;;;
147;0.101;526.966;545.947;984.826;;;;;;;
148;0.123;534.594;540.679;865.73;;;;;;;
149;0.1;553.297;564.871;908.211;;;;;;;
150;0.097;565.743;515.577;924.245;;;;;;;
151;0.091;512.676;563.472;210.062;;;;;;;
152;2.919;565.049;510.673;341.424;;;;;;;
153;13.853;589.245;569.445;986.855;;;;;;;
154;13.003;577.956;523.921;880.306;;;;;;;
155;12.959;648.016;548.043;737.666;;;;;;;
156;15.063;525.21;543.77;439.149;;;;;;;
157;11.351;558.389;557.85;368.357;;;;;;;
158;14.562;555.989;508.426;400.932;;;;;;;
159;12.239;551.888;626.839;519.391;;;;;;;
160;12.296;594.113;538.182;453.456;;;;;;;
161;10.193;529.663;503.571;437.186;;;;;;;
162;11.751;46.032;566.828;566.434;;;;;;;
163;11.685;688.422;538.909;984.555;;;;;;;
164;12.03;266.681;568.153;383.315;;;;;;;
165;11.393;47.45;542.149;392.202;;;;;;;
166;13.282;811.893;583.393;741.853;;;;;;;
167;14.241;210.135;599.188;903.166;;;;;;;
168;12.361;182.854;594.463;525.933;;;;;;;
169;12.575;761.421;532.82;10.141;;;;;;;
170;15.189;573.304;529.505;949.315;;;;;;;
171;13.418;581.609;522.306;183.392;;;;;;;
172;13.304;532.306;576.769;22.077;;;;;;;
173;14.874;543.455;579.728;30.701;;;;;;;
174;12.171;539.091;545.818;916.607;;;;;;;
175;11.683;532.575;486.58;368.543;;;;;;;
176;11.174;569.339;518.11;948.655;;;;;;;
177;11.433;528.491;542.266;994.602;;;;;;;
178;13.341;545.34;565.525;840.8;;;;;;;
179;12.415;540.732;618.306;21.704;;;;;;;
180;12.047;564.878;518.367;712.289;;;;;;;
181;11.032;516.111;570.385;904.482;;;;;;;
182;13.628;563.612;534.293;314.175;;;;;;;
183;14.806;511.092;539.965;536.484;;;;;;;
184;13.471;569.91;578.399;379.684;;;;;;;
185;14.023;523.962;556.665;786.534;;;;;;;
186;11.32;547.703;518.746;750.279;;;;;;;
187;12.561;543.639;522.575;140.863;;;;;;;
188;13.704;557.455;546.655;740.391;;;;;;;
189;13.281;508.455;573.783;995.791;;;;;;;
190;13.372;626.589;550.305;773.597;;;;;;;
191;16.685;538.153;29.775;754.149;;;;;;;
