Time;Hour;0x00;QoS 1;BE 1;BE 2;BE 3;QoS 2
1;2020-06-28T16:59:07+02:00;0.521;0;0;0;0;0
2;2020-06-28T16:59:08+02:00;0.493;0;0;0;0;0
3;2020-06-28T16:59:09+02:00;0.552;0;0;0;0;0
4;2020-06-28T16:59:10+02:00;0.552;0;0;0;0;0
5;2020-06-28T16:59:11+02:00;0.553;0;0;0;0;0
6;2020-06-28T16:59:12+02:00;0.537;0;0;0;0;0
7;2020-06-28T16:59:13+02:00;0.554;0;0;0;0;0
8;2020-06-28T16:59:14+02:00;0.57;0;0;0;0;0
9;2020-06-28T16:59:15+02:00;0.556;0;0;0;0;0
10;2020-06-28T16:59:16+02:00;0.62;0;0;0;0;0
11;2020-06-28T16:59:17+02:00;0.52;0.096;0;0;0;0
12;2020-06-28T16:59:18+02:00;0.421;0.099;0;0;0;0
13;2020-06-28T16:59:19+02:00;0.129;0.094;0;0;0;0
14;2020-06-28T16:59:20+02:00;0.129;0.096;0;0;0;0
15;2020-06-28T16:59:21+02:00;0.125;0.106;0;0;0;0
16;2020-06-28T16:59:22+02:00;0.215;0.094;0;0;0;0
17;2020-06-28T16:59:23+02:00;0.114;0.098;0;0;0;0
18;2020-06-28T16:59:24+02:00;0.13;0.102;0;0;0;0
19;2020-06-28T16:59:25+02:00;0.115;0.102;0;0;0;0
20;2020-06-28T16:59:26+02:00;0.102;0.093;0;0;0;0
21;2020-06-28T16:59:27+02:00;0.096;0.102;0;0;0;0
22;2020-06-28T16:59:28+02:00;0.11;0.105;0;0;0;0
23;2020-06-28T16:59:29+02:00;0.18;0.103;0;0;0;0
24;2020-06-28T16:59:30+02:00;0.18;0.093;0;0;0;0
25;2020-06-28T16:59:31+02:00;0.09;0.095;0;0;0;0
26;2020-06-28T16:59:32+02:00;0.107;0.092;0;0;0;0
27;2020-06-28T16:59:33+02:00;0.112;0.093;0;0;0;0
28;2020-06-28T16:59:34+02:00;0.105;0.099;0;0;0;0
29;2020-06-28T16:59:35+02:00;0.105;0.114;0;0;0;0
30;2020-06-28T16:59:36+02:00;0.117;0.1;0;0;0;0
31;2020-06-28T16:59:37+02:00;0.102;0.11;0;0;0;0
32;2020-06-28T16:59:38+02:00;0.104;0.097;0;0;0;0
33;2020-06-28T16:59:39+02:00;0.104;0.102;0;0;0;0
34;2020-06-28T16:59:40+02:00;0.125;0.096;0;0;0;0
35;2020-06-28T16:59:41+02:00;0.097;0.11;0;0;0;0
36;2020-06-28T16:59:42+02:00;0.108;0.096;0;0;0;0
37;2020-06-28T16:59:43+02:00;0.106;0.103;0;0;0;0
38;2020-06-28T16:59:44+02:00;0.106;0.094;0;0;0;0
39;2020-06-28T16:59:45+02:00;0.11;0.091;0;0;0;0
40;2020-06-28T16:59:46+02:00;0.125;0.105;0;0;0;0
41;2020-06-28T16:59:47+02:00;0.098;0.102;0;0;0;0
42;2020-06-28T16:59:48+02:00;0.098;0.089;0;0;0;0
43;2020-06-28T16:59:49+02:00;0.126;0.09;0;0;0;0
44;2020-06-28T16:59:50+02:00;0.126;0.104;0;0;0;0
45;2020-06-28T16:59:51+02:00;0.091;0.093;0;0;0;0
46;2020-06-28T16:59:52+02:00;0.162;0.104;0;0;0;0
47;2020-06-28T16:59:53+02:00;0.108;0.092;0;0;0;0
48;2020-06-28T16:59:54+02:00;0.108;0.095;0;0;0;0
49;2020-06-28T16:59:55+02:00;0.116;0.099;0;0;0;0
50;2020-06-28T16:59:56+02:00;0.127;0.118;0;0;0;0
51;2020-06-28T16:59:57+02:00;0.09;0.098;0;0;0;0
52;2020-06-28T16:59:58+02:00;0.111;0.091;0;0;0;0
53;2020-06-28T16:59:59+02:00;0.107;0.098;0;0;0;0
54;2020-06-28T17:00:00+02:00;0.108;0.109;0;0;0;0
55;2020-06-28T17:00:01+02:00;0.13;0.098;0;0;0;0
56;2020-06-28T17:00:02+02:00;0.099;0.096;0;0;0;0
57;2020-06-28T17:00:03+02:00;0.102;0.098;0;0;0;0
58;2020-06-28T17:00:04+02:00;0.102;0.102;0;0;0;0
59;2020-06-28T17:00:05+02:00;0.102;0.102;0;0;0;0
60;2020-06-28T17:00:06+02:00;0.112;0.11;0;0;0;0
61;2020-06-28T17:00:07+02:00;0.092;0.094;0;0;0;0
62;2020-06-28T17:00:08+02:00;0.105;0.104;0;0;0;0
63;2020-06-28T17:00:09+02:00;0.144;0.098;0;0;0;0
64;2020-06-28T17:00:10+02:00;0.123;0.093;0;0;0;0
65;2020-06-28T17:00:11+02:00;0.123;0.104;0;0;0;0
66;2020-06-28T17:00:12+02:00;0.137;0.1;0;0;0;0
67;2020-06-28T17:00:13+02:00;0.105;0.114;0;0;0;0
68;2020-06-28T17:00:14+02:00;0.132;0.101;0;0;0;0
69;2020-06-28T17:00:15+02:00;0.132;0.098;0;0;0;0
70;2020-06-28T17:00:16+02:00;0.117;0.11;0;0;0;0
71;2020-06-28T17:00:17+02:00;0.096;0.094;0;0;0;0
72;2020-06-28T17:00:18+02:00;0.31;0.111;0;0;0;0
73;2020-06-28T17:00:19+02:00;0.495;0.1;0;0;0;0
74;2020-06-28T17:00:20+02:00;0.495;0.098;0;0;0;0
75;2020-06-28T17:00:21+02:00;0.433;0.099;0;0;0;0
76;2020-06-28T17:00:22+02:00;0.392;0.1;0;0;0;0
77;2020-06-28T17:00:23+02:00;0.502;0.103;0;0;0;0
78;2020-06-28T17:00:24+02:00;0.482;0.094;0;0;0;0
79;2020-06-28T17:00:25+02:00;0.482;0.099;0;0;0;0
80;2020-06-28T17:00:26+02:00;0.416;0.096;0;0;0;0
81;2020-06-28T17:00:27+02:00;0.396;0.106;0;0;0;0
82;2020-06-28T17:00:28+02:00;0.584;0.099;0;0;0;0
83;2020-06-28T17:00:29+02:00;0.409;0.095;0;0;0;0
84;2020-06-28T17:00:30+02:00;0.448;0.095;0;0;0;0
85;2020-06-28T17:00:31+02:00;0.453;0.108;0;0;0;0
